id,language,reference,generated,generated_rci,bleu_score,rouge1,rouge2,rougeL,bertscore_f1
2,python,Validates if a value conforms to a datatype specified by a string,Checks if a value matches a specified datatype”,Checks if a value is of a specified datatype”,14.448814886766836,57.14285714285715,21.05263157894737,47.61904761904762,83.37321877479553
3,python,Checks if a value or list of values is a valid integer for a specified bit-width and signedness.,Checks if a value or list of values is within the range of a signed or unsigned integer with a specified number of bits”,Checks if a value or list of values falls within the range of a signed or unsigned integer with a specified number of bits”,32.59889346257789,55.81395348837209,39.02439024390244,55.81395348837209,84.31538343429565
4,python,Looks up a type definition tuple by its string name from a list of types,Retrieves a data type definition from a list of types based on a given datatype string”,Retrieves a data type definition from a list of types based on a given datatype string”,27.22589423069702,58.06451612903225,34.48275862068965,51.61290322580646,75.59393644332886
5,python,Finds all datatypes within the current namespace and any parent namespaces of a given FQN,Identifies and returns a dictionary of namespaced datatypes that match a given fully qualified name prefix.”,Identifies and returns a dictionary of namespaced datatypes that match a given fully qualified name prefix.”,5.401157445454033,32.25806451612903,6.89655172413793,25.80645161290323,64.62846398353577
7,python,Converts a string-based data type definition into an ApiGearType object,"Converts a string representation of a data type to an ApiGearType object, handling basic types and arrays.”","Converts a string representation of a data type to an ApiGearType object, handling basic types and arrays.”",10.475041522097172,57.14285714285714,38.46153846153847,57.14285714285714,80.14510869979858
8,python,Generates an ApiGear property from a VSS (Vehicle Signal Specification) node,Generates an ApiGearProperty object from a VSSNode and its datatype”,"Creates an ApiGearProperty object from a VSSNode and its datatype, including its description if available”",5.412989186545265,23.076923076923077,8.333333333333332,23.076923076923077,70.5561101436615
10,python,Loads and merges multiple VSpec files from specified paths into a single VSpec object,Loads and merges multiple specification files and their include dependencies into a single VSpec object”,"Loads and merges multiple specification files and their include dependencies into a single VSpec object, logging the process.",30.82627646062185,62.500000000000014,46.666666666666664,62.500000000000014,81.70272707939148
11,python,"Recursively updates a dictionary with values from another, merging nested dictionaries","Recursively updates a dictionary with values from another dictionary, merging nested dictionaries”","Recursively merges a dictionary with another dictionary, updating nested dictionaries in place”",16.2617017151949,60.86956521739131,28.571428571428566,60.86956521739131,81.0157060623169
12,python,Validates a constant unique identifier (constUID) is a 32-bit hexadecimal string,"Validates that a given string matches the format of a constant UID (e.g., 0x12345678).","Validates that a given string matches the format of a constant UID (e.g., 0x12345678).",4.968018039415939,37.03703703703704,8.0,22.222222222222225,63.012903928756714
13,python,"Initializes and attempts to resolve a VSS raw model, returning the unresolved model on failure","Creates and resolves a VSSRaw object, handling potential validation or model errors”","Creates and resolves a VSSRaw object, returning it or an incomplete version if errors occur”",5.816635421147515,20.000000000000004,0.0,20.000000000000004,75.96948146820068
14,python,Validates that a list of strings are all known datatypes,Validates a list of datatypes against a predefined set of valid datatypes”,Validates that a list of datatypes contains only valid datatypes”,41.11336169005198,60.0,44.44444444444444,60.0,71.26092314720154
15,python,"Renders a VSS tree into a string, displaying specified attributes for each node","Generates a string representation of a VSS tree, including specified attributes for each node.”","Generates a string representation of a VSS tree, including specified attributes for each node.”",32.22538601891173,74.07407407407408,55.99999999999999,59.25925925925927,85.81863045692444
16,python,Finds the root of a VSS instance by recursively traversing up the parent hierarchy,"Recursively traverses up the VSS tree to find the root instance node, raising an exception if no instance root is found.”","Recursively traverses up the VSS tree to find the root instance node, raising an exception if no instance root is found or if the current node is not an instance.”",3.5154918713109624,31.818181818181817,9.523809523809526,18.181818181818183,67.55887269973755
17,python,Counts the depth of a chain of instance branches,Recursively counts the depth of instance children within a VSSDataBranch”,Recursively counts the depth of instance children within a VSSDataBranch”,19.64073254502565,63.1578947368421,47.05882352941176,52.63157894736842,68.73961091041565
