id,language,reference,generated,generated_rci,bleu_score,rouge1,rouge2,rougeL,bertscore_f1
2,python,"Raises an exception if the specified 'datatype' is unsupported, otherwise retrieves that type's validation function and returns the boolean result of calling it with the provided 'value'",Checks if a given value conforms to a specified datatype by retrieving the corresponding type object and applying it to the value.”,Validates if a value matches a specified datatype by retrieving the type object and checking if the value is an instance of that type.”,3.896437856720855,46.15384615384615,12.0,26.923076923076923,64.89185690879822
3,python,"Validates that a given value, or each value in a list, is an integer that fits within the numerical range defined by a specified bit-width and signedness",Checks if a given value or list of values are within the specified range for a signed or unsigned integer of a given bit size.”,Checks if a given value or list of values are within the specified range for a signed or unsigned integer of a given bit size.”,7.508031292307835,49.056603773584904,15.686274509803924,37.73584905660378,78.3974826335907
4,python,"Returns the type definition tuple from a class-level list of types that matches the provided 'datatype' name, or returns None if no match is found","Retrieves a type definition (name, conversion function, and validation list) from a class's `types` attribute based on a given datatype string.”","Retrieves a type definition (name, conversion function, and validation list) from a class's `types` attribute based on a given datatype string, or returns `None` if no match is found.”",15.138597421779316,60.71428571428571,37.03703703703704,53.57142857142857,74.61429834365845
5,python,Returns a dictionary mapping the short name to the full FQN for all dynamic datatypes that exist in the same namespace as the provided FQN,"Identifies and returns a dictionary of namespaced datatypes that match a given fully qualified name (FQN) prefix, excluding the FQN itself.”","Identifies and returns a dictionary of namespaced datatypes that match a given fully qualified name (FQN) prefix, excluding the FQN itself and any datatypes that start with the FQN.”",3.770678435743331,37.03703703703704,11.538461538461538,37.03703703703704,63.62670063972473
7,python,"Parses a type string to create an `ApiGearType` object, mapping common primitive types to their ApiGear equivalents, sanitizing custom type names by replacing dots with underscores, and setting an array flag based on a ""[]"" suffix","Converts a string representation of a data type to an `ApiGearType` object, handling basic types, floating-point types, booleans, strings, and arrays.”","Converts a string representation of a data type to an `ApiGearType` object, handling basic types, floating-point types, booleans, strings, and arrays, while also determining if the type is an array.”",14.661588285355233,39.3939393939394,9.375000000000002,30.303030303030297,66.15641117095947
8,python,"Creates an `ApiGearProperty` by converting the VSS node's datatype to a supported ApiGear type and copying its description, returning `None` and logging a warning if the datatype is not supported","Creates an `ApiGearProperty` object from a `VSSNode`'s data and a specified datatype, setting the property's type and description if available.”","Creates an `ApiGearProperty` object from a `VSSNode`'s data and a specified datatype, setting the property's type and description if available.”",13.978485989897402,49.05660377358491,11.76470588235294,33.9622641509434,68.1725025177002
10,python,"Loads and parses multiple VSpec files from specified paths, using a list of include directories, then merges them into a single composite VSpec object and returns it, raising an exception if no files are successfully loaded","Loads and merges multiple VSpec files, including specified include directories, into a single VSpec object, logging the process and raising an exception if no specs are loaded.”","Loads and merges multiple VSpec files, including specified include directories, into a single VSpec object, logging the process and raising an exception if no specs are loaded or if there are any issues during the process.”",19.617904328906068,61.111111111111114,31.428571428571427,58.333333333333336,79.14862632751465
11,python,"Recursively updates a 'base' dictionary with an 'update' dictionary, merging nested dictionaries for common keys and overwriting or adding all other key-value pairs","Recursively updates a dictionary `base` with the contents of another dictionary `update`, merging nested dictionaries while overwriting non-dictionary values.”","Recursively updates a dictionary `base` with the contents of another dictionary `update`, merging nested dictionaries and overwriting non-dictionary values.”",15.663915411954296,59.09090909090908,23.809523809523807,50.0,76.34090781211853
12,python,"Asserts that the input value, if not None, is a valid 'constUID' formatted as an 8-digit hexadecimal string prefixed with '0x', returning the value if the check passes","Validates if a given string `v` matches the format of a constant UID (hexadecimal string starting with '0x' and containing 8 hexadecimal characters) and returns the original string if valid, otherwise raises an assertion error.”","Validates if a given string `v` matches the format of a constant UID (hexadecimal string starting with '0x' and containing 8 hexadecimal characters) and returns the original string if valid, otherwise raises an assertion error.”",3.316510708273502,37.5,6.451612903225808,25.0,72.38003611564636
13,python,"Initializes a VSSRaw model and attempts to resolve it, returning the successfully resolved model or the original unresolved model if resolution fails due to a validation or model error","Creates a `VSSRaw` model from a dictionary, attempts to resolve it, and returns the model (or the initialized incomplete model if resolution fails) after logging a debug message.”","Creates a `VSSRaw` model from a dictionary, attempts to resolve it, and returns the model (or the initialized incomplete model if resolution fails) after logging a debug message.”",19.770724632573593,59.64912280701754,36.36363636363637,56.14035087719299,75.98354816436768
