id,language,reference,generated,generated_rci,bleu_score,rouge1,rouge2,rougeL,bertscore_f1
2,python,Validates if a value conforms to a datatype specified by a string,Checks if a value is of a specified datatype.,Validates if a value conforms to a given datatype.,15.20797122409784,57.14285714285715,21.05263157894737,47.61904761904762,85.5933666229248
3,python,Checks if a value or list of values is a valid integer for a specified bit-width and signedness.,Checks if a value or list of values is within the range of a signed or unsigned integer with a specified number of bits.,Checks if a value or list of values is within the range of a signed or unsigned integer with a specified number of bits.,36.33536415491189,60.46511627906976,43.90243902439025,60.46511627906976,85.8664333820343
4,python,Looks up a type definition tuple by its string name from a list of types,Retrieves a type definition from a class's types list based on a given datatype string.,"Retrieves a type definition (including name, callable, and constraints) from a class's types list based on a given datatype string.",12.874330508144837,51.61290322580646,20.689655172413797,38.70967741935484,77.82309055328369
5,python,Finds all datatypes within the current namespace and any parent namespaces of a given FQN,Returns a dictionary of namespaced datatypes matching a given fully qualified name.,Returns a dictionary of namespaced datatypes matching a given fully qualified name.,6.299392144493405,29.629629629629626,8.0,22.222222222222225,64.23773169517517
7,python,Converts a string-based data type definition into an ApiGearType object,"Converts a string representation of a data type to an ApiGearType object, handling arrays and basic types.","Converts a string representation of a data type to an ApiGearType object, handling arrays and basic types.",11.076007888812258,57.14285714285714,38.46153846153847,57.14285714285714,82.52004384994507
8,python,Generates an ApiGear property from a VSS (Vehicle Signal Specification) node,Creates an ApiGearProperty object from a VSSNode's data and datatype.,"Creates an ApiGearProperty object from a VSSNode's data and datatype, or returns None if the datatype is unsupported.",6.9161417925511355,27.27272727272727,10.000000000000002,27.27272727272727,76.70992016792297
10,python,Loads and merges multiple VSpec files from specified paths into a single VSpec object,"Loads and merges VSpec objects from specified files and directories, logging details and raising an exception if no specs are found.","Loads and merges VSpec objects from specified files and directories, logging details and raising an exception if no specs are found.",8.383924775392588,40.0,18.181818181818183,34.285714285714285,75.44018626213074
11,python,"Recursively updates a dictionary with values from another, merging nested dictionaries","Recursively updates a dictionary with another dictionary, merging nested dictionaries.","Recursively merges a dictionary into another, updating nested dictionaries.",54.52469119630863,85.71428571428572,63.1578947368421,85.71428571428572,90.10640382766724
12,python,Validates a constant unique identifier (constUID) is a 32-bit hexadecimal string,Validates that a string is a hexadecimal constant UID with the format '0xXXXXXXXX'.,Validates that a string is a hexadecimal constant UID with the format '0xXXXXXXXX'.,7.233019718056123,55.99999999999999,8.695652173913043,40.0,67.24063754081726
13,python,"Initializes and attempts to resolve a VSS raw model, returning the unresolved model on failure","Creates and resolves a VSSRaw object from a dictionary, handling potential validation or model errors.","Creates and resolves a VSSRaw object from a dictionary, returning it or an incomplete version if validation fails.",3.234245292096216,20.000000000000004,0.0,20.000000000000004,72.30203151702881
14,python,Validates that a list of strings are all known datatypes,Validates that a list of datatypes are all valid datatypes.,Validates that a list of datatypes contains only valid datatypes.,41.72261448611505,80.00000000000001,55.55555555555556,80.00000000000001,78.035968542099
