id,language,reference,generated,generated_rci,bleu_score,rouge1,rouge2,rougeL,bertscore_f1
2,python,Validates if a value conforms to a datatype specified by a string,Checks if a value is of a specified datatype.,Validates if a value conforms to a given datatype.,54.088044192555245,76.1904761904762,63.1578947368421,76.1904761904762,90.34631252288818
3,python,Checks if a value or list of values is a valid integer for a specified bit-width and signedness.,Checks if a value or list of values is within the range of a signed or unsigned integer with a specified number of bits.,Checks if a value or list of values is within the range of a signed or unsigned integer with a specified number of bits.,36.33536415491189,60.46511627906976,43.90243902439025,60.46511627906976,85.86642146110535
4,python,Looks up a type definition tuple by its string name from a list of types,Retrieves a type definition from a class's types list based on a given datatype string.,"Retrieves a type definition (including name, callable, and constraints) from a class's types list based on a given datatype string.",8.165974140980245,50.0,17.64705882352941,38.88888888888889,72.5785493850708
5,python,Finds all datatypes within the current namespace and any parent namespaces of a given FQN,Returns a dictionary of namespaced datatypes matching a given fully qualified name.,Returns a dictionary of namespaced datatypes matching a given fully qualified name.,6.299392144493405,29.629629629629626,8.0,22.222222222222225,64.23773169517517
7,python,Converts a string-based data type definition into an ApiGearType object,"Converts a string representation of a data type to an ApiGearType object, handling arrays and basic types.","Converts a string representation of a data type to an ApiGearType object, handling arrays and basic types.",11.076007888812258,57.14285714285714,38.46153846153847,57.14285714285714,82.52004384994507
8,python,Generates an ApiGear property from a VSS (Vehicle Signal Specification) node,Creates an ApiGearProperty object from a VSSNode's data and datatype.,"Creates an ApiGearProperty object from a VSSNode's data and datatype, or returns None if the datatype is unsupported.",4.237713199752784,20.0,7.142857142857142,20.0,67.98810958862305
10,python,Loads and merges multiple VSpec files from specified paths into a single VSpec object,"Loads and merges VSpec objects from specified files and directories, logging details and raising an exception if no specs are found.","Loads and merges VSpec objects from specified files and directories, logging details and raising an exception if no specs are found.",8.383924775392588,40.0,18.181818181818183,34.285714285714285,75.44018030166626
11,python,"Recursively updates a dictionary with values from another, merging nested dictionaries","Recursively updates a dictionary with another dictionary, merging nested dictionaries.","Recursively merges a dictionary into another, updating nested dictionaries.",12.320255516768906,60.0,22.222222222222225,60.0,84.070485830307
12,python,Validates a constant unique identifier (constUID) is a 32-bit hexadecimal string,Validates that a string is a hexadecimal constant UID with the format '0xXXXXXXXX'.,Validates that a string is a hexadecimal constant UID with the format '0xXXXXXXXX'.,7.233019718056123,55.99999999999999,8.695652173913043,40.0,67.24063754081726
13,python,"Initializes and attempts to resolve a VSS raw model, returning the unresolved model on failure","Creates and resolves a VSSRaw object from a dictionary, handling potential validation or model errors.","Creates and resolves a VSSRaw object from a dictionary, returning it or an incomplete version if validation fails.",4.553719184146073,18.18181818181818,0.0,18.18181818181818,78.81724238395691
