id,language,reference,generated,generated_rci,bleu_score,rouge1,rouge2,rougeL,bertscore_f1
2,python,Validates if a value conforms to a datatype specified by a string,Check if a value is of a specified datatype”,Validate if a value matches a specified datatype”,14.166675290415533,60.0,22.22222222222222,50.0,83.29549431800842
3,python,Checks if a value or list of values is a valid integer for a specified bit-width and signedness.,Check if a value or list of values is within a specified range for a signed or unsigned integer type.,Check if a value or list of values is a valid signed or unsigned integer within a specified bit range.,48.33482678326476,71.7948717948718,59.45945945945946,71.7948717948718,90.25905728340149
4,python,Looks up a type definition tuple by its string name from a list of types,Retrieve type information based on a given datatype string”,"Retrieve type information (name, callable, and constraints) based on a given datatype string”",3.0098043843528286,28.571428571428577,0.0,21.428571428571427,66.11710786819458
5,python,Finds all datatypes within the current namespace and any parent namespaces of a given FQN,Return a dictionary of namespaced datatypes matching a given fully qualified name prefix”,Return a dictionary of namespaced datatypes matching a given fully qualified name prefix”,6.299392144493405,28.571428571428577,7.692307692307692,21.428571428571427,62.82240152359009
7,python,Converts a string-based data type definition into an ApiGearType object,Convert a string representation of a data type to an ApiGearType object”,"Convert a string representation of a data type to an ApiGearType object, handling arrays”",12.874330508144842,56.00000000000001,34.78260869565217,56.00000000000001,83.66317749023438
8,python,Generates an ApiGear property from a VSS (Vehicle Signal Specification) node,Generate an API Gear property from a VSS node and datatype”,Create an API Gear property from a VSS node and datatype”,21.648693746244412,54.54545454545454,30.0,54.54545454545454,68.01562309265137
10,python,Loads and merges multiple VSpec files from specified paths into a single VSpec object,Load and merge multiple VSpec files into a single VSpec object”,"Load and merge multiple VSpec files into a single VSpec object, logging details and raising an exception if no specs are loaded.",20.287366424876,50.000000000000014,35.294117647058826,50.000000000000014,77.45468616485596
11,python,"Recursively updates a dictionary with values from another, merging nested dictionaries","Recursively update a dictionary with another dictionary, merging nested dictionaries”","Recursively update a dictionary with another dictionary, merging nested dictionaries",32.99292579001791,76.1904761904762,42.10526315789474,76.1904761904762,90.04441499710083
12,python,Validates a constant unique identifier (constUID) is a 32-bit hexadecimal string,Validate a constant UID string format”,Validate a constant UID string format,4.008579202215618,33.33333333333333,12.500000000000004,33.33333333333333,64.48863744735718
13,python,"Initializes and attempts to resolve a VSS raw model, returning the unresolved model on failure","Create and resolve a VSSRaw model from a dictionary, handling validation errors.","Create and resolve a VSSRaw model from a dictionary, returning it or an incomplete version if validation fails.",5.993031480537873,30.303030303030297,6.451612903225808,30.303030303030297,78.63417267799377
14,python,Validates that a list of strings are all known datatypes,Validate a list of datatypes against a predefined set of valid datatypes”,Validate a list of datatypes against a predefined set of valid datatypes”,13.545994273378144,36.36363636363636,20.0,36.36363636363636,63.85491490364075
15,python,"Renders a VSS tree into a string, displaying specified attributes for each node",Render a VSSNode tree with specified attributes as string representation”,"Render a VSSNode tree to a string, including specified attributes”",12.630268049376259,52.17391304347826,19.04761904761905,52.17391304347826,80.46426177024841
16,python,Finds the root of a VSS instance by recursively traversing up the parent hierarchy,Find the root node of an instance branch in a VSS tree”,Traverse up the VSS tree to find the root of an instance branch”,14.56333152456979,51.85185185185186,24.000000000000004,29.629629629629633,73.90340566635132
17,python,Counts the depth of a chain of instance branches,Recursively count the depth of instance children in a VSSDataBranch tree”,Recursively count the depth of instance children within a VSSDataBranch tree”,17.542198478193427,50.0,33.33333333333333,40.0,69.87285614013672
18,python,Finds all child node IDs that belong to a specific parent name,Find child node IDs based on a given parent name”,Find child node IDs for a given parent name”,14.448814886766836,57.14285714285715,31.57894736842105,57.14285714285715,85.42593717575073
19,python,"Gets an attribute, returning a default value if the attribute is missing or its value is None","Safely retrieve an attribute from an object, returning a default value if it doesn't exist.","Safely retrieve an attribute from an object, returning a default value if the attribute is missing.",54.9995519064483,66.66666666666667,58.06451612903225,66.66666666666667,81.99435472488403
20,python,Generates a Protobuf schema from a Vehicle Signal Specification (VSS) tree,"Generate a .proto file from a VSS signal tree, including imports and message definitions.","Generate a .proto file from a VSS signal tree, including imports and message definitions.",5.751391809950023,47.99999999999999,8.695652173913043,40.0,70.85067629814148
21,python,Groups all leaf VSS branch instances by the fully qualified name of their original branch definition,Collect instances of VSSDataBranch nodes and their names under their respective instance roots”,Collect instance names of VSSDataBranch nodes under their respective instance roots”,2.828945803162801,14.814814814814813,0.0,14.814814814814813,65.40874242782593
22,python,Determines if a VSS node is a leaf based on its data type,Check if a node is a leaf node in a VSS tree”,Check if a node is a leaf node in a VSS tree,25.490549227474283,55.99999999999999,43.47826086956522,48.00000000000001,78.73450517654419
23,python,Checks if a VSS node is a branch that is not an instance,Check if a VSS node represents a branch with non-instance data,Check if a VSS node represents a branch with non-instance data,23.26303536297059,55.99999999999999,34.78260869565217,55.99999999999999,80.41951656341553
