test_name,language,corpus_codebleu,corpus_ngram_match_score,corpus_weighted_ngram_match_score,corpus_syntax_match_score,corpus_dataflow_match_score
adapted_12b_core-auto-long-one,python,41.45,27.44,28.55,50.33,59.46
adapted_12b_core-auto-long-one,java,66.75,50.98,49.80,72.09,94.12
adapted_12b_core-auto-long-one,cpp,39.64,33.07,34.48,49.62,41.38
adapted_12b_core-auto-long-one,c,58.07,57.30,60.16,64.81,50.00
adapted_12b_core-auto-long-one,average,51.47,42.20,43.25,59.21,61.24
adapted_12b_core-auto-long-one-rci,python,41.45,27.44,28.55,50.33,59.46
adapted_12b_core-auto-long-one-rci,java,73.52,60.68,60.75,75.58,97.06
adapted_12b_core-auto-long-one-rci,cpp,40.02,33.07,34.48,51.15,41.38
adapted_12b_core-auto-long-one-rci,c,63.40,63.53,66.09,69.44,54.55
adapted_12b_core-auto-long-one-rci,average,54.60,46.18,47.47,61.62,63.11
