test_name,language,corpus_codebleu,corpus_ngram_match_score,corpus_weighted_ngram_match_score,corpus_syntax_match_score,corpus_dataflow_match_score
adapted_12b_extended-auto-long-one,python,25.48,15.94,17.02,39.22,29.73
adapted_12b_extended-auto-long-one,java,49.70,30.75,31.72,62.79,73.53
adapted_12b_extended-auto-long-one,cpp,32.04,24.90,26.84,48.85,27.59
adapted_12b_extended-auto-long-one,c,58.22,57.62,60.45,64.81,50.00
adapted_12b_extended-auto-long-one,average,41.36,32.30,34.01,53.92,45.21
adapted_12b_extended-auto-long-one-rci,python,25.48,15.94,17.02,39.22,29.73
adapted_12b_extended-auto-long-one-rci,java,66.33,49.97,49.13,72.09,94.12
adapted_12b_extended-auto-long-one-rci,cpp,32.04,24.90,26.84,48.85,27.59
adapted_12b_extended-auto-long-one-rci,c,63.37,63.38,66.09,69.44,54.55
adapted_12b_extended-auto-long-one-rci,average,46.80,38.55,39.77,57.40,51.49
