id,language,reference,generated,generated_rci,codebleu,ngram_match_score,weighted_ngram_match_score,syntax_match_score,dataflow_match_score
2,python,"def is_datatype(cls, value: Any, datatype: str) -> bool:
    t = cls.get_type(datatype)
    if t is None:
        raise DatatypesException(f""Unsupported datatype: {datatype}"")
    return t[1](value)","def is_datatype(cls, value: Any, datatype: str) -> bool:
    datatype = resolve_datatype(datatype, cls.fqn)
    datatype_info = Datatypes.get_type(datatype)
    if not datatype_info:
        raise DatatypesException(f""Not a valid type: '{datatype}'"")
    return datatype_info[1](value)","def is_datatype(cls, value: Any, datatype: str) -> bool:
    datatype = resolve_datatype(datatype, cls.fqn)
    datatype_info = Datatypes.get_type(datatype)
    if not datatype_info:
        raise DatatypesException(f""Not a valid type: '{datatype}'"")
    return datatype_info[1](value)",49.63507318013273,28.949230658291597,38.05260052377777,61.53846153846154,70.0
3,python,"def is_xintx(value: Any, signed: bool, bits: int):
    values = [value]
    if isinstance(value, list):
        values = value

    for v in values:
        if not isinstance(v, int):
            return False
        if not signed and v < 0:
            return False
        max = 2**bits - 1
        min = 0
        if signed:
            max = 2 ** (bits - 1) - 1
            min = -(2 ** (bits - 1))
        if not (v <= max and v >= min):
            return False
    return True","def is_xintx(value: Any, signed: bool, bits: int):
    if isinstance(value, list):
        return all(is_xintx(v, signed, bits) for v in value)
    if not isinstance(value, int):
        return False
    if signed:
        min_val = -(2**(bits - 1))
        max_val = 2**(bits - 1) - 1
    else:
        min_val = 0
        max_val = 2**bits - 1
    return min_val <= value <= max_val","def is_xintx(value: Any, signed: bool, bits: int):
    if isinstance(value, list):
        return all(is_xintx(v, signed, bits) for v in value)
    if not isinstance(value, int):
        return False
    if signed:
        min_val = -(2**(bits - 1))
        max_val = 2**(bits - 1) - 1
    else:
        min_val = 0
        max_val = 2**bits - 1
    return min_val <= value <= max_val",40.56192517426251,21.945951352284073,23.227532270548927,60.317460317460316,56.75675675675676
5,python,"def get_fqn_namespaced_datatypes(fqn: str | None = None) -> dict[str, str]:
    if not fqn:
        return {}
    fqn_namespaced_datatypes = {}
    for t in dynamic_datatypes:
        if fqn.startswith(t):
            continue

        if fqn.startswith(""."".join(t.split(""."")[:-1])):
            fqn_namespaced_datatypes[(t.split(""."")[-1])] = t

    if fqn_namespaced_datatypes:
        log.debug(f""Namespaced datatypes, {fqn=}, {fqn_namespaced_datatypes=}"")
    return fqn_namespaced_datatypes","def get_fqn_namespaced_datatypes(fqn: str | None = None) -> dict[str, str]:
    """"""
    Returns a dictionary mapping the short name to the
    fully qualified name for all dynamic datatypes that exist in the same namespace as the provided FQN
    """"""
    fqn_namespaced_datatypes = {}
    if fqn:
        for datatype in dynamic_datatypes:
            if datatype.startswith(fqn + "".""):
                fqn_namespaced_datatypes[datatype[len(fqn) + 1:]] = datatype
    return fqn_namespaced_datatypes","def get_fqn_namespaced_datatypes(fqn: str | None = None) -> dict[str, str]:
    """"""
    Returns a dictionary mapping the short name to the
    fully qualified name for all dynamic datatypes that exist in the same namespace as the provided FQN
    """"""
    fqn_namespaced_datatypes = {}
    if fqn:
        for datatype in dynamic_datatypes:
            if datatype.startswith(fqn + "".""):
                fqn_namespaced_datatypes[datatype[len(fqn) + 1:]] = datatype
    return fqn_namespaced_datatypes",37.47425798103006,21.451061978951028,33.24921068590995,35.9375,59.25925925925925
28,java,"public View onCreateView(LayoutInflater inflater, ViewGroup container,
        Bundle savedInstanceState) {
    mRootView = inflater.inflate(R.layout.card_fragment, container, false);
    mCardTitle = mRootView.findViewById(R.id.card_name);
    mCardIcon = mRootView.findViewById(R.id.card_icon);
    return mRootView;
}","public View onCreateView(LayoutInflater inflater, ViewGroup container, Bundle savedInstanceState) {
    mRootView = inflater.inflate(R.layout.card_fragment, container, false);
    mCardTitle = mRootView.findViewById(R.id.card_title);
    mCardIcon = mRootView.findViewById(R.id.card_icon);
    return mRootView;
}","public View onCreateView(LayoutInflater inflater, ViewGroup container, Bundle savedInstanceState) {
    mRootView = inflater.inflate(R.layout.card_fragment, container, false);
    mCardTitle = mRootView.findViewById(R.id.card_title);
    mCardIcon = mRootView.findViewById(R.id.card_icon);
    return mRootView;
}",94.00123787404947,87.87419089273848,88.13076060345935,100.0,100.0
29,java,"private void updateControlBarButton(DescriptiveTextWithControlsView.Control buttonContent,
        ImageButton buttonView) {
    if (buttonContent != null) {
        buttonView.setImageDrawable(buttonContent.getIcon());
        buttonView.setOnClickListener(buttonContent.getOnClickListener());
        buttonView.setVisibility(View.VISIBLE);
    } else {
        buttonView.setVisibility(View.GONE);
    }
}","private void updateControlBarButton(DescriptiveTextWithControlsView.Control buttonContent, ImageButton buttonView) {
        buttonView.setImageDrawable(buttonContent.getImage());
        buttonView.setOnClickListener(v -> mPresenter.onControlButtonClicked(buttonContent));
        buttonView.setVisibility(buttonContent == null ? View.GONE : View.VISIBLE);
    }","private void updateControlBarButton(DescriptiveTextWithControlsView.Control buttonContent, ImageButton buttonView) {
        buttonView.setImageDrawable(buttonContent.getImage());
        buttonView.setOnClickListener(v -> mPresenter.onControlButtonClicked(buttonContent));
        buttonView.setVisibility(buttonContent == null ? View.GONE : View.VISIBLE);
    }",51.288617697948766,28.688236146427442,29.512829627446507,58.06451612903226,88.88888888888889
31,java,"public void updateHeaderView(CardHeader header) {
    requireActivity().runOnUiThread(() -> {
        mRootView.setVisibility(View.VISIBLE);
        mCardTitle.setText(header.getCardTitle());
        mCardIcon.setImageDrawable(header.getCardIcon());
    });
}","requireActivity().runOnUiThread(() -> {
    mCardTitle.setText(header.getTitle());
    mCardIcon.setImageDrawable(header.getIcon());
    mRootView.setVisibility(View.VISIBLE);
});
}","public void updateHeaderView(CardHeader header) {
    requireActivity().runOnUiThread(() -> {
        mCardTitle.setText(header.getTitle());
        mCardIcon.setImageDrawable(header.getIcon());
        mRootView.setVisibility(View.VISIBLE);
    });
}",36.510440161335524,9.684044014252693,8.976764250137016,60.71428571428571,66.66666666666666
53,cpp,"void DBusConnectionStatusEvent::onListenerAdded(const Listener &_listener, const Subscription _subscription) {
    (void)_subscription;
    if (dbusConnection_->isConnected())
        _listener(AvailabilityStatus::AVAILABLE);
}","void DBusConnectionStatusEvent::onListenerAdded(const Listener &_listener, const Subscription _subscription) {
    if (dbusConnection_) {
        dbusConnection_->dbusConnectionStatusEvent_.notifyListeners(AvailabilityStatus::AVAILABLE);
    }
}","void DBusConnectionStatusEvent::onListenerAdded(const Listener &_listener, const Subscription _subscription) {
    if (dbusConnection_) {
        dbusConnection_->getConnectionStatusEvent().notifyListeners(AvailabilityStatus::AVAILABLE);
    }
}",53.34236306735555,54.37427682227519,61.16908849062524,47.82608695652174,50.0
54,cpp,"void joinOnExit(std::uintptr_t conn, std::thread & t) {
    std::lock_guard<std::mutex> lock(mutex_);
    if (connections_.end() != connections_.find(conn)) {
        bool found(false);
        std::vector<std::thread*>::const_iterator it = threads_.begin();
        while (!found && it != threads_.end()) {
            found = (&t == *it++);
        }
        if (!found) {
            threads_.push_back(&t);
        }
    }
}","void joinOnExit(std::uintptr_t conn, std::thread & t) {
    std::unique_ptr<CompletionHelper> & helper = CompletionHelper::get();
    if (helper) {
        std::lock_guard<std::mutex> lock(helper->mutex_);
        if (helper->connections_.find(conn) == helper->connections_.end()) {
            helper->threads_.push_back(&t);
        }
    }
}","void joinOnExit(std::uintptr_t conn, std::thread & t) {
    std::unique_ptr<CompletionHelper> & helper = CompletionHelper::get();
    if (helper) {
        std::lock_guard<std::mutex> lock(helper->mutex_);
        if (helper->connections_.find(conn) == helper->connections_.end()) {
            helper->threads_.push_back(&t);
        }
    }
}",27.74458469034976,18.563577892687576,20.888759163681623,36.231884057971016,35.294117647058826
58,cpp,"const std::shared_ptr<DBusObjectManager> DBusConnection::getDBusObjectManager() {
    if (!dbusObjectManager_) {
        std::lock_guard<std::mutex> itsLock(objectManagerGuard_);
        if (!dbusObjectManager_) {
            dbusObjectManager_ = std::make_shared<DBusObjectManager>(shared_from_this());
        }
    }
    return dbusObjectManager_;
}","const std::shared_ptr<DBusObjectManager> DBusConnection::getDBusObjectManager() {
    std::lock_guard<std::mutex> itsLock(dbusObjectManagerMutex_);
    if (dbusObjectManager_ == nullptr) {
        dbusObjectManager_ = std::make_shared<DBusObjectManager>(shared_from_this());
    }
    return dbusObjectManager_;
}","const std::shared_ptr<DBusObjectManager> DBusConnection::getDBusObjectManager() {
    std::lock_guard<std::mutex> itsLock(dbusObjectManagerMutex_);
    if (dbusObjectManager_ == nullptr) {
        dbusObjectManager_ = std::make_shared<DBusObjectManager>(shared_from_this());
    }
    return dbusObjectManager_;
}",53.15860854930487,44.04854612371905,44.22691371452609,74.35897435897436,50.0
78,c,"void send_positive_reset_response(uint8_t reset_type) {
  int ret;
  uint8_t positive_sid = UDS_SID_ECU_RESET + 0x40;

  uint8_t tx_data[] = {positive_sid, reset_type};

  ret = isotp_send(&send_ctx, can_dev, tx_data, sizeof(tx_data), &tx_addr,
                   &rx_addr, send_complete_cb, NULL);
  if (ret != ISOTP_N_OK) {
    LOG_ERR(""Error while sending data to ID %d [%d]\n"", tx_addr.std_id, ret);
  }
}","  int ret;
  uint8_t tx_data[] = {UDS_SID_ECU_RESET + 0x40, reset_type};
  ret = isotp_send(&send_ctx, can_dev, tx_data, sizeof(tx_data), &tx_addr,
                   &rx_addr, send_complete_cb, NULL);
  if (ret != ISOTP_N_OK) {
    LOG_ERR(""Error while sending data to ID %d [%d]\n"", tx_addr.std_id, ret);
  }
}","void send_positive_reset_response(uint8_t reset_type) {
  int ret;
  uint8_t tx_data[] = {UDS_SID_ECU_RESET + 0x40, reset_type};
  ret = isotp_send(&send_ctx, can_dev, tx_data, sizeof(tx_data), &tx_addr,
                   &rx_addr, send_complete_cb, NULL);
  if (ret != ISOTP_N_OK) {
    LOG_ERR(""Error while sending data to ID %d [%d]\n"", tx_addr.std_id, ret);
  }
}",62.658052472155845,68.05874357106343,68.84797612148151,66.66666666666666,47.05882352941176
