Model-language,CodeBLEU,N-gram,Weighted n-gram,Syntax,Dataflow
base_c,35.32,28.56,31.64,38.00,43.07
base_cpp,34.24,18.62,20.26,46.71,51.37
base_java,34.89,26.82,29.05,40.58,43.11
base_python,38.09,26.58,29.87,44.46,51.46
core_c,37.11,29.70,31.84,39.54,47.34
core_cpp,34.94,17.79,20.56,49.56,51.85
core_java,34.18,25.47,27.55,40.73,42.97
core_python,35.42,20.72,28.16,43.44,49.36
extended_c,36.39,28.89,31.26,39.47,45.93
extended_cpp,34.47,16.75,20.53,49.29,51.29
extended_java,34.91,25.37,28.07,41.65,44.53
extended_python,35.16,21.22,27.66,42.57,49.22
average_c,36.27,29.05,31.58,39.00,45.45
average_cpp,34.55,17.72,20.45,48.52,51.50
average_java,34.66,25.89,28.22,40.99,43.54
average_python,36.22,22.84,28.56,43.49,50.01
