Model-language,BLEU,ROUGE-1,ROUGE-2,ROUGE-L,BERTScore
base_c,12.26,51.06,21.90,42.10,75.00
base_cpp,9.46,43.80,16.26,34.99,72.56
base_java,13.06,50.21,22.11,40.70,73.82
base_python,13.29,47.72,22.06,40.12,74.10
core_c,11.45,50.01,21.76,41.22,74.39
core_cpp,9.62,42.49,16.70,34.71,72.47
core_java,13.40,48.94,22.88,40.11,73.66
core_python,15.79,50.40,24.69,42.71,74.63
extended_c,12.64,51.03,23.17,42.66,74.84
extended_cpp,10.29,42.99,17.44,34.68,72.36
extended_java,14.20,50.04,23.70,41.02,73.42
extended_python,16.12,50.89,25.47,43.10,74.78
average_c,12.12,50.70,22.28,41.99,74.74
average_cpp,9.79,43.09,16.80,34.79,72.46
average_java,13.55,49.73,22.90,40.61,73.63
average_python,15.07,49.67,24.07,41.98,74.50
