test_name,codebleu,ngram,weighted_ngram,syntax,dataflow
base-auto-long-one,40.93,30.75,32.03,47.38,53.57
base-auto-long-one-rci,41.53,31.1,32.3,47.78,54.95
base-auto-long-three,41.8,30.38,32.55,49.24,55.01
base-auto-long-three-rci,42.06,30.6,32.8,49.81,55.02
base-auto-short-one,36.58,25.27,28.9,42.59,49.56
base-auto-short-one-rci,36.85,26.13,29.67,43.17,48.43
base-auto-short-three,37.52,28.06,30.2,43.87,47.94
base-auto-short-three-rci,37.9,28.48,30.45,44.27,48.39
base-xl-long-one,37.38,25.82,27.04,43.75,52.89
base-xl-long-one-rci,37.5,25.83,27.04,43.71,53.41
base-xl-long-three,36.93,25.22,27.16,43.36,51.97
base-xl-long-three-rci,37.46,25.44,27.41,44.18,52.82
base-xl-short-one,31.8,21.5,24.48,39.15,42.06
base-xl-short-one-rci,32.03,21.25,24.56,39.57,42.73
base-xl-short-three,31.32,22.19,24.53,38.71,39.84
base-xl-short-three-rci,31.57,22.14,24.64,39.14,40.38
base-long-zero,36.77,25.34,27.31,42.59,51.86
base-long-zero-rci,37.37,25.66,27.54,43.27,53.02
base-short-zero,23.25,15.57,21.44,31.25,24.72
base-short-zero-rci,24.15,16.2,22.03,31.92,26.46
core-auto-long-one,40.88,30.47,31.71,48.38,52.96
core-auto-long-one-rci,41.18,30.66,31.88,48.56,53.61
core-auto-long-three,41.84,31.05,33.31,50.55,52.47
core-auto-long-three-rci,42.14,31.27,33.61,50.61,53.08
core-auto-short-one,36.17,23.16,28.01,43.19,50.33
core-auto-short-one-rci,36.36,23.25,28.07,43.55,50.59
core-auto-short-three,38.07,26.36,29.45,45.55,50.91
core-auto-short-three-rci,38.06,26.41,29.52,45.34,51
core-xl-long-one,35.72,23.49,26.13,43.39,49.86
core-xl-long-one-rci,35.67,23.7,26.18,43.27,49.52
core-xl-long-three,35.53,21.88,26.04,43.87,50.31
core-xl-long-three-rci,35.74,22.24,26.04,43.82,50.86
core-xl-short-one,30.94,19.51,22.62,38.49,43.13
core-xl-short-one-rci,31.12,19.56,22.66,38.62,43.64
core-xl-short-three,30.45,18.07,23,39.16,41.57
core-xl-short-three-rci,30.75,18.17,22.98,39.71,42.12
core-long-zero,35.74,21.32,26.45,43.98,51.22
core-long-zero-rci,36.22,21.62,27.07,44.28,51.9
core-short-zero,27.73,18.13,22.87,35.92,34.02
core-short-zero-rci,27.9,18.07,22.97,36.07,34.47
extended-auto-long-one,40.52,27.18,31.3,48.71,54.88
extended-auto-long-one-rci,40.62,27.15,31.4,48.88,55.04
extended-auto-long-three,42.22,30.99,33.07,50.57,54.27
extended-auto-long-three-rci,42.24,30.95,33.21,50.54,54.27
extended-auto-short-one,35.66,22.66,28.03,43.33,48.62
extended-auto-short-one-rci,35.64,22.4,28.1,43.39,48.66
extended-auto-short-three,37.13,24.97,29.58,44.26,49.69
extended-auto-short-three-rci,37.27,24.8,29.66,44.44,50.18
extended-xl-long-one,36.17,23.76,26.47,44.67,49.78
extended-xl-long-one-rci,36.38,23.73,26.65,44.87,50.28
extended-xl-long-three,36.16,22.33,26.11,44.37,51.83
extended-xl-long-three-rci,36.26,22.27,26.13,44.44,52.21
extended-xl-short-one,31.38,19.92,23.32,38.6,43.69
extended-xl-short-one-rci,31.47,20.17,23.34,38.58,43.79
extended-xl-short-three,30.28,18.58,23.25,38.36,40.92
extended-xl-short-three-rci,30.02,17.97,23.1,38.29,40.72
extended-long-zero,36.21,22.93,25.46,44.44,52
extended-long-zero-rci,36.65,23.13,25.94,44.88,52.64
extended-short-zero,26.01,17.57,21.57,34.37,30.51
extended-short-zero-rci,26.34,17.65,21.89,34.87,30.94
