Test name,BLEU,ROUGE-1,ROUGE-2,ROUGE-L,BERTScore
base-auto-long-one,19.29,53.43,25.42,42.69,75.02
base-auto-long-one-rci,20.77,53.89,26.44,43.55,75.23
base-auto-long-three,19.44,52.49,24.75,42.32,74.25
base-auto-long-three-rci,19.58,53.09,25.28,42.56,74.41
base-auto-short-one,11.14,49.16,22.87,41.88,75.5
base-auto-short-one-rci,10.19,48.14,21.36,40.94,75.42
base-auto-short-three,13.23,50.36,24.62,42.79,74.71
base-auto-short-three-rci,12.3,50.21,23.67,42.51,74.87
base-xl-long-one,11.13,48.76,18.5,38.38,72.93
base-xl-long-one-rci,10.41,47.69,18.51,37.56,72.77
base-xl-long-three,12.12,48.02,18.57,37.77,71.67
base-xl-long-three-rci,11.52,46.9,18.3,36.98,71.81
base-xl-short-one,10.75,46.89,19.95,39.98,75.79
base-xl-short-one-rci,8.9,44.47,17.34,38.29,74.99
base-xl-short-three,10.62,45.79,18.85,40.09,75
base-xl-short-three-rci,7.28,44.12,16.5,38.11,74.71
base-long-zero,11.16,46.91,17.91,35.41,70.94
base-long-zero-rci,11.66,45.89,17.55,34.64,71.25
base-short-zero,7.63,44.19,18.7,37.05,73.21
base-short-zero-rci,7.28,42.36,17.46,36.26,72.93
core-auto-long-one,18.99,52.58,24.52,42.19,74.27
core-auto-long-one-rci,18.47,52.98,25.28,42.94,74.64
core-auto-long-three,18.57,52.47,24.26,41.48,73.72
core-auto-long-three-rci,18.65,52.23,24.74,41.53,73.67
core-auto-short-one,12.35,49.38,24.21,42.54,75.87
core-auto-short-one-rci,10.89,47.8,23.08,41.24,75.32
core-auto-short-three,15.78,51.32,27.35,44.86,74.87
core-auto-short-three-rci,13.36,48.01,23.88,41.81,74.31
core-xl-long-one,10.13,46.74,18.79,37.05,72.34
core-xl-long-one-rci,10.54,48.08,19.29,37.23,72.54
core-xl-long-three,9.89,45.67,17.56,35.99,70.96
core-xl-long-three-rci,10.86,47.49,18.66,37.01,71.7
core-xl-short-one,13.97,48.25,22.98,42.56,76.53
core-xl-short-one-rci,11.85,46.04,21.54,40.38,75.55
core-xl-short-three,12.15,44.09,19.96,39.12,74.12
core-xl-short-three-rci,11.71,43.89,18.75,37.54,73.99
core-long-zero,11.55,46.12,18.3,36.44,71.73
core-long-zero-rci,11.54,46.1,17.95,36.08,71.99
core-short-zero,8.97,43.51,19.48,37.63,73.73
core-short-zero-rci,8.06,44.57,19.61,38.09,73.87
extended-auto-long-one,20.46,53.31,26.61,43.15,74.42
extended-auto-long-one-rci,20.07,54.2,27.42,43.86,74.73
extended-auto-long-three,19.19,52.03,24.9,41.78,73.46
extended-auto-long-three-rci,19.63,52.17,25.71,42.36,73.62
extended-auto-short-one,14.25,51.45,25.89,44.33,76.35
extended-auto-short-one-rci,13.32,49.7,25.08,42.76,75.62
extended-auto-short-three,15.1,51.72,27.8,45.2,74.92
extended-auto-short-three-rci,13.87,49.5,25.84,43.27,74.77
extended-xl-long-one,10.66,48.33,19.72,37.66,72.35
extended-xl-long-one-rci,11.1,49.02,19.42,37.54,72.37
extended-xl-long-three,10.84,47.77,19.22,37.36,71.36
extended-xl-long-three-rci,11.58,48.9,19.99,38.03,71.86
extended-xl-short-one,12.62,48.21,21.85,41.09,76
extended-xl-short-one-rci,12.28,47.53,21.63,40.74,75.71
extended-xl-short-three,11.88,42.76,19.3,37.76,73.82
extended-xl-short-three-rci,12.75,42.92,19.39,37.51,73.97
extended-long-zero,12.93,47.38,20.14,37.82,72.16
extended-long-zero-rci,12.96,47.4,19.57,37.3,72.14
extended-short-zero,8.91,44.22,19.84,38.75,73.65
extended-short-zero-rci,8.97,44.74,20.11,38.86,73.71
