test_name,CodeBLEU,BLEU,ROUGE-1,ROUGE-2,ROUGE-L,BERTScore
core-auto-long-one,40.88,18.99,52.58,24.52,42.19,74.27
core-auto-long-one-rci,41.18,18.47,52.98,25.28,42.94,74.64
core-auto-long-three,41.84,18.57,52.47,24.26,41.48,73.72
core-auto-long-three-rci,42.14,18.65,52.23,24.74,41.53,73.67
core-auto-short-one,36.17,12.35,49.38,24.21,42.54,75.87
core-auto-short-one-rci,36.36,10.89,47.80,23.08,41.24,75.32
core-auto-short-three,38.07,15.78,51.32,27.35,44.86,74.87
core-auto-short-three-rci,38.06,13.36,48.01,23.88,41.81,74.31
core-xl-long-one,35.72,10.13,46.74,18.79,37.05,72.34
core-xl-long-one-rci,35.67,10.54,48.08,19.29,37.23,72.54
core-xl-long-three,35.53,9.89,45.67,17.56,35.99,70.96
core-xl-long-three-rci,35.74,10.86,47.49,18.66,37.01,71.70
core-xl-short-one,30.94,13.97,48.25,22.98,42.56,76.53
core-xl-short-one-rci,31.12,11.85,46.04,21.54,40.38,75.55
core-xl-short-three,30.45,12.15,44.09,19.96,39.12,74.12
core-xl-short-three-rci,30.75,11.71,43.89,18.75,37.54,73.99
core-long-zero,35.74,11.55,46.12,18.30,36.44,71.73
core-long-zero-rci,36.22,11.54,46.10,17.95,36.08,71.99
core-short-zero,27.73,8.97,43.51,19.48,37.63,73.73
core-short-zero-rci,27.90,8.06,44.57,19.61,38.09,73.87
extended-auto-long-one,40.52,20.46,53.31,26.61,43.15,74.42
extended-auto-long-one-rci,40.62,20.07,54.20,27.42,43.86,74.73
extended-auto-long-three,42.22,19.19,52.03,24.90,41.78,73.46
extended-auto-long-three-rci,42.24,19.63,52.17,25.71,42.36,73.62
extended-auto-short-one,35.66,14.25,51.45,25.89,44.33,76.35
extended-auto-short-one-rci,35.64,13.32,49.70,25.08,42.76,75.62
extended-auto-short-three,37.13,15.10,51.72,27.80,45.20,74.92
extended-auto-short-three-rci,37.27,13.87,49.50,25.84,43.27,74.77
extended-xl-long-one,36.17,10.66,48.33,19.72,37.66,72.35
extended-xl-long-one-rci,36.38,11.10,49.02,19.42,37.54,72.37
extended-xl-long-three,36.16,10.84,47.77,19.22,37.36,71.36
extended-xl-long-three-rci,36.26,11.58,48.90,19.99,38.03,71.86
extended-xl-short-one,31.38,12.62,48.21,21.85,41.09,76.00
extended-xl-short-one-rci,31.47,12.28,47.53,21.63,40.74,75.71
extended-xl-short-three,30.28,11.88,42.76,19.30,37.76,73.82
extended-xl-short-three-rci,30.02,12.75,42.92,19.39,37.51,73.97
extended-long-zero,36.21,12.93,47.38,20.14,37.82,72.16
extended-long-zero-rci,36.65,12.96,47.40,19.57,37.30,72.14
extended-short-zero,26.01,8.91,44.22,19.84,38.75,73.65
extended-short-zero-rci,26.34,8.97,44.74,20.11,38.86,73.71
