category,rank,language,id,codebleu,llm_judge
best,1,c,81,100.00,10
best,2,c,83,96.97,3
best,3,c,82,89.85,2
best,4,java,47,89.75,3
best,5,c,80,86.79,3
best,6,cpp,71,85.57,10
best,7,python,11,81.35,10
best,8,java,35,75.79,2
best,9,c,78,74.26,10
best,10,python,4,72.52,10
worst,1,java,38,12.75,2
worst,2,java,49,13.59,1
worst,3,c,99,16.68,6
worst,4,cpp,61,20.96,2
worst,5,cpp,57,22.29,1
worst,6,python,7,22.62,1
worst,7,c,89,22.95,3
worst,8,c,94,23.20,2
worst,9,python,20,24.98,1
worst,10,python,10,25.88,2
,,,,,
,,,average_best,85.29,6.3
,,,average_worst,20.59,2.1
