Test name,CodeBLEU,BLEU,ROUGE-1,ROUGE-2,ROUGE-L,BERTScore
xl,33.75,11.15,46.60,19.36,38.41,73.54
auto,39.22,16.20,51.32,25.04,42.69,74.75
auto_xl_difference,5.47,5.05,4.72,5.68,4.28,1.21
short,32.39,11.41,46.84,21.63,40.46,74.79
long,38.46,14.52,49.60,21.44,39.22,72.88
long_short_difference,6.07,3.11,2.76,-0.19,-1.24,-1.91
zero,31.20,10.14,45.28,18.89,37.03,72.61
one,36.27,13.52,49.42,22.40,40.86,74.68
three,36.70,13.83,48.50,21.99,40.24,73.61
non_RCI,35.30,13.19,48.44,21.76,40.10,73.86
RCI,35.55,12.75,48.00,21.31,39.58,73.82
rci_difference,0.25,-0.44,-0.44,-0.45,-0.52,-0.04
