category,rank,language,id,reference,generated_rci,bertscore_f1,bleu_score,rouge1,rouge2,rougeL
top,1,python,19,"Retrieves an attribute from an object, returning a specified default value if the attribute is missing or its value is `None`","Retrieves an attribute from an object by name, returning a specified default value if the attribute is missing or its value is None.",95.16085982322691,76.97570474571562,95.45454545454544,90.47619047619048,95.45454545454544
top,2,python,22,Checks if a given VSSNode is a leaf by verifying its 'data' attribute is an instance of VSSDataDatatype,Checks if a VSSNode is a leaf node by verifying if its 'data' field holds a VSSDataDatatype instance.,91.46861433982848,23.275118953744556,72.22222222222221,41.17647058823529,66.66666666666666
top,3,c,81,"Constructs and sends a 2-byte UDS positive response for a Transfer Data request (containing the positive SID and the block sequence counter) over a CAN bus using the ISO-TP protocol, logging an error if the transmission fails","Sends a 2-byte UDS Transfer Data response message (containing a positive service ID and the block sequence counter) over a CAN bus using the ISO-TP protocol, logging an error if the transmission fails.",91.0216987133026,63.74587371434271,86.48648648648648,69.44444444444446,81.08108108108108
top,4,java,45,Makes the media layout view visible and updates its title and subtitle with the provided text,Makes a media layout view visible and updates its title and subtitle text fields with the provided CharSequence values.,88.54284882545471,54.68017145144114,85.71428571428572,66.66666666666666,80.0
top,5,java,31,Updates the header view on the main UI thread by making its root view visible and setting the card's title and icon from the provided `CardHeader` object,"Updates the card's header view on the main thread, setting the title and icon from the provided `CardHeader` and making the root view visible.",88.25632333755493,50.681399086537255,90.56603773584904,62.7450980392157,64.15094339622641
top,6,c,78,"Constructs and sends a 2-byte UDS positive response to an ECU Reset request, containing the positive response SID and the echoed reset type, over a CAN bus using the ISO-TP protocol, logging an error if the transmission fails","Constructs and sends a 2-byte UDS positive reset response message (containing a calculated service ID and the reset type) over a CAN bus using the ISO-TP protocol, logging an error if the transmission fails.",87.08151578903198,56.84850965123727,81.57894736842107,67.56756756756756,78.94736842105262
top,7,c,90,"Sets the gain for a specified DAC (0 or 1) on a high-voltage shield by updating its value in a cached data structure and then calling an update function to write the new configuration to the hardware, returning an error for an invalid DAC index","Sets the gain value for a specified DAC (0 or 1) within the HV shield device by updating a corresponding register and subsequently invoking an update function to apply the new gain, returning an error if the DAC number is invalid.",83.92140865325928,32.728617345584844,64.36781609195403,35.294117647058826,57.47126436781609
top,8,java,49,"Formats a phone number to create a new `DescriptiveTextWithControlsView` with call details and controls, then notifies the presenter that the model has been updated","Formats a phone number using `TelecomUtils`, creates a `DescriptiveTextWithControlsView` with the formatted number and associated UI controls, and then informs the presenter of the model update.",83.54230523109436,18.78921507781289,55.99999999999999,24.999999999999996,55.99999999999999
top,9,c,83,"Constructs and sends a 1-byte UDS positive response for a Transfer Exit request (containing the request SID + 0x40) over a CAN bus using the ISO-TP protocol, logging an error if the transmission fails","Sends a 1-byte UDS positive response message indicating successful transfer exit over a CAN bus using the ISO-TP protocol, logging an error if the transmission fails.",83.08740854263306,51.69979329013728,79.36507936507937,72.1311475409836,79.36507936507937
top,10,c,96,"Populates an output parameter with the number of available Abstract LIN callback slots, calculated by subtracting the used count from a configured maximum, returning an error if the parameter is a null pointer","Calculates and returns the number of free callback slots for an abstract LIN device by subtracting the currently used callback count from the configured maximum, returning an error if the provided pointer is null.",82.32747316360474,30.65228083042752,71.64179104477613,40.0,59.70149253731343
bottom,1,java,46,"If the content's start time is positive, this method makes a chronometer and a separator visible, sets the chronometer's base time, and starts it; otherwise, it hides both views","Conditionally displays and starts a chronometer to track audio duration based on the `startTime` in a `DescriptiveTextWithControlsView`, showing a separator when the chronometer is visible.",61.0451340675354,4.388516600669644,39.28571428571428,14.814814814814811,21.428571428571427
bottom,2,java,38,"Retrieves a specific, resolvable map `Intent` from a configured list if it matches the system's default map app, otherwise falls back to a generic `Intent` for any map application","Constructs an `Intent` to launch a maps application, prioritizing activities listed in `config_homeCardPreferredMapActivities` based on package name and availability, falling back to the system default if no preferred activity is valid or found.",61.91360950469971,5.28768271133782,28.125,6.451612903225808,15.625
bottom,3,python,5,Returns a dictionary mapping the short name to the full FQN for all dynamic datatypes that exist in the same namespace as the provided FQN,"Identifies and returns a dictionary of namespaced datatypes from a fully qualified name (FQN) by searching a list of dynamic datatypes for a prefix match, returning the last component of the matched datatype as the key and the full datatype string as the value.",63.728123903274536,3.4347962412246984,40.57971014492754,14.925373134328357,28.98550724637681
bottom,4,cpp,74,"Registers a D-Bus interface handler for a specific path, returning `false` if the exact handler is already registered, but allowing idempotent registration for standard `ObjectManager` and `Properties` interfaces","Adds a `DBusInterfaceHandler` to a table indexed by `DBusInterfaceHandlerPath`, returning `true` if the handler already exists and is a standard object manager interface, or if the addition is successful, and `false` otherwise.",66.12561345100403,8.960170089569873,39.344262295081975,3.389830508474576,29.50819672131148
bottom,5,cpp,59,"Decrements a reference count for a given D-Bus service name, releasing it from the bus if the count reaches zero, and returns `true` on success or `false` if the name was not being tracked","Releases a D-Bus service name by either removing it if it's the last instance or decrementing its count, using `dbus_bus_release_name` and handling potential errors while ensuring thread safety with a recursive mutex, and returning `true` if the release operation was successful or the count was decremented.",66.38108491897583,7.239266950906243,46.51162790697674,11.904761904761903,32.55813953488372
