test_name,language,corpus_codebleu,corpus_ngram_match_score,corpus_weighted_ngram_match_score,corpus_syntax_match_score,corpus_dataflow_match_score
base_12b-auto-long-three,python,39.67,25.91,30.29,45.75,56.72
base_12b-auto-long-three,java,42.44,32.27,34.13,51.20,52.15
base_12b-auto-long-three,cpp,36.99,20.03,21.23,51.01,55.69
base_12b-auto-long-three,c,48.09,43.32,44.56,48.99,55.48
base_12b-auto-long-three,average,41.80,30.38,32.55,49.24,55.01
base_12b-auto-long-three-rci,python,40.00,25.91,30.73,46.45,56.92
base_12b-auto-long-three-rci,java,42.99,33.07,34.82,51.44,52.61
base_12b-auto-long-three-rci,cpp,36.97,19.98,21.05,51.76,55.08
base_12b-auto-long-three-rci,c,48.28,43.43,44.62,49.59,55.48
base_12b-auto-long-three-rci,average,42.06,30.60,32.80,49.81,55.02
