test_name,language,corpus_codebleu,corpus_ngram_match_score,corpus_weighted_ngram_match_score,corpus_syntax_match_score,corpus_dataflow_match_score
base_12b-auto-long-one,average,40.93,30.75,32.03,47.38,53.57
base_12b-auto-long-one-rci,average,41.53,31.10,32.30,47.78,54.95
base_12b-auto-long-three,average,41.80,30.38,32.55,49.24,55.01
base_12b-auto-long-three-rci,average,42.06,30.60,32.80,49.81,55.02
base_12b-auto-short-one,average,36.58,25.27,28.90,42.59,49.56
base_12b-auto-short-one-rci,average,36.85,26.13,29.67,43.17,48.43
base_12b-auto-short-three,average,37.52,28.06,30.20,43.87,47.94
base_12b-auto-short-three-rci,average,37.90,28.49,30.45,44.27,48.39
base_12b-xl-long-one,average,37.37,25.82,27.03,43.75,52.89
base_12b-xl-long-one-rci,average,37.50,25.84,27.04,43.71,53.42
base_12b-xl-long-three,average,36.93,25.22,27.16,43.36,51.97
base_12b-xl-long-three-rci,average,37.46,25.44,27.41,44.18,52.82
base_12b-xl-short-one,average,31.80,21.50,24.48,39.15,42.06
base_12b-xl-short-one-rci,average,32.03,21.25,24.56,39.57,42.73
base_12b-xl-short-three,average,31.32,22.19,24.53,38.71,39.84
base_12b-xl-short-three-rci,average,31.57,22.14,24.63,39.14,40.38
base_12b-long-zero,average,36.78,25.34,27.31,42.59,51.86
base_12b-long-zero-rci,average,37.37,25.66,27.54,43.27,53.02
base_12b-short-zero,average,23.25,15.57,21.44,31.25,24.72
base_12b-short-zero-rci,average,24.15,16.20,22.03,31.92,26.46
