test_name,language,corpus_codebleu,corpus_ngram_match_score,corpus_weighted_ngram_match_score,corpus_syntax_match_score,corpus_dataflow_match_score
base_12b-xl-short-one,python,37.62,24.30,30.13,44.86,51.19
base_12b-xl-short-one,java,30.70,24.65,25.98,37.02,35.15
base_12b-xl-short-one,cpp,31.07,18.61,19.70,41.96,44.00
base_12b-xl-short-one,c,27.80,18.44,22.12,32.76,37.90
base_12b-xl-short-one,average,31.80,21.50,24.48,39.15,42.06
base_12b-xl-short-one-rci,python,37.75,23.45,30.03,44.96,52.57
base_12b-xl-short-one-rci,java,31.23,25.54,27.07,37.62,34.69
base_12b-xl-short-one-rci,cpp,31.50,18.22,19.19,43.05,45.54
base_12b-xl-short-one-rci,c,27.64,17.80,21.96,32.66,38.13
base_12b-xl-short-one-rci,average,32.03,21.25,24.56,39.57,42.73
