test_name,language,corpus_codebleu,corpus_ngram_match_score,corpus_weighted_ngram_match_score,corpus_syntax_match_score,corpus_dataflow_match_score
base_12b-short-zero,python,34.03,27.39,28.65,39.16,40.91
base_12b-short-zero,java,21.09,15.54,22.73,25.00,21.09
base_12b-short-zero,cpp,26.44,14.88,18.21,39.45,33.23
base_12b-short-zero,c,11.43,4.47,16.18,21.40,3.65
base_12b-short-zero,average,23.25,15.57,21.44,31.25,24.72
base_12b-short-zero-rci,python,33.58,27.35,28.68,37.76,40.51
base_12b-short-zero-rci,java,22.55,17.07,23.80,26.44,22.90
base_12b-short-zero-rci,cpp,28.43,15.75,18.76,41.37,37.85
base_12b-short-zero-rci,c,12.05,4.64,16.87,22.11,4.57
base_12b-short-zero-rci,average,24.15,16.20,22.03,31.92,26.46
