test_name,bleu_score,corpus_rouge1,corpus_rouge2,corpus_rougeL,corpus_bertscore_f1
base_12b-auto-long-one,19.29,53.43,25.42,42.69,75.02
base_12b-auto-long-one-rci,20.77,53.89,26.44,43.55,75.23
base_12b-auto-long-three,19.44,52.49,24.75,42.32,74.25
base_12b-auto-long-three-rci,19.58,53.09,25.28,42.56,74.41
base_12b-auto-short-one,11.14,49.16,22.87,41.88,75.50
base_12b-auto-short-one-rci,10.19,48.14,21.36,40.94,75.42
base_12b-auto-short-three,13.23,50.36,24.62,42.79,74.71
base_12b-auto-short-three-rci,12.30,50.21,23.67,42.51,74.87
base_12b-xl-long-one,11.13,48.76,18.50,38.38,72.93
base_12b-xl-long-one-rci,10.41,47.69,18.51,37.56,72.77
base_12b-xl-long-three,12.12,48.02,18.57,37.77,71.67
base_12b-xl-long-three-rci,11.52,46.90,18.30,36.98,71.81
base_12b-xl-short-one,10.75,46.89,19.95,39.98,75.79
base_12b-xl-short-one-rci,8.90,44.47,17.34,38.29,74.99
base_12b-xl-short-three,10.62,45.79,18.85,40.09,75.00
base_12b-xl-short-three-rci,7.28,44.12,16.50,38.11,74.71
base_12b-long-zero,11.16,46.91,17.91,35.41,70.94
base_12b-long-zero-rci,11.66,45.89,17.55,34.64,71.25
base_12b-short-zero,7.63,44.19,18.70,37.05,73.21
base_12b-short-zero-rci,7.28,42.36,17.46,36.26,72.93
