id,language,reference,generated,generated_rci,codebleu,ngram_match_score,weighted_ngram_match_score,syntax_match_score,dataflow_match_score
2,python,"def is_datatype(cls, value: Any, datatype: str) -> bool:
    t = cls.get_type(datatype)
    if t is None:
        raise DatatypesException(f""Unsupported datatype: {datatype}"")
    return t[1](value)","from typing import Any

def is_datatype(cls, value: Any, datatype: str) -> bool:
    if datatype not in cls.datatypes:
        raise ValueError(f""Unsupported datatype: '{datatype}'"")
    validation_function = cls.datatypes[datatype]
    return validation_function(value)","from typing import Any

def is_datatype(cls, value: Any, datatype: str) -> bool:
    if datatype not in cls.datatypes:
        raise ValueError(f""Unsupported datatype: '{datatype}'"")
    validation_function = cls.datatypes[datatype]
    return validation_function(value)",46.595948956881614,29.534359244592505,38.387898121395494,38.46153846153847,80.0
3,python,"def is_xintx(value: Any, signed: bool, bits: int):
    values = [value]
    if isinstance(value, list):
        values = value

    for v in values:
        if not isinstance(v, int):
            return False
        if not signed and v < 0:
            return False
        max = 2**bits - 1
        min = 0
        if signed:
            max = 2 ** (bits - 1) - 1
            min = -(2 ** (bits - 1))
        if not (v <= max and v >= min):
            return False
    return True","from typing import Any, Union, List

def is_xintx(value: Any, signed: bool, bits: int) -> bool:
    if isinstance(value, list):
        return all(is_xintx(item, signed, bits) for item in value)
    if not isinstance(value, int):
        return False
    if signed:
        lower_bound = -(2**(bits - 1))
        upper_bound = 2**(bits - 1) - 1
    else:
        lower_bound = 0
        upper_bound = 2**bits - 1
    return lower_bound <= value <= upper_bound","from typing import Any, Union, List

def is_xintx(value: Any, signed: bool, bits: int) -> bool:
    if isinstance(value, list):
        return all(is_xintx(item, signed, bits) for item in value)
    if not isinstance(value, int):
        return False
    if signed:
        lower_bound = -(2**(bits - 1))
        upper_bound = 2**(bits - 1) - 1
    else:
        lower_bound = 0
        upper_bound = 2**bits - 1
    return lower_bound <= value <= upper_bound",36.722581822236194,20.055074222989592,20.571846802548933,60.317460317460316,45.94594594594595
4,python,"def get_type(cls, datatype: str) -> tuple[str, Callable, list[str]] | None:
        for t in cls.types:
            if datatype == t[0]:
                return t
        return None","def get_type(cls, datatype: str) -> tuple[str, Callable, list[str]] | None:
    for type_def in cls.types:
        if type_def[0] == datatype:
            return type_def
    return None","def get_type(cls, datatype: str) -> tuple[str, Callable, list[str]] | None:
    for type_def in cls.types:
        if type_def[0] == datatype:
            return type_def
    return None",72.51558048642302,57.14392512385289,58.84432274776513,74.07407407407408,100.0
5,python,"def get_fqn_namespaced_datatypes(fqn: str | None = None) -> dict[str, str]:
    if not fqn:
        return {}
    fqn_namespaced_datatypes = {}
    for t in dynamic_datatypes:
        if fqn.startswith(t):
            continue

        if fqn.startswith(""."".join(t.split(""."")[:-1])):
            fqn_namespaced_datatypes[(t.split(""."")[-1])] = t

    if fqn_namespaced_datatypes:
        log.debug(f""Namespaced datatypes, {fqn=}, {fqn_namespaced_datatypes=}"")
    return fqn_namespaced_datatypes","def get_fqn_namespaced_datatypes(fqn: str | None = None) -> dict[str, str]:
    datatypes = {}
    if fqn:
        for datatype in Datatypes:
            if datatype.namespace == fqn.split('.')[0]:
                datatypes[datatype.short_name] = datatype.fqn
    else:
        for datatype in Datatypes:
            datatypes[datatype.short_name] = datatype.fqn
    return datatypes","def get_fqn_namespaced_datatypes(fqn: str | None = None) -> dict[str, str]:
    datatypes = {}
    if fqn:
        for datatype in Datatypes:
            if datatype.namespace == fqn.split('.')[0]:
                datatypes[datatype.short_name] = datatype.fqn
    else:
        for datatype in Datatypes:
            datatypes[datatype.short_name] = datatype.fqn
    return datatypes",39.052770553867376,27.862307775531836,28.464515180678408,40.625,59.25925925925925
7,python,"def get_apigear_datatype(t: str) -> typing.Optional[ApiGearType]:
    is_array = False
    apigear_type = None
    if t.endswith(""[]""):
        is_array = True
        t = t[0:-2]

    if t in [""int8"", ""int16"", ""int32"", ""uint8"", ""uint16"", ""uint32""]:
        apigear_type = ApiGearType(ApiGearBasicType.INT32.value)
    elif t in [""int64"", ""uint64""]:
        apigear_type = ApiGearType(ApiGearBasicType.INT64.value)
    elif t == ""float"":
        apigear_type = ApiGearType(ApiGearBasicType.FLOAT32.value)
    elif t == ""double"":
        apigear_type = ApiGearType(ApiGearBasicType.FLOAT64.value)
    elif t == ""boolean"":
        apigear_type = ApiGearType(ApiGearBasicType.BOOL.value)
    elif t == ""string"":
        apigear_type = ApiGearType(ApiGearBasicType.STRING.value)
    else:
        apigear_type = ApiGearType(t.replace(""."", ""_""))

    if is_array and apigear_type is not None:
        apigear_type.is_array = True

    return apigear_type","def get_apigear_datatype(t: str) -> typing.Optional[ApiGearType]:
    t = t.strip()
    if t in (""string"", ""str"", ""text""):
        return ApiGearType(""string"")
    if t in (""integer"", ""int"", ""number"", ""long""):
        return ApiGearType(""integer"")
    if t == ""boolean"":
        return ApiGearType(""boolean"")
    if t == ""float"":
        return ApiGearType(""float"")
    if t.endswith(""[]""):
        return ApiGearType(t[:-2], array=True)
    if ""."" in t:
        t = t.replace(""."", ""_"")
    return ApiGearType(t)","def get_apigear_datatype(t: str) -> typing.Optional[ApiGearType]:
    t = t.strip()
    if t in (""string"", ""str"", ""text""):
        return ApiGearType(""string"")
    if t in (""integer"", ""int"", ""number"", ""long""):
        return ApiGearType(""integer"")
    if t == ""boolean"":
        return ApiGearType(""boolean"")
    if t == ""float"":
        return ApiGearType(""float"")
    if t.endswith(""[]""):
        return ApiGearType(t[:-2], array=True)
    if ""."" in t:
        t = t.replace(""."", ""_"")
    return ApiGearType(t)",20.956706056763025,8.373189425102936,9.792819482059418,34.51327433628318,31.147540983606557
8,python,"def generate_property(node: VSSNode, datatype: str) -> ApiGearProperty | None:
    apigear_type = get_apigear_datatype(datatype)
    data = node.get_vss_data()

    if apigear_type is None:
        log.warning(f""Datatype {datatype} of node {node.name} currently not supported"")
        return None

    property = ApiGearProperty(apigear_type)
    if data.description != """":
        property.description = data.description
    return property","def generate_property(node: VSSNode, datatype: str) -> ApiGearProperty | None:
    api_gear_type = convert_datatype(datatype)
    if api_gear_type is None:
        log.warning(f""Unsupported datatype: {datatype}"")
        return None
    property = ApiGearProperty(
        name=node.name,
        type=api_gear_type,
        description=node.description,
    )
    return property","def generate_property(node: VSSNode, datatype: str) -> ApiGearProperty | None:
    api_gear_type = convert_datatype(datatype)
    if api_gear_type is None:
        log.warning(f""Unsupported datatype: {datatype}"")
        return None
    property = ApiGearProperty(
        name=node.name,
        type=api_gear_type,
        description=node.description,
    )
    return property",44.442816050417086,27.180522660015654,30.03518598609714,55.55555555555556,65.0
10,python,"def load_vspec(include_dirs: list[Path], specs: list[Path], identifier: str | None = None) -> VSpec:
    spec = None
    vspecs: list[VSpec] = []
    for s in specs:
        includes = [s.parent] + include_dirs
        vspecs.extend(get_vspecs(includes, s))
    pre = ""VSpecs""
    if identifier:
        pre += f"" ({identifier})""
    log.info(f""{pre} loaded, amount={len(vspecs)}"")
    for vspec in vspecs:
        log.debug(vspec)
        if spec is None:
            spec = vspec
        else:
            spec.update(vspec)
    if not spec:
        msg = f""Weird behavior. Could not load any spec: {specs}""
        log.error(msg)
        raise SpecException(msg)
    return spec","from pathlib import Path

class VSpec:
    def __init__(self):
        self.definitions = {}

    def merge(self, other):
        for key, value in other.definitions.items():
            self.definitions[key] = value

def load_vspec(include_dirs: list[Path], specs: list[Path], identifier: str | None = None) -> VSpec:
    vspec = VSpec()
    loaded_files = 0
    for spec_path in specs:
        try:
            with open(spec_path, 'r') as f:
                content = f.read()
            
            lines = content.splitlines()
            
            for line in lines:
                if ':' in line:
                    key, value = line.split(':', 1)
                    vspec.definitions[key.strip()] = value.strip()
            
            loaded_files += 1
        except FileNotFoundError:
            print(f""Warning: File not found: {spec_path}"")
        except Exception as e:
            print(f""Warning: Error loading file {spec_path}: {e}"")

    if loaded_files == 0:
        raise Exception(""No VSpec files were successfully loaded."")

    return vspec","from pathlib import Path

class VSpec:
    def __init__(self):
        self.definitions = {}

    def merge(self, other):
        for key, value in other.definitions.items():
            self.definitions[key] = value

def load_vspec(include_dirs: list[Path], specs: list[Path], identifier: str | None = None) -> VSpec:
    vspec = VSpec()
    loaded_files = 0
    for spec_path in specs:
        try:
            with open(spec_path, 'r') as f:
                content = f.read()
            
            lines = content.splitlines()
            
            for line in lines:
                if ':' in line:
                    key, value = line.split(':', 1)
                    vspec.definitions[key.strip()] = value.strip()
            
            loaded_files += 1
        except FileNotFoundError:
            pass
        except Exception as e:
            pass

    if loaded_files == 0:
        raise Exception(""No VSpec files were successfully loaded."")

    return vspec",28.75049249074718,15.195004263621398,20.969756397041746,30.0,48.837209302325576
11,python,"def deep_update(base: dict[str, Any], update: dict[str, Any]) -> None:
    for key, value in update.items():
        if isinstance(value, dict):
            if key in base and isinstance(base[key], dict):
                deep_update(base[key], value)
            else:
                base[key] = value
        else:
            base[key] = value","def deep_update(base: dict[str, Any], update: dict[str, Any]) -> None:
    for key, value in update.items():
        if key in base and isinstance(base[key], dict) and isinstance(value, dict):
            deep_update(base[key], value)
        else:
            base[key] = value","def deep_update(base: dict[str, Any], update: dict[str, Any]) -> None:
    for key, value in update.items():
        if key in base and isinstance(base[key], dict) and isinstance(value, dict):
            deep_update(base[key], value)
        else:
            base[key] = value",79.6946655476183,72.17897697581664,72.64135188132323,83.33333333333334,90.625
12,python,"def check_const_uid_format(cls, v: str | None) -> str | None:
    if v is None:
        return v
    pattern = r""^0x[0-9A-Fa-f]{8}$""
    assert bool(re.match(pattern, v)), f""'{v}' is not a valid 'constUID'""
    return v","def check_const_uid_format(cls, v: str | None) -> str | None:
    if v is not None:
        if not isinstance(v, str):
            return None
        if not v.startswith(""0x""):
            return None
        if len(v) != 10:
            return None
        try:
            int(v[2:], 16)
        except ValueError:
            return None
        return v
    return None","def check_const_uid_format(cls, v: str | None) -> str | None:
    if v is not None:
        if not isinstance(v, str):
            return None
        if not v.startswith(""0x""):
            return None
        if len(v) != 10:
            return None
        try:
            int(v[2:], 16)
        except ValueError:
            return None
        return v
    return None",48.9521345186815,31.10340303714584,46.705135037580135,48.0,70.0
13,python,"def get_vss_raw(data: dict[str, Any], fqn: str | None) -> VSSRaw:
    model = VSSRaw(fqn=fqn, **data)
    try:
        model = resolve_vss_raw(model)
    except (ValidationError, ModelException):
        log.debug(f""'{fqn}', incomplete, initialized as '{model.__class__.__name__}'"")
        return model
    return model","def get_vss_raw(data: dict[str, Any], fqn: str | None) -> VSSRaw:
    model = VSSRaw.from_dict(data)
    try:
        model.resolve()
    except (ValidationError, ModelError):
        pass
    return model","def get_vss_raw(data: dict[str, Any], fqn: str | None) -> VSSRaw:
    model = VSSRaw.from_dict(data)
    try:
        model.resolve()
    except (ValidationError, ModelError):
        pass
    return model",46.0457632765151,39.73869858280553,41.94435452325487,42.5,60.0
