id,language,reference,generated,generated_rci,codebleu,ngram_match_score,weighted_ngram_match_score,syntax_match_score,dataflow_match_score
2,python,"def is_datatype(cls, value: Any, datatype: str) -> bool:
    t = cls.get_type(datatype)
    if t is None:
        raise DatatypesException(f""Unsupported datatype: {datatype}"")
    return t[1](value)","def is_datatype(cls, value: Any, datatype: str) -> bool:
    try:
        cls.convert(value, datatype)
        return True
    except:
        return False","def is_datatype(cls, value: Any, datatype: str) -> bool:
    try:
        cls.validate(value, datatype)
        return True
    except:
        return False",38.47016612563321,33.36781492497376,33.58977265448216,26.923076923076923,60.0
3,python,"def is_xintx(value: Any, signed: bool, bits: int):
    values = [value]
    if isinstance(value, list):
        values = value

    for v in values:
        if not isinstance(v, int):
            return False
        if not signed and v < 0:
            return False
        max = 2**bits - 1
        min = 0
        if signed:
            max = 2 ** (bits - 1) - 1
            min = -(2 ** (bits - 1))
        if not (v <= max and v >= min):
            return False
    return True","from typing import Any, List, Union

def is_xintx(value: Any, signed: bool, bits: int) -> bool:
    if isinstance(value, list):
        return all(is_xintx(item, signed, bits) for item in value)

    if not isinstance(value, int):
        return False

    if signed:
        lower_bound = -(2**(bits - 1))
        upper_bound = 2**(bits - 1) - 1
    else:
        lower_bound = 0
        upper_bound = 2**bits - 1

    return lower_bound <= value <= upper_bound","from typing import Any, List, Union

def is_xintx(value: Any, signed: bool, bits: int) -> bool:
    if isinstance(value, list):
        return all(is_xintx(item, signed, bits) for item in value)

    if not isinstance(value, int):
        return False

    if signed:
        lower_bound = -(2**(bits - 1))
        upper_bound = 2**(bits - 1) - 1
    else:
        lower_bound = 0
        upper_bound = 2**bits - 1

    return lower_bound <= value <= upper_bound",36.722581822236194,20.055074222989592,20.571846802548933,60.317460317460316,45.94594594594595
4,python,"def get_type(cls, datatype: str) -> tuple[str, Callable, list[str]] | None:
        for t in cls.types:
            if datatype == t[0]:
                return t
        return None","def get_type(cls, datatype: str) -> tuple[str, Callable, list[str]] | None:
    for type_tuple in cls.types:
        if type_tuple[0] == datatype:
            return type_tuple
    return None","def get_type(cls, datatype: str) -> tuple[str, Callable, list[str]] | None:
    for type_tuple in cls.types:
        if type_tuple[0] == datatype:
            return type_tuple
    return None",72.51558048642302,57.14392512385289,58.84432274776513,74.07407407407408,100.0
5,python,"def get_fqn_namespaced_datatypes(fqn: str | None = None) -> dict[str, str]:
    if not fqn:
        return {}
    fqn_namespaced_datatypes = {}
    for t in dynamic_datatypes:
        if fqn.startswith(t):
            continue

        if fqn.startswith(""."".join(t.split(""."")[:-1])):
            fqn_namespaced_datatypes[(t.split(""."")[-1])] = t

    if fqn_namespaced_datatypes:
        log.debug(f""Namespaced datatypes, {fqn=}, {fqn_namespaced_datatypes=}"")
    return fqn_namespaced_datatypes","def get_fqn_namespaced_datatypes(fqn: str | None = None) -> dict[str, str]:
    datatypes = {}
    if fqn:
        parts = fqn.split(""."")
        current_namespace = ""."".join(parts[:-1])
        datatype_name = parts[-1]
        if current_namespace:
            for namespace, datatypes_in_namespace in get_datatypes_by_namespace(current_namespace).items():
                datatypes.update(datatatypes_in_namespace)
        else:
            current_namespace = """"
        if datatype_name in get_datatypes_by_namespace(current_namespace):
            datatypes[datatype_name] = get_datatypes_by_namespace(current_namespace)[datatype_name]
    else:
        for namespace, datatypes_in_namespace in get_datatypes_by_namespace(""""):
            datatypes.update(datatatypes_in_namespace)
    return datatypes","def get_fqn_namespaced_datatypes(fqn: str | None = None) -> dict[str, str]:
    datatypes = {}
    if fqn:
        parts = fqn.split(""."")
        if len(parts) > 1:
            current_namespace = ""."".join(parts[:-1])
            datatype_name = parts[-1]
            if current_namespace:
                for namespace, datatypes_in_namespace in get_datatypes_by_namespace(current_namespace).items():
                    datatypes.update(datatatypes_in_namespace)
            if datatype_name in get_datatypes_by_namespace(current_namespace):
                datatypes[datatype_name] = get_datatypes_by_namespace(current_namespace)[datatype_name]
        else:
            datatype_name = parts[0]
            if datatype_name in get_datatypes_by_namespace(""""):
                datatypes[datatype_name] = get_datatypes_by_namespace("""")[datatype_name]
    else:
        for namespace, datatypes_in_namespace in get_datatypes_by_namespace("""").items():
            datatypes.update(datatatypes_in_namespace)
    return datatypes",36.2386370814213,16.9355185681984,29.870881609338674,50.0,48.148148148148145
7,python,"def get_apigear_datatype(t: str) -> typing.Optional[ApiGearType]:
    is_array = False
    apigear_type = None
    if t.endswith(""[]""):
        is_array = True
        t = t[0:-2]

    if t in [""int8"", ""int16"", ""int32"", ""uint8"", ""uint16"", ""uint32""]:
        apigear_type = ApiGearType(ApiGearBasicType.INT32.value)
    elif t in [""int64"", ""uint64""]:
        apigear_type = ApiGearType(ApiGearBasicType.INT64.value)
    elif t == ""float"":
        apigear_type = ApiGearType(ApiGearBasicType.FLOAT32.value)
    elif t == ""double"":
        apigear_type = ApiGearType(ApiGearBasicType.FLOAT64.value)
    elif t == ""boolean"":
        apigear_type = ApiGearType(ApiGearBasicType.BOOL.value)
    elif t == ""string"":
        apigear_type = ApiGearType(ApiGearBasicType.STRING.value)
    else:
        apigear_type = ApiGearType(t.replace(""."", ""_""))

    if is_array and apigear_type is not None:
        apigear_type.is_array = True

    return apigear_type","def get_apigear_datatype(t: str) -> typing.Optional[ApiGearType]:
    if t == ""string"":
        return ApiGearType(name=""string"", base_type=""string"", subtypes=[""string""])
    elif t == ""integer"":
        return ApiGearType(name=""integer"", base_type=""integer"", subtypes=[""integer""])
    elif t == ""number"":
        return ApiGearType(name=""number"", base_type=""number"", subtypes=[""integer"", ""float""])
    elif t == ""boolean"":
        return ApiGearType(name=""boolean"", base_type=""boolean"", subtypes=[""boolean""])
    elif t == ""array"":
        return ApiGearType(name=""array"", base_type=""array"", subtypes=[""array""])
    elif t == ""object"":
        return ApiGearType(name=""object"", base_type=""object"", subtypes=[""object""])
    else:
        return None","def get_apigear_datatype(t: str) -> typing.Optional[ApiGearType]:
    if t == ""string"":
        return ApiGearType(name=""string"", base_type=""string"", subtypes=[""string""])
    elif t == ""integer"":
        return ApiGearType(name=""integer"", base_type=""integer"", subtypes=[""integer""])
    elif t == ""number"":
        return ApiGearType(name=""number"", base_type=""number"", subtypes=[""integer"", ""float""])
    elif t == ""boolean"":
        return ApiGearType(name=""boolean"", base_type=""boolean"", subtypes=[""boolean""])
    elif t == ""array"":
        return ApiGearType(name=""array"", base_type=""array"", subtypes=[""array""])
    elif t == ""object"":
        return ApiGearType(name=""object"", base_type=""object"", subtypes=[""object""])
    else:
        return None",19.669449895468478,11.552899673440544,13.20062890886858,30.973451327433626,22.950819672131146
8,python,"def generate_property(node: VSSNode, datatype: str) -> ApiGearProperty | None:
    apigear_type = get_apigear_datatype(datatype)
    data = node.get_vss_data()

    if apigear_type is None:
        log.warning(f""Datatype {datatype} of node {node.name} currently not supported"")
        return None

    property = ApiGearProperty(apigear_type)
    if data.description != """":
        property.description = data.description
    return property","def generate_property(node: VSSNode, datatype: str) -> ApiGearProperty | None:
    if not node:
        return None

    if node.name is None:
        return None

    if datatype is None:
        return None

    property = ApiGearProperty(
        name=node.name,
        datatype=datatype,
        description=node.description,
        unit=node.unit,
        offset=node.offset,
        scale=node.scale,
        minimum=node.minimum,
        maximum=node.maximum,
        is_array=node.is_array,
        array_length=node.array_length,
        is_constant=node.is_constant,
        constant_value=node.constant_value,
    )

    return property","def generate_property(node: VSSNode, datatype: str) -> ApiGearProperty | None:
    if not node:
        return None

    if not node.name:
        return None

    if not datatype:
        return None

    property = ApiGearProperty(
        name=node.name,
        datatype=datatype,
        description=node.description,
        unit=node.unit,
        offset=node.offset,
        scale=node.scale,
        minimum=node.minimum,
        maximum=node.maximum,
        is_array=node.is_array,
        array_length=node.array_length,
        is_constant=node.is_constant,
        constant_value=node.constant_value,
    )

    return property",38.73810182016027,26.67836062177809,29.940713325529657,33.33333333333333,65.0
10,python,"def load_vspec(include_dirs: list[Path], specs: list[Path], identifier: str | None = None) -> VSpec:
    spec = None
    vspecs: list[VSpec] = []
    for s in specs:
        includes = [s.parent] + include_dirs
        vspecs.extend(get_vspecs(includes, s))
    pre = ""VSpecs""
    if identifier:
        pre += f"" ({identifier})""
    log.info(f""{pre} loaded, amount={len(vspecs)}"")
    for vspec in vspecs:
        log.debug(vspec)
        if spec is None:
            spec = vspec
        else:
            spec.update(vspec)
    if not spec:
        msg = f""Weird behavior. Could not load any spec: {specs}""
        log.error(msg)
        raise SpecException(msg)
    return spec","from pathlib import Path

class VSpec:
    def __init__(self):
        self.data = {}

    def merge(self, other):
        for key, value in other.data.items():
            if key in self.data:
                raise ValueError(f""Duplicate key: {key}"")
            self.data[key] = value

def load_vspec(include_dirs: list[Path], specs: list[Path], identifier: str | None = None) -> VSpec:
    vspec = VSpec()
    for spec_path in specs:
        try:
            with open(spec_path, 'r') as f:
                spec_data = {}
                for line in f:
                    line = line.strip()
                    if not line or line.startswith('#'):
                        continue
                    key, value = line.split('=', 1)
                    spec_data[key.strip()] = value.strip()
                vspec.merge(VSpec(data=spec_data))
        except FileNotFoundError:
            print(f""Warning: File not found: {spec_path}"")
        except Exception as e:
            print(f""Error loading {spec_path}: {e}"")
    return vspec","from pathlib import Path

class VSpec:
    def __init__(self, data=None):
        self.data = data if data is not None else {}

    def merge(self, other):
        for key, value in other.data.items():
            if key in self.data:
                raise ValueError(f""Duplicate key: {key}"")
            self.data[key] = value

def load_vspec(include_dirs: list[Path], specs: list[Path], identifier: str | None = None) -> VSpec:
    vspec = VSpec()
    for spec_path in specs:
        try:
            with open(spec_path, 'r') as f:
                spec_data = {}
                for line in f:
                    line = line.strip()
                    if not line or line.startswith('#'):
                        continue
                    if '=' not in line:
                        print(f""Warning: Invalid line in {spec_path}: {line}"")
                        continue
                    key, value = line.split('=', 1)
                    spec_data[key.strip()] = value.strip()
                vspec.merge(VSpec(data=spec_data))
        except FileNotFoundError:
            print(f""Warning: File not found: {spec_path}"")
        except Exception as e:
            print(f""Error loading {spec_path}: {e}"")
    return vspec",30.970994910608056,13.079503747674767,22.975018530416374,36.666666666666664,51.162790697674424
11,python,"def deep_update(base: dict[str, Any], update: dict[str, Any]) -> None:
    for key, value in update.items():
        if isinstance(value, dict):
            if key in base and isinstance(base[key], dict):
                deep_update(base[key], value)
            else:
                base[key] = value
        else:
            base[key] = value","def deep_update(base: dict[str, Any], update: dict[str, Any]) -> None:
    for key, value in update.items():
        if key in base and isinstance(base[key], dict) and isinstance(value, dict):
            deep_update(base[key], value)
        else:
            base[key] = value","def deep_update(base: dict[str, Any], update: dict[str, Any]) -> None:
    for key, value in update.items():
        if isinstance(value, dict):
            if key in base and isinstance(base[key], dict):
                deep_update(base[key], value)
            else:
                base[key] = value
        else:
            base[key] = value",100.0,100.0,100.0,100.0,100.0
12,python,"def check_const_uid_format(cls, v: str | None) -> str | None:
    if v is None:
        return v
    pattern = r""^0x[0-9A-Fa-f]{8}$""
    assert bool(re.match(pattern, v)), f""'{v}' is not a valid 'constUID'""
    return v","def check_const_uid_format(cls, v: str | None) -> str | None:
    if not v:
        return v
    if not isinstance(v, str):
        raise TypeError(""constUID must be a string"")
    if len(v) != 8:
        raise ValueError(""constUID must be 8 characters long"")
    try:
        int(v, 16)
    except ValueError:
        raise ValueError(""constUID must be a hexadecimal string"")
    return v","def check_const_uid_format(cls, v: str | None) -> str | None:
    if not v:
        return v
    if not isinstance(v, str):
        raise TypeError(""constUID must be a string"")
    if len(v) != 8:
        raise ValueError(""constUID must be 8 characters long"")
    try:
        int(v, 16)
    except ValueError:
        raise ValueError(""constUID must be a hexadecimal string"")
    return v",46.46634413452247,22.704626973856634,39.160749564233264,44.0,80.0
13,python,"def get_vss_raw(data: dict[str, Any], fqn: str | None) -> VSSRaw:
    model = VSSRaw(fqn=fqn, **data)
    try:
        model = resolve_vss_raw(model)
    except (ValidationError, ModelException):
        log.debug(f""'{fqn}', incomplete, initialized as '{model.__class__.__name__}'"")
        return model
    return model","def get_vss_raw(data: dict[str, Any], fqn: str | None) -> VSSRaw:
    model = VSSRaw()
    model.resolve(data, fqn)
    if not model.resolved:
        return model
    return model","def get_vss_raw(data: dict[str, Any], fqn: str | None) -> VSSRaw:
    model = VSSRaw()
    try:
        model.resolve(data, fqn)
        if not model.resolved:
            return model
        return model
    except Exception as e:
        return model",52.04882466013472,47.60316867424132,49.75879663296421,37.5,73.33333333333333
