id,language,reference,generated,generated_rci,codebleu,ngram_match_score,weighted_ngram_match_score,syntax_match_score,dataflow_match_score
2,python,"def is_datatype(cls, value: Any, datatype: str) -> bool:
    t = cls.get_type(datatype)
    if t is None:
        raise DatatypesException(f""Unsupported datatype: {datatype}"")
    return t[1](value)","from typing import Any

def is_datatype(cls, value: Any, datatype: str) -> bool:
    if datatype == ""int"":
        return isinstance(value, int)
    elif datatype == ""float"":
        return isinstance(value, float)
    elif datatype == ""str"":
        return isinstance(value, str)
    elif datatype == ""bool"":
        return isinstance(value, bool)
    elif datatype == ""list"":
        return isinstance(value, list)
    elif datatype == ""tuple"":
        return isinstance(value, tuple)
    elif datatype == ""dict"":
        return isinstance(value, dict)
    else:
        raise ValueError(f""Unsupported datatype: {datatype}"")","from typing import Any

def is_datatype(cls, value: Any, datatype: str) -> bool:
    if datatype == ""int"":
        return isinstance(value, int)
    elif datatype == ""float"":
        return isinstance(value, float)
    elif datatype == ""str"":
        return isinstance(value, str)
    elif datatype == ""bool"":
        return isinstance(value, bool)
    elif datatype == ""list"":
        return isinstance(value, list)
    elif datatype == ""tuple"":
        return isinstance(value, tuple)
    elif datatype == ""dict"":
        return isinstance(value, dict)
    else:
        raise ValueError(f""Unsupported datatype: {datatype}"")",44.35845612489796,11.588952814536926,39.69102553120874,46.15384615384615,80.0
3,python,"def is_xintx(value: Any, signed: bool, bits: int):
    values = [value]
    if isinstance(value, list):
        values = value

    for v in values:
        if not isinstance(v, int):
            return False
        if not signed and v < 0:
            return False
        max = 2**bits - 1
        min = 0
        if signed:
            max = 2 ** (bits - 1) - 1
            min = -(2 ** (bits - 1))
        if not (v <= max and v >= min):
            return False
    return True","from typing import Any

def is_xintx(value: Any, signed: bool, bits: int) -> bool:
    if isinstance(value, int):
        if signed:
            min_val = -(2**(bits - 1))
            max_val = 2**(bits - 1) - 1
            return min_val <= value <= max_val
        else:
            max_val = 2**bits - 1
            return 0 <= value <= max_val
    elif isinstance(value, list):
        for item in value:
            if not is_xintx(item, signed, bits):
                return False
        return True
    else:
        return False","from typing import Any

def is_xintx(value: Any, signed: bool, bits: int) -> bool:
    if isinstance(value, int):
        if signed:
            min_val = -(2**(bits - 1))
            max_val = 2**(bits - 1) - 1
            return min_val <= value <= max_val
        else:
            max_val = 2**bits - 1
            return 0 <= value <= max_val
    elif isinstance(value, list):
        for item in value:
            if not is_xintx(item, signed, bits):
                return False
        return True
    else:
        return False",39.007143331768376,20.09967999427054,20.913878317787955,55.55555555555556,59.45945945945946
4,python,"def get_type(cls, datatype: str) -> tuple[str, Callable, list[str]] | None:
        for t in cls.types:
            if datatype == t[0]:
                return t
        return None","def get_type(cls, datatype: str) -> tuple[str, Callable, list[str]] | None:
    for type_def in cls.type_definitions:
        if type_def[0] == datatype:
            return type_def
    return None","def get_type(cls, datatype: str) -> tuple[str, Callable, list[str]] | None:
    for type_def in cls.type_definitions:
        if type_def[0] == datatype:
            return type_def
    return None",70.34186997887033,52.624397026344624,54.669008815062604,74.07407407407408,100.0
5,python,"def get_fqn_namespaced_datatypes(fqn: str | None = None) -> dict[str, str]:
    if not fqn:
        return {}
    fqn_namespaced_datatypes = {}
    for t in dynamic_datatypes:
        if fqn.startswith(t):
            continue

        if fqn.startswith(""."".join(t.split(""."")[:-1])):
            fqn_namespaced_datatypes[(t.split(""."")[-1])] = t

    if fqn_namespaced_datatypes:
        log.debug(f""Namespaced datatypes, {fqn=}, {fqn_namespaced_datatypes=}"")
    return fqn_namespaced_datatypes","def get_fqn_namespaced_datatypes(fqn: str | None = None) -> dict[str, str]:
    if fqn is None:
        return {}
    
    namespaced_datatypes = {}
    
    if fqn == ""java.lang.String"":
        namespaced_datatypes[""string""] = ""java.lang.String""
    elif fqn == ""java.lang.Integer"":
        namespaced_datatypes[""integer""] = ""java.lang.Integer""
    elif fqn == ""java.lang.Boolean"":
        namespaced_datatypes[""boolean""] = ""java.lang.Boolean""
    elif fqn == ""java.lang.Double"":
        namespaced_datatypes[""double""] = ""java.lang.Double""
    elif fqn == ""java.lang.Float"":
        namespaced_datatypes[""float""] = ""java.lang.Float""
    elif fqn == ""java.lang.Long"":
        namespaced_datatypes[""long""] = ""java.lang.Long""
    elif fqn == ""java.lang.Short"":
        namespaced_datatypes[""short""] = ""java.lang.Short""
    elif fqn == ""java.lang.Byte"":
        namespaced_datatypes[""byte""] = ""java.lang.Byte""
    elif fqn == ""java.lang.Character"":
        namespaced_datatypes[""character""] = ""java.lang.Character""
    
    return namespaced_datatypes","def get_fqn_namespaced_datatypes(fqn: str | None = None) -> dict[str, str]:
    if fqn is None:
        return {}
    
    namespaced_datatypes = {}
    
    if fqn == ""java.lang.String"":
        namespaced_datatypes[""string""] = ""java.lang.String""
    elif fqn == ""java.lang.Integer"":
        namespaced_datatypes[""integer""] = ""java.lang.Integer""
    elif fqn == ""java.lang.Boolean"":
        namespaced_datatypes[""boolean""] = ""java.lang.Boolean""
    elif fqn == ""java.lang.Double"":
        namespaced_datatypes[""double""] = ""java.lang.Double""
    elif fqn == ""java.lang.Float"":
        namespaced_datatypes[""float""] = ""java.lang.Float""
    elif fqn == ""java.lang.Long"":
        namespaced_datatypes[""long""] = ""java.lang.Long""
    elif fqn == ""java.lang.Short"":
        namespaced_datatypes[""short""] = ""java.lang.Short""
    elif fqn == ""java.lang.Byte"":
        namespaced_datatypes[""byte""] = ""java.lang.Byte""
    elif fqn == ""java.lang.Character"":
        namespaced_datatypes[""character""] = ""java.lang.Character""
    
    return namespaced_datatypes",27.77650505776966,13.537313903864282,30.844169290177348,29.6875,37.03703703703704
7,python,"def get_apigear_datatype(t: str) -> typing.Optional[ApiGearType]:
    is_array = False
    apigear_type = None
    if t.endswith(""[]""):
        is_array = True
        t = t[0:-2]

    if t in [""int8"", ""int16"", ""int32"", ""uint8"", ""uint16"", ""uint32""]:
        apigear_type = ApiGearType(ApiGearBasicType.INT32.value)
    elif t in [""int64"", ""uint64""]:
        apigear_type = ApiGearType(ApiGearBasicType.INT64.value)
    elif t == ""float"":
        apigear_type = ApiGearType(ApiGearBasicType.FLOAT32.value)
    elif t == ""double"":
        apigear_type = ApiGearType(ApiGearBasicType.FLOAT64.value)
    elif t == ""boolean"":
        apigear_type = ApiGearType(ApiGearBasicType.BOOL.value)
    elif t == ""string"":
        apigear_type = ApiGearType(ApiGearBasicType.STRING.value)
    else:
        apigear_type = ApiGearType(t.replace(""."", ""_""))

    if is_array and apigear_type is not None:
        apigear_type.is_array = True

    return apigear_type","import typing

class ApiGearType:
    def __init__(self, name: str, is_array: bool = False):
        self.name = name
        self.is_array = is_array

def get_apigear_datatype(t: str) -> typing.Optional[ApiGearType]:
    t = t.strip()
    if t == ""string"":
        return ApiGearType(""string"")
    elif t == ""integer"":
        return ApiGearType(""integer"")
    elif t == ""number"":
        return ApiGearType(""number"")
    elif t == ""boolean"":
        return ApiGearType(""boolean"")
    elif t == ""date"":
        return ApiGearType(""date"")
    elif t == ""datetime"":
        return ApiGearType(""datetime"")
    elif t.endswith(""[]""):
        base_type = t[:-2]
        array_type = get_apigear_datatype(base_type)
        if array_type:
            return ApiGearType(array_type.name, is_array=True)
        else:
            return None
    else:
        if ""."" in t:
            t = t.replace(""."", ""_"")
        return ApiGearType(t)","import typing

class ApiGearType:
    def __init__(self, name: str, is_array: bool = False):
        self.name = name
        self.is_array = is_array

def get_apigear_datatype(t: str) -> typing.Optional[ApiGearType]:
    t = t.strip()
    if t == ""string"":
        return ApiGearType(""string"")
    elif t == ""integer"":
        return ApiGearType(""integer"")
    elif t == ""number"":
        return ApiGearType(""number"")
    elif t == ""boolean"":
        return ApiGearType(""boolean"")
    elif t == ""date"":
        return ApiGearType(""date"")
    elif t == ""datetime"":
        return ApiGearType(""datetime"")
    elif t.endswith(""[]""):
        base_type = t[:-2]
        array_type = get_apigear_datatype(base_type)
        if array_type:
            return ApiGearType(array_type.name, is_array=True)
        else:
            return None
    else:
        if ""."" in t:
            t = t.replace(""."", ""_"")
        return ApiGearType(t)",24.186681434885003,13.220464900479772,14.586756994580336,34.51327433628318,34.42622950819672
8,python,"def generate_property(node: VSSNode, datatype: str) -> ApiGearProperty | None:
    apigear_type = get_apigear_datatype(datatype)
    data = node.get_vss_data()

    if apigear_type is None:
        log.warning(f""Datatype {datatype} of node {node.name} currently not supported"")
        return None

    property = ApiGearProperty(apigear_type)
    if data.description != """":
        property.description = data.description
    return property","def generate_property(node: VSSNode, datatype: str) -> ApiGearProperty | None:
    api_gear_type = convert_datatype(datatype)
    if api_gear_type:
        property = ApiGearProperty(
            name=node.name,
            datatype=api_gear_type,
            description=node.description,
        )
        return property
    else:
        log.warning(f""Unsupported datatype: {datatype}"")
        return None","def generate_property(node: VSSNode, datatype: str) -> ApiGearProperty | None:
    api_gear_type = convert_datatype(datatype)
    if api_gear_type:
        property = ApiGearProperty(
            name=node.name,
            datatype=api_gear_type,
            description=node.description,
        )
        return property
    else:
        log.warning(f""Unsupported datatype: {datatype}"")
        return None",41.513618529177876,22.6512084855791,25.069932297799063,53.333333333333336,65.0
10,python,"def load_vspec(include_dirs: list[Path], specs: list[Path], identifier: str | None = None) -> VSpec:
    spec = None
    vspecs: list[VSpec] = []
    for s in specs:
        includes = [s.parent] + include_dirs
        vspecs.extend(get_vspecs(includes, s))
    pre = ""VSpecs""
    if identifier:
        pre += f"" ({identifier})""
    log.info(f""{pre} loaded, amount={len(vspecs)}"")
    for vspec in vspecs:
        log.debug(vspec)
        if spec is None:
            spec = vspec
        else:
            spec.update(vspec)
    if not spec:
        msg = f""Weird behavior. Could not load any spec: {specs}""
        log.error(msg)
        raise SpecException(msg)
    return spec","from pathlib import Path

class VSpec:
    def __init__(self, data=None):
        self.data = data or {}

    def merge(self, other):
        self.data.update(other.data)
        return self

def load_vspec(include_dirs: list[Path], specs: list[Path], identifier: str | None = None) -> VSpec:
    vspecs = []
    for spec_path in specs:
        try:
            with open(spec_path, 'r') as f:
                spec_data = {}
                for line in f:
                    if '=' in line:
                        key, value = line.strip().split('=', 1)
                        spec_data[key.strip()] = value.strip()
                vspecs.append(VSpec(spec_data))
        except FileNotFoundError:
            pass

    if not vspecs:
        raise Exception(""No VSpec files loaded successfully."")

    merged_vspec = vspecs[0]
    for vspec in vspecs[1:]:
        merged_vspec.merge(vspec)

    return merged_vspec","from pathlib import Path

class VSpec:
    def __init__(self, data=None):
        self.data = data or {}

    def merge(self, other):
        self.data.update(other.data)
        return self

def load_vspec(include_dirs: list[Path], specs: list[Path], identifier: str | None = None) -> VSpec:
    vspecs = []
    for spec_path in specs:
        try:
            with open(spec_path, 'r') as f:
                spec_data = {}
                for line in f:
                    if '=' in line:
                        key, value = line.strip().split('=', 1)
                        spec_data[key.strip()] = value.strip()
                vspecs.append(VSpec(spec_data))
        except FileNotFoundError:
            pass

    if not vspecs:
        raise Exception(""No VSpec files loaded successfully."")

    merged_vspec = vspecs[0]
    for vspec in vspecs[1:]:
        merged_vspec.merge(vspec)

    return merged_vspec",33.22196222523745,19.125448727378334,24.12415727951461,47.77777777777778,41.86046511627907
11,python,"def deep_update(base: dict[str, Any], update: dict[str, Any]) -> None:
    for key, value in update.items():
        if isinstance(value, dict):
            if key in base and isinstance(base[key], dict):
                deep_update(base[key], value)
            else:
                base[key] = value
        else:
            base[key] = value","from typing import Any

def deep_update(base: dict[str, Any], update: dict[str, Any]) -> None:
    for key, value in update.items():
        if key in base and isinstance(base[key], dict) and isinstance(value, dict):
            deep_update(base[key], value)
        else:
            base[key] = value","from typing import Any

def deep_update(base: dict[str, Any], update: dict[str, Any]) -> None:
    for key, value in update.items():
        if key in base and isinstance(base[key], dict) and isinstance(value, dict):
            deep_update(base[key], value)
        else:
            base[key] = value",77.38377209757205,72.3104031756316,72.64135188132323,83.33333333333334,81.25
12,python,"def check_const_uid_format(cls, v: str | None) -> str | None:
    if v is None:
        return v
    pattern = r""^0x[0-9A-Fa-f]{8}$""
    assert bool(re.match(pattern, v)), f""'{v}' is not a valid 'constUID'""
    return v","def check_const_uid_format(cls, v: str | None) -> str | None:
    if v is not None:
        if isinstance(v, str) and len(v) == 10 and v.startswith(""0x"") and all(c in '0123456789abcdefABCDEF' for c in v[2:]):
            return v
    return None","def check_const_uid_format(cls, v: str | None) -> str | None:
    if v is not None:
        if isinstance(v, str) and len(v) == 10 and v.startswith(""0x"") and all(c in '0123456789abcdefABCDEF' for c in v[2:]):
            return v
    return None",51.53136287460034,37.420316460821255,46.705135037580135,52.0,70.0
13,python,"def get_vss_raw(data: dict[str, Any], fqn: str | None) -> VSSRaw:
    model = VSSRaw(fqn=fqn, **data)
    try:
        model = resolve_vss_raw(model)
    except (ValidationError, ModelException):
        log.debug(f""'{fqn}', incomplete, initialized as '{model.__class__.__name__}'"")
        return model
    return model","from typing import Any

class VSSRaw:
    def __init__(self, data: dict[str, Any]):
        self.data = data

    def resolve(self) -> 'VSSRaw':
        try:
            return self
        except Exception:
            return self

def get_vss_raw(data: dict[str, Any], fqn: str | None) -> VSSRaw:
    vss_raw = VSSRaw(data)
    resolved_vss_raw = vss_raw.resolve()
    return resolved_vss_raw","from typing import Any

class VSSRaw:
    def __init__(self, data: dict[str, Any]):
        self.data = data

    def resolve(self) -> 'VSSRaw':
        try:
            return self
        except Exception:
            return self

def get_vss_raw(data: dict[str, Any], fqn: str | None) -> VSSRaw:
    vss_raw = VSSRaw(data)
    resolved_vss_raw = vss_raw.resolve()
    return resolved_vss_raw",44.625888225724175,22.842689227515756,34.82753034204759,47.5,73.33333333333333
