id,language,reference,generated,generated_rci,bleu_score,rouge1,rouge2,rougeL,bertscore_f1
2,python,Validates if a value conforms to a datatype specified by a string,Validates if a given value conforms to a specified datatype.,Checks if a value matches the constraints of a given datatype.,32.99292579001791,81.81818181818183,50.0,72.72727272727272,91.2246584892273
3,python,Checks if a value or list of values is a valid integer for a specified bit-width and signedness.,Validates if a value or list of values represents a signed or unsigned integer within a specified bit range.,Checks if a value or list of values falls within the range of a signed or unsigned integer with a given number of bits.,34.6697783111003,63.1578947368421,44.44444444444444,63.1578947368421,87.60590553283691
4,python,Looks up a type definition tuple by its string name from a list of types,Retrieves type information for a given datatype from a predefined list of types.,Looks up type details for a datatype within a list of registered types.,13.46216659120865,50.0,23.076923076923077,42.857142857142854,74.06671643257141
5,python,Finds all datatypes within the current namespace and any parent namespaces of a given FQN,"Retrieves namespaced data types from a fully qualified name, excluding prefixes.",Identifies and returns namespaced data types matching a given fully qualified name prefix.,2.6485681362909563,7.692307692307692,0.0,7.692307692307692,59.827643632888794
7,python,Converts a string-based data type definition into an ApiGearType object,"Maps a string representation of a data type to an ApiGearType, handling arrays and basic types like int, float, boolean, and string.”","Converts a string representation of a data type to an ApiGearType, recognizing arrays and common data types.”",3.9936381761886643,36.36363636363636,19.354838709677416,36.36363636363636,73.18758964538574
8,python,Generates an ApiGear property from a VSS (Vehicle Signal Specification) node,"Generates an ApiGearProperty object based on a VSSNode's datatype and data, logging a warning if the datatype is unsupported.","Creates an ApiGearProperty object from a VSSNode's datatype and data, returning None and logging a warning if the datatype is unsupported.",4.019656738893367,19.354838709677416,6.896551724137931,19.354838709677416,66.75874590873718
10,python,Loads and merges multiple VSpec files from specified paths into a single VSpec object,"Loads and merges vehicle specification files from specified paths, logging details and raising an exception if no specifications are found.”","Loads, merges, and logs vehicle specification files from specified paths, raising an exception if no specifications are loaded.”",14.90896080339584,41.17647058823529,31.25,41.17647058823529,71.29834294319153
11,python,"Recursively updates a dictionary with values from another, merging nested dictionaries","Recursively updates a dictionary with another dictionary, merging nested dictionaries.”","Recursively merges a dictionary into another, updating nested dictionaries.”",49.73567356124545,85.71428571428572,63.1578947368421,85.71428571428572,87.05371022224426
12,python,Validates a constant unique identifier (constUID) is a 32-bit hexadecimal string,Validates a string against a hexadecimal pattern to ensure it's a properly formatted 'constUID'.,Validates a string to ensure it conforms to the '0x[0-9A-Fa-f]{8}' format for a 'constUID'.,6.608973813188645,44.44444444444445,8.0,29.629629629629626,66.78090691566467
13,python,"Initializes and attempts to resolve a VSS raw model, returning the unresolved model on failure","Retrieves and resolves a VSSRaw object from a dictionary, handling potential validation errors.","Retrieves a VSSRaw object from a dictionary, resolving and validating it while handling potential errors.",3.23553708111838,14.285714285714288,0.0,14.285714285714288,71.48475050926208
14,python,Validates that a list of strings are all known datatypes,Validates a list of data types against a predefined set of allowed types.,"Verifies that a list of data types contains only valid, predefined types.",11.359354890271161,34.78260869565217,19.04761904761905,34.78260869565217,67.17844605445862
15,python,"Renders a VSS tree into a string, displaying specified attributes for each node","Generates a string representation of a VSSNode tree, including specified attributes and their values.","Renders a VSSNode tree into a string, displaying node names and values for specified attributes.",7.955891555490758,44.44444444444445,16.0,29.629629629629633,81.67691826820374
16,python,Finds the root of a VSS instance by recursively traversing up the parent hierarchy,Traverses up the parent chain of a VSSNode to find the root of an instance branch.,Recursively traverses parent nodes to locate the instance root of a VSSDataBranch.,16.267392600305733,53.333333333333336,35.71428571428571,26.666666666666668,79.05440330505371
17,python,Counts the depth of a chain of instance branches,Recursively counts the depth of instance children within a tree structure.,Recursively counts the depth of instance children within a hierarchical data structure.,15.851165692617155,60.0,44.44444444444445,50.0,76.58082842826843
