id,language,reference,generated,generated_rci,bleu_score,rouge1,rouge2,rougeL,bertscore_f1
2,python,Validates if a value conforms to a datatype specified by a string,Validates if a given value conforms to a specified datatype.,Checks if a value matches the constraints of a given datatype.,14.323145079400492,43.47826086956522,19.04761904761905,43.47826086956522,84.54521894454956
3,python,Checks if a value or list of values is a valid integer for a specified bit-width and signedness.,Validates if a value or list of values represents a signed or unsigned integer within a specified bit range.,Checks if a value or list of values falls within the range of a signed or unsigned integer with a given number of bits.,30.183854130936943,51.162790697674424,34.146341463414636,51.162790697674424,85.06706953048706
4,python,Looks up a type definition tuple by its string name from a list of types,Retrieves type information for a given datatype from a predefined list of types.,Looks up type details for a datatype within a list of registered types.,13.919157443507975,57.14285714285715,23.076923076923077,50.0,76.72112584114075
5,python,Finds all datatypes within the current namespace and any parent namespaces of a given FQN,"Retrieves namespaced data types from a fully qualified name, excluding prefixes.",Identifies and returns namespaced data types matching a given fully qualified name prefix.,5.852284798798958,21.428571428571427,7.692307692307692,21.428571428571427,63.86805176734924
7,python,Converts a string-based data type definition into an ApiGearType object,"Maps a string representation of a data type to an ApiGearType, handling arrays and basic types like int, float, boolean, and string.”","Converts a string representation of a data type to an ApiGearType, recognizing arrays and common data types.”",6.632379583706114,50.0,30.76923076923077,50.0,79.66948747634888
8,python,Generates an ApiGear property from a VSS (Vehicle Signal Specification) node,"Generates an ApiGearProperty object based on a VSSNode's datatype and data, logging a warning if the datatype is unsupported.","Creates an ApiGearProperty object from a VSSNode's datatype and data, returning None and logging a warning if the datatype is unsupported.",3.644667088679882,18.18181818181818,6.451612903225806,18.18181818181818,65.33010005950928
10,python,Loads and merges multiple VSpec files from specified paths into a single VSpec object,"Loads and merges vehicle specification files from specified paths, logging details and raising an exception if no specifications are found.”","Loads, merges, and logs vehicle specification files from specified paths, raising an exception if no specifications are loaded.”",11.856660123276004,43.75000000000001,20.000000000000004,37.5,70.72359919548035
11,python,"Recursively updates a dictionary with values from another, merging nested dictionaries","Recursively updates a dictionary with another dictionary, merging nested dictionaries.”","Recursively merges a dictionary into another, updating nested dictionaries.”",12.192091596713041,60.0,22.222222222222225,60.0,82.4148952960968
12,python,Validates a constant unique identifier (constUID) is a 32-bit hexadecimal string,Validates a string against a hexadecimal pattern to ensure it's a properly formatted 'constUID'.,Validates a string to ensure it conforms to the '0x[0-9A-Fa-f]{8}' format for a 'constUID'.,3.9566236357113054,32.25806451612903,6.896551724137931,19.35483870967742,57.23955035209656
13,python,"Initializes and attempts to resolve a VSS raw model, returning the unresolved model on failure","Retrieves and resolves a VSSRaw object from a dictionary, handling potential validation errors.","Retrieves a VSSRaw object from a dictionary, resolving and validating it while handling potential errors.",3.0098043843528286,13.333333333333334,0.0,6.666666666666667,70.04119753837585
14,python,Validates that a list of strings are all known datatypes,Validates a list of data types against a predefined set of allowed types.,"Verifies that a list of data types contains only valid, predefined types.",17.77835117834348,36.36363636363636,30.0,36.36363636363636,70.33565640449524
15,python,"Renders a VSS tree into a string, displaying specified attributes for each node","Generates a string representation of a VSSNode tree, including specified attributes and their values.","Renders a VSSNode tree into a string, displaying node names and values for specified attributes.",36.44752842526009,78.57142857142856,46.15384615384615,64.28571428571429,89.26982283592224
16,python,Finds the root of a VSS instance by recursively traversing up the parent hierarchy,Traverses up the parent chain of a VSSNode to find the root of an instance branch.,Recursively traverses parent nodes to locate the instance root of a VSSDataBranch.,12.66196835756992,53.84615384615385,16.666666666666668,30.769230769230766,78.30535173416138
