id,language,reference,generated,generated_rci,bleu_score,rouge1,rouge2,rougeL,bertscore_f1
2,python,Validates if a value conforms to a datatype specified by a string,Validates if a given value conforms to a specified datatype”,Checks if a value matches the constraints of a given datatype”,13.68839049090644,43.47826086956522,19.04761904761905,43.47826086956522,81.62372708320618
3,python,Checks if a value or list of values is a valid integer for a specified bit-width and signedness.,Validates if a value or list of values falls within the specified range for a signed or unsigned integer of a given bit width.”,"Checks if a value or list of values represents a valid integer within a specified range, considering whether it's signed or unsigned.”",35.6429448155045,61.904761904761905,50.0,61.904761904761905,83.9129626750946
4,python,Looks up a type definition tuple by its string name from a list of types,Retrieves a type definition from a list of types based on a given datatype string.”,Looks up a type definition in a list of types based on a provided datatype string.”,34.57913759237496,64.51612903225806,48.275862068965516,58.06451612903225,79.15239930152893
5,python,Finds all datatypes within the current namespace and any parent namespaces of a given FQN,Identifies and returns a dictionary of namespaced datatypes that match a given fully qualified name prefix.”,Finds namespaced datatypes whose names match a given fully qualified name prefix.”,6.2886892772573475,29.629629629629626,8.0,29.629629629629626,65.03094434738159
7,python,Converts a string-based data type definition into an ApiGearType object,"Maps a string representation of a data type to an ApiGearType, handling basic types and arrays.”","Converts a string representation of a data type to an ApiGearType, supporting basic types and array indicators.”",6.632379583706114,50.0,30.76923076923077,50.0,80.279940366745
8,python,Generates an ApiGear property from a VSS (Vehicle Signal Specification) node,"Generates an ApiGearProperty object from a VSSNode and its associated datatype, handling unsupported datatypes gracefully.”","Creates an ApiGearProperty based on a VSSNode's datatype and data, logging a warning for unsupported types.”",2.4074859035470344,14.285714285714285,0.0,14.285714285714285,66.37743711471558
10,python,Loads and merges multiple VSpec files from specified paths into a single VSpec object,"Loads, merges, and logs a list of VSpec files and their include dependencies into a single VSpec object.”","Loads, merges, and logs a list of VSpec files, resolving includes, into a single VSpec object.”",20.331710659744477,66.66666666666666,35.71428571428571,60.00000000000001,84.02156829833984
11,python,"Recursively updates a dictionary with values from another, merging nested dictionaries","Recursively merges a dictionary into a base dictionary, updating nested dictionaries as needed.”","Recursively updates a base dictionary with values from another dictionary, merging nested dictionaries.”",45.93073632354731,91.66666666666666,72.72727272727272,91.66666666666666,87.9123330116272
12,python,Validates a constant unique identifier (constUID) is a 32-bit hexadecimal string,Validates a constant UID string against a hexadecimal pattern and returns the original string if valid.,"Validates a constant UID string against a hexadecimal pattern, raising an assertion error if invalid, and returning the original string if valid.",6.667489966054595,35.29411764705882,12.5,35.29411764705882,60.211604833602905
13,python,"Initializes and attempts to resolve a VSS raw model, returning the unresolved model on failure","Creates and resolves a VSSRaw object, handling potential validation or model errors.”","Creates a VSSRaw object, attempting to resolve it and handling potential errors during resolution.”",5.751391809950023,27.58620689655172,7.407407407407408,13.79310344827586,71.2157666683197
14,python,Validates that a list of strings are all known datatypes,Validates a list of data types against a predefined set of allowed types.”,Verifies that a list of values contains only valid data types.”,19.338531381761726,38.0952380952381,31.57894736842105,38.0952380952381,71.01223468780518
15,python,"Renders a VSS tree into a string, displaying specified attributes for each node","Generates a string representation of a VSS tree, including specified node attributes.”","Renders a VSS tree into a string, displaying node names and specified attributes.”",56.76721706387804,84.61538461538461,66.66666666666666,76.92307692307693,88.17235827445984
16,python,Finds the root of a VSS instance by recursively traversing up the parent hierarchy,"Traverses up the VSS tree to find the instance root node, raising an exception if one is not found.”","Traverses up the VSS tree to locate the instance root node, raising an exception if it cannot be found.”",4.546308713404574,36.36363636363637,6.451612903225808,18.181818181818183,70.10011672973633
17,python,Counts the depth of a chain of instance branches,Recursively counts the depth of instance children within a VSSDataBranch hierarchy.”,Recursively counts the depth of instance branches within a VSS data structure.”,17.77835117834348,66.66666666666666,52.63157894736842,57.14285714285715,71.35534882545471
18,python,Finds all child node IDs that belong to a specific parent name,Identifies child node IDs based on their parent name within a list of node IDs.”,Filters a list of node IDs to find those whose expected parent matches a given name.”,5.653041175801492,42.857142857142854,7.692307692307692,35.714285714285715,73.05226922035217
