id,language,reference,generated,generated_rci,bleu_score,rouge1,rouge2,rougeL,bertscore_f1
2,python,Validates if a value conforms to a datatype specified by a string,Validates if a given value conforms to a specified datatype using a type checker.,Checks if a value matches a given datatype using a type checker.,26.01278440403792,76.92307692307692,41.666666666666664,69.23076923076924,85.66244840621948
3,python,Checks if a value or list of values is a valid integer for a specified bit-width and signedness.,Checks if a given integer or list of integers falls within a specified signed/unsigned range based on a given number of bits.,Validates if an integer or list of integers is within a specified signed or unsigned range defined by a given bit width.,11.601529016234949,47.61904761904761,25.0,38.0952380952381,83.62573981285095
4,python,Looks up a type definition tuple by its string name from a list of types,"Retrieves type information (name, conversion function, and validation rules) from a class's types based on a given datatype string.","Looks up type details (name, conversion function, and validation rules) within a class's defined types, given a datatype string.",4.303846266589084,40.0,6.0606060606060606,28.571428571428577,69.55689191818237
5,python,Finds all datatypes within the current namespace and any parent namespaces of a given FQN,"Retrieves namespaced datatypes from a fully qualified name, filtering against a predefined list.",Identifies namespaced datatypes matching a given fully qualified name prefix from a predefined list.,3.125190763972442,14.285714285714288,0.0,14.285714285714288,60.89209318161011
7,python,Converts a string-based data type definition into an ApiGearType object,"Maps a type string (e.g., 'int32', 'string[]') to an ApiGearType enum, handling arrays and basic data types.","Converts a type string (e.g., 'int32', 'string[]') into a corresponding ApiGearType, recognizing basic types and array structures.",3.235912122544166,41.37931034482759,7.407407407407408,27.586206896551722,70.74323296546936
8,python,Generates an ApiGear property from a VSS (Vehicle Signal Specification) node,"Generates an ApiGearProperty object from a VSSNode based on its datatype and data, returning None if the datatype is unsupported.","Creates an ApiGearProperty object from a VSSNode's data and datatype, logging a warning and returning None for unsupported datatypes.",4.885326644211927,25.806451612903224,13.793103448275861,25.806451612903224,66.763174533844
10,python,Loads and merges multiple VSpec files from specified paths into a single VSpec object,"Loads and merges vehicle specification files from specified paths, logging details and raising an exception if no specifications are found.","Loads, merges, and logs vehicle specification files from specified paths, combining them into a single VSpec object.",15.638350105502154,41.17647058823529,31.25,41.17647058823529,72.68139719963074
11,python,"Recursively updates a dictionary with values from another, merging nested dictionaries","Recursively updates a dictionary with another dictionary, merging nested dictionaries.","Recursively merges a dictionary into another, updating nested dictionaries.",54.52469119630863,85.71428571428572,63.1578947368421,85.71428571428572,90.10640382766724
12,python,Validates a constant unique identifier (constUID) is a 32-bit hexadecimal string,Validates a string against a hexadecimal pattern (0x followed by 8 hex characters) to ensure it's a valid 'constUID'.,Validates a string to ensure it conforms to the '0x[0-9A-Fa-f]{8}' format for a constant UID.,4.724932626401583,37.49999999999999,6.666666666666667,25.0,64.99221920967102
13,python,"Initializes and attempts to resolve a VSS raw model, returning the unresolved model on failure","Creates and validates a VSSRaw object from a dictionary, handling potential validation errors.","Creates a VSSRaw object from input data, resolving and validating it while gracefully handling errors.",3.23553708111838,14.285714285714288,0.0,14.285714285714288,72.4114716053009
14,python,Validates that a list of strings are all known datatypes,Validates a list of datatypes against a predefined set of allowed datatypes.,Verifies that a list of values contains only valid datatypes.,13.065113298388567,45.45454545454545,20.0,45.45454545454545,68.08556318283081
15,python,"Renders a VSS tree into a string, displaying specified attributes for each node","Generates a string representation of a tree structure, including node names and specified attributes.","Renders a tree structure as a string, displaying node names and selected attributes with their values.",8.225964699966553,51.85185185185186,16.0,29.629629629629633,79.58696484565735
