id,language,reference,generated,generated_rci,bleu_score,rouge1,rouge2,rougeL,bertscore_f1
2,python,Validates if a value conforms to a datatype specified by a string,Validates if a given value conforms to a specified datatype using a type checker.,Checks if a value matches a given datatype using a type checker.,13.67440667823257,50.0,18.181818181818183,50.0,78.05338501930237
3,python,Checks if a value or list of values is a valid integer for a specified bit-width and signedness.,Checks if a given integer or list of integers falls within a specified signed/unsigned range based on a given number of bits.,Validates if an integer or list of integers is within a specified signed or unsigned range defined by a given bit width.,9.165852474742525,53.65853658536586,20.51282051282051,43.90243902439025,84.69538688659668
4,python,Looks up a type definition tuple by its string name from a list of types,"Retrieves type information (name, conversion function, and validation rules) from a class's types based on a given datatype string.","Looks up type details (name, conversion function, and validation rules) within a class's defined types, given a datatype string.",4.260146736441797,45.714285714285715,6.0606060606060606,34.285714285714285,69.31102275848389
5,python,Finds all datatypes within the current namespace and any parent namespaces of a given FQN,"Retrieves namespaced datatypes from a fully qualified name, filtering against a predefined list.",Identifies namespaced datatypes matching a given fully qualified name prefix from a predefined list.,5.816635421147515,20.689655172413797,7.407407407407408,20.689655172413797,64.00894522666931
7,python,Converts a string-based data type definition into an ApiGearType object,"Maps a type string (e.g., 'int32', 'string[]') to an ApiGearType enum, handling arrays and basic data types.","Converts a type string (e.g., 'int32', 'string[]') into a corresponding ApiGearType, recognizing basic types and array structures.",3.235912122544166,41.37931034482759,7.407407407407408,34.48275862068966,69.38154697418213
8,python,Generates an ApiGear property from a VSS (Vehicle Signal Specification) node,"Generates an ApiGearProperty object from a VSSNode based on its datatype and data, returning None if the datatype is unsupported.","Creates an ApiGearProperty object from a VSSNode's data and datatype, logging a warning and returning None for unsupported datatypes.",4.019656738893367,19.354838709677416,6.896551724137931,19.354838709677416,66.97021126747131
10,python,Loads and merges multiple VSpec files from specified paths into a single VSpec object,"Loads and merges vehicle specification files from specified paths, logging details and raising an exception if no specifications are found.","Loads, merges, and logs vehicle specification files from specified paths, combining them into a single VSpec object.",30.603689509300906,77.41935483870968,48.275862068965516,70.96774193548386,83.7390661239624
11,python,"Recursively updates a dictionary with values from another, merging nested dictionaries","Recursively updates a dictionary with another dictionary, merging nested dictionaries.","Recursively merges a dictionary into another, updating nested dictionaries.",12.320255516768906,60.0,22.222222222222225,60.0,84.070485830307
12,python,Validates a constant unique identifier (constUID) is a 32-bit hexadecimal string,Validates a string against a hexadecimal pattern (0x followed by 8 hex characters) to ensure it's a valid 'constUID'.,Validates a string to ensure it conforms to the '0x[0-9A-Fa-f]{8}' format for a constant UID.,4.714627368490468,31.25,13.333333333333334,18.749999999999996,56.25762939453125
13,python,"Initializes and attempts to resolve a VSS raw model, returning the unresolved model on failure","Creates and validates a VSSRaw object from a dictionary, handling potential validation errors.","Creates a VSSRaw object from input data, resolving and validating it while gracefully handling errors.",3.0098043843528286,13.333333333333334,0.0,6.666666666666667,69.45221424102783
14,python,Validates that a list of strings are all known datatypes,Validates a list of datatypes against a predefined set of allowed datatypes.,Verifies that a list of values contains only valid datatypes.,24.808415001701817,50.0,33.33333333333333,50.0,75.631582736969
15,python,"Renders a VSS tree into a string, displaying specified attributes for each node","Generates a string representation of a tree structure, including node names and specified attributes.","Renders a tree structure as a string, displaying node names and selected attributes with their values.",17.694975149532556,55.172413793103445,22.222222222222225,48.275862068965516,84.59534049034119
16,python,Finds the root of a VSS instance by recursively traversing up the parent hierarchy,"Traverses up the tree to find the root of an instance branch, raising an exception if no instance root exists.","Recursively finds the root node of an instance branch within a tree structure, raising an exception if one is not found.",4.141141330484801,40.0,12.121212121212123,28.57142857142857,68.36205124855042
17,python,Counts the depth of a chain of instance branches,Recursively counts the depth of instance children within a tree structure.,Recursively counts the number of instance children in a tree-like data structure.,7.347053125977879,45.45454545454546,20.0,36.36363636363637,70.60118913650513
18,python,Finds all child node IDs that belong to a specific parent name,Finds node IDs that have a specific name as their expected parent.,Identifies node IDs whose expected parent is a given name.,8.606119900909883,45.45454545454545,10.0,36.36363636363636,77.52351760864258
19,python,"Gets an attribute, returning a default value if the attribute is missing or its value is None","Safely retrieves an attribute from an object, returning a default value if the attribute is missing or None.","Retrieves an object's attribute, providing a default value if the attribute is missing or None.",51.0640203050667,72.72727272727272,51.61290322580646,72.72727272727272,86.80450320243835
20,python,Generates a Protobuf schema from a Vehicle Signal Specification (VSS) tree,"Generates Protocol Buffer definitions from a signal tree structure, including necessary imports and message bodies.","Generates Protocol Buffer definitions from a signal tree, handling imports and message structures.",6.250381527944883,41.666666666666664,9.09090909090909,41.666666666666664,70.016348361969
21,python,Groups all leaf VSS branch instances by the fully qualified name of their original branch definition,"Collects instance names under each instance root within a VSS tree, filtering for leaf-level instance branches.",Extracts a dictionary mapping instance root fully qualified names to lists of their direct instance names within a VSS tree.,5.431360807863857,27.77777777777778,11.76470588235294,22.222222222222225,69.0805435180664
22,python,Determines if a VSS node is a leaf based on its data type,Checks if a node in a VSS tree is a leaf node containing data.,Determines if a VSS node is a leaf node holding VSS data.,57.60844201603898,71.99999999999999,60.86956521739131,71.99999999999999,81.01757168769836
23,python,Checks if a VSS node is a branch that is not an instance,Checks if a VSS node represents a branch with a non-instance VSSDataBranch.,Determines if a VSS node is a branch containing non-instance data.,47.44325794453767,64.0,52.17391304347826,64.0,84.35742259025574
24,python,Checks if a VSS node represents a branch instance,Checks if a VSSNode represents an instance of a VSSDataBranch.,Determines if a VSSNode's data is an instance of a VSSDataBranch.,8.054496384843702,38.0952380952381,10.526315789473685,28.571428571428577,75.31439065933228
25,python,FNV-1 32-bit hashing algorithm for a byte sequence,Calculates a 32-bit FNV-1a hash value for a given byte string.,Computes a 32-bit FNV-1a hash of a byte string identifier.,14.458924666162856,45.45454545454545,20.0,36.36363636363636,79.47015166282654
28,java,Inflates a card fragment's layout and initializes its view components,Inflates a layout to create a view for a card fragment.,Inflates a layout and initializes view elements for a card fragment.,18.52797255583095,72.72727272727273,50.0,54.54545454545454,88.09983134269714
29,java,"Sets a button's icon and click listener to make it visible, or hides it if no content is provided",Updates the visibility and content of an ImageButton based on a DescriptiveTextWithControlsView.,"Updates an ImageButton's icon, click listener, and visibility based on associated control data.",4.7898920568856385,29.411764705882348,12.5,23.52941176470588,72.32326865196228
30,java,Lazily inflates and initializes a descriptive text layout view on first access,Lazily inflates and caches a view containing descriptive text and optional elements from a ViewStub.,"Inflates and caches a descriptive text-only layout view from a ViewStub, including title, subtitle, image, and 'tap for more' elements.",4.504556737153658,42.42424242424242,25.806451612903224,42.42424242424242,68.56893301010132
31,java,Updates and displays a card header view with a new title and icon,"Updates the UI elements (visibility, title, icon) of a card header view on the main thread.","Updates a card header's UI elements (visibility, title, icon) on the main thread.",5.401157445454033,44.44444444444445,16.0,44.44444444444445,74.35550093650818
32,java,Lazily inflates and returns a text block layout view from a ViewStub,Retrieves and lazily initializes a text block layout view from a ViewStub.,"Retrieves a text block layout view, inflating it from a ViewStub if it doesn't already exist.",26.89054715066592,55.172413793103445,44.44444444444444,55.172413793103445,72.59923219680786
33,java,Gets the media browser service component from a given package,Retrieves the component name of a media browsing service within a specified package.,Retrieves the component name of the default media browsing service within a specified package.,4.112982349983278,50.0,0.0,41.666666666666664,82.44344592094421
34,java,Determines if an app component should be launchable by filtering against a hide list and de-duplicating media services,"Determines if a component should be added to launchables based on hide lists, custom media components, and component type.",Determines whether a component should be added to the launchables list based on configured filters and component type.,9.313775329024091,37.83783783783783,11.428571428571429,32.43243243243243,75.10876655578613
35,java,Sets the media source and finishes the current activity,Selects a media source and finishes the activity if it's running.,"Sets a media source and finishes the activity, handling car connection errors.",28.917849332325716,66.66666666666666,42.10526315789474,66.66666666666666,81.84369206428528
36,java,"Safely checks if a given activity is distraction-optimized, handling potential connection errors",Checks if a specified activity within a package is optimized for distraction mitigation using a car package manager.,"Determines if an activity is distraction-optimized by querying the car package manager, handling potential connection errors.",27.694132751313415,59.999999999999986,42.857142857142854,59.999999999999986,82.26638436317444
38,java,"Retrieves a specific, configured Intent for the default maps app, falling back to a generic one","Retrieves the preferred map activity intent, prioritizing configured activities and falling back to the default maps activity.","Selects the best map activity intent from a list of preferred activities, defaulting to the system's default maps app if no suitable alternative is found.",6.3848752955077925,33.333333333333336,10.0,23.80952380952381,60.081130266189575
39,java,Dynamically instantiates and displays home card modules defined in a configuration resource,Dynamically initializes and displays HomeCardModule fragments based on configured class names.,Initializes and displays HomeCardModule fragments by dynamically creating instances of classes specified in a configuration array.,10.70454632987902,42.857142857142854,23.076923076923077,35.714285714285715,79.12176847457886
40,java,Removes dangling tasks that are in multi-window mode,Removes multi-window tasks from the activity task manager.,Removes dangling multi-window tasks from the activity task manager.,9.980099403873663,52.63157894736842,23.52941176470588,42.10526315789474,83.4696888923645
41,java,Updates the mode from the intent and sets the UI title accordingly,Updates the application's mode based on intent data and sets the title accordingly.,Sets the application's title and mode based on incoming intent data.,5.063996506781409,50.0,9.090909090909092,25.0,76.74473524093628
42,java,Lazily initializes and returns the Chronometer view on first access,"Retrieves a Chronometer view from the layout, initializing it if it's null.","Lazily retrieves a Chronometer view from the layout, initializing it if it's null.",6.250381527944883,33.33333333333333,9.090909090909092,25.0,71.605384349823
43,java,Blurs and scales an image to set as a card's visible background,"Lazily initializes and returns a media layout view from a ViewStub, setting up title, subtitle, and controls.","Lazily initializes and returns a media layout view from a ViewStub, configuring title, subtitle, and playback controls.",2.159701133933343,13.333333333333334,0.0,13.333333333333334,61.28553748130798
44,java,Blurs and scales an image to set as a card's visible background,"Scales, blurs, and sets a drawable as the card's background image.","Scales, blurs, and sets a drawable as the card's blurred background image.",4.112982349983278,69.23076923076923,16.666666666666664,46.15384615384615,77.03967690467834
45,java,Makes the media view visible and sets its title and subtitle,Updates the visibility and text content of a media view with a title and subtitle.,"Updates a media view's title and subtitle text, making it visible.",13.065113298388567,52.17391304347826,28.571428571428566,43.47826086956522,75.8920669555664
46,java,"Starts and shows a chronometer if a start time is positive; otherwise, hides it",Displays or hides a chronometer and separator based on the audio start time.,Controls the visibility of a chronometer and separator to display audio duration.,5.42821064703297,23.076923076923077,8.333333333333334,15.384615384615383,59.001654386520386
47,java,Registers a callback on a newly added call,Registers a callback with a newly added call object if the call object is not null.,Registers a callback for a call object if it exists.,15.851165692617155,55.55555555555556,25.0,55.55555555555556,74.93595480918884
48,java,Resets state and unregisters the callback when a call is removed,Handles the removal of a call by clearing call-related data and notifying the presenter.,Clears call data and notifies the presenter upon call removal.,4.932351569489709,28.571428571428566,0.0,28.571428571428566,71.41085267066956
