id,language,reference,generated,generated_rci,bleu_score,rouge1,rouge2,rougeL,bertscore_f1
2,python,Validates if a value conforms to a datatype specified by a string,Validate if a value conforms to a specified datatype.,Checks if a value matches a given datatype using a type checker.,45.482442469604216,76.1904761904762,52.63157894736842,66.66666666666666,89.98340964317322
3,python,Checks if a value or list of values is a valid integer for a specified bit-width and signedness.,Validate if integer values are within a specified range and signedness.,"Check if integer values are within a specified range, considering signedness and bit width.",9.948388884186846,46.666666666666664,14.285714285714285,40.0,83.82420539855957
4,python,Looks up a type definition tuple by its string name from a list of types,Retrieve type information based on a datatype string from a class's types attribute.”,"Find type details (name, function, and constraints) matching a given datatype string within a class's type definitions.”",6.917184228205474,41.379310344827594,7.407407407407408,34.48275862068965,69.0189778804779
5,python,Finds all datatypes within the current namespace and any parent namespaces of a given FQN,Extract namespaced datatypes from a fully qualified name”,Find namespaced datatypes matching a given fully qualified name prefix”,2.7376474102577797,17.39130434782609,0.0,17.39130434782609,60.07601618766785
7,python,Converts a string-based data type definition into an ApiGearType object,"Map a type string to an ApiGearType, handling arrays and basic data types.”","Convert a type string to an ApiGearType, supporting arrays and common data types.”",6.150343144231885,49.999999999999986,9.09090909090909,33.333333333333336,75.80598592758179
8,python,Generates an ApiGear property from a VSS (Vehicle Signal Specification) node,Generate an ApiGearProperty object from a VSSNode based on its datatype.”,Create an ApiGearProperty object representing a VSSNode's data and datatype.”,6.837203339116283,27.27272727272727,10.000000000000002,27.27272727272727,75.37230253219604
10,python,Loads and merges multiple VSpec files from specified paths into a single VSpec object,"Loads and merges vehicle specification files from specified paths, handling identifiers and logging.","Loads, merges, and combines vehicle specification files from specified paths, logging details and raising exceptions for errors.",23.793665482062607,51.85185185185186,40.0,51.85185185185186,75.32989382743835
11,python,"Recursively updates a dictionary with values from another, merging nested dictionaries","Recursively update a dictionary with another dictionary, merging nested dictionaries.”","Recursively merge a dictionary into another, updating nested dictionaries.”",29.782017963590448,76.1904761904762,42.10526315789474,76.1904761904762,86.15779876708984
12,python,Validates a constant unique identifier (constUID) is a 32-bit hexadecimal string,Validates a string against a hexadecimal pattern for a constant UID format.,Validates a string to ensure it conforms to the '0x[0-9A-Fa-f]{8}' format for a constant UID.,8.290466298764843,50.0,18.181818181818183,33.33333333333333,69.81136202812195
13,python,"Initializes and attempts to resolve a VSS raw model, returning the unresolved model on failure","Create and validate a VSSRaw object from a dictionary, handling potential validation errors.","Create and validate a VSSRaw object from a dictionary, returning it even if validation fails.",3.23553708111838,14.285714285714288,0.0,14.285714285714288,71.01580500602722
14,python,Validates that a list of strings are all known datatypes,Validate a list of datatypes against a predefined set.”,Verify that a list of values contains only valid datatypes.”,14.991106946711685,42.10526315789474,23.52941176470588,42.10526315789474,67.52787232398987
15,python,"Renders a VSS tree into a string, displaying specified attributes for each node",Render a tree structure with node names and specified attributes as string representations.”,"Render a tree structure, displaying node names and attribute values.”",6.917184228205474,46.15384615384615,8.333333333333332,30.76923076923077,74.84554648399353
16,python,Finds the root of a VSS instance by recursively traversing up the parent hierarchy,Traverse up the tree to find the instance root node.,Recursively traverse up the tree to locate the instance root node.,7.175377580688497,41.666666666666664,9.090909090909092,16.666666666666664,70.55321931838989
17,python,Counts the depth of a chain of instance branches,Recursively counts the depth of instance children within a tree structure.,Recursively counts the depth of instance children in a hierarchical data structure.,15.851165692617155,60.0,44.44444444444445,50.0,76.58082842826843
