id,language,reference,generated,generated_rci,bleu_score,rouge1,rouge2,rougeL,bertscore_f1
2,python,Validates if a value conforms to a datatype specified by a string,Validate if a value conforms to a specified datatype.,Checks if a value matches a given datatype using a type checker.,13.67440667823257,50.0,18.181818181818183,50.0,78.05338501930237
3,python,Checks if a value or list of values is a valid integer for a specified bit-width and signedness.,Validate if integer values are within a specified range and signedness.,"Check if integer values are within a specified range, considering signedness and bit width.",5.734547141000557,54.54545454545454,12.903225806451616,36.36363636363637,82.18015432357788
4,python,Looks up a type definition tuple by its string name from a list of types,Retrieve type information based on a datatype string from a class's types attribute.”,"Find type details (name, function, and constraints) matching a given datatype string within a class's type definitions.”",2.4623373672221804,30.303030303030297,0.0,18.18181818181818,67.33393669128418
5,python,Finds all datatypes within the current namespace and any parent namespaces of a given FQN,Extract namespaced datatypes from a fully qualified name”,Find namespaced datatypes matching a given fully qualified name prefix”,5.633171091207466,24.0,8.695652173913043,24.0,63.03524971008301
7,python,Converts a string-based data type definition into an ApiGearType object,"Map a type string to an ApiGearType, handling arrays and basic data types.”","Convert a type string to an ApiGearType, supporting arrays and common data types.”",6.150343144231885,49.999999999999986,9.09090909090909,33.333333333333336,78.4509003162384
8,python,Generates an ApiGear property from a VSS (Vehicle Signal Specification) node,Generate an ApiGearProperty object from a VSSNode based on its datatype.”,Create an ApiGearProperty object representing a VSSNode's data and datatype.”,3.7052472057637615,18.181818181818183,0.0,18.181818181818183,69.97035145759583
10,python,Loads and merges multiple VSpec files from specified paths into a single VSpec object,"Loads and merges vehicle specification files from specified paths, handling identifiers and logging.","Loads, merges, and combines vehicle specification files from specified paths, logging details and raising exceptions for errors.",13.076558875109015,45.16129032258064,20.689655172413794,38.70967741935484,74.09706711769104
11,python,"Recursively updates a dictionary with values from another, merging nested dictionaries","Recursively update a dictionary with another dictionary, merging nested dictionaries.”","Recursively merge a dictionary into another, updating nested dictionaries.”",12.192091596713041,60.0,22.222222222222225,60.0,82.46739506721497
12,python,Validates a constant unique identifier (constUID) is a 32-bit hexadecimal string,Validates a string against a hexadecimal pattern for a constant UID format.,Validates a string to ensure it conforms to the '0x[0-9A-Fa-f]{8}' format for a constant UID.,4.714627368490468,31.25,13.333333333333334,18.749999999999996,56.25762343406677
13,python,"Initializes and attempts to resolve a VSS raw model, returning the unresolved model on failure","Create and validate a VSSRaw object from a dictionary, handling potential validation errors.","Create and validate a VSSRaw object from a dictionary, returning it even if validation fails.",5.439330544349823,20.000000000000004,0.0,20.000000000000004,76.42118334770203
14,python,Validates that a list of strings are all known datatypes,Validate a list of datatypes against a predefined set.”,Verify that a list of values contains only valid datatypes.”,22.416933501922298,50.0,33.33333333333333,50.0,71.61404490470886
15,python,"Renders a VSS tree into a string, displaying specified attributes for each node",Render a tree structure with node names and specified attributes as string representations.”,"Render a tree structure, displaying node names and attribute values.”",7.1933868327348085,34.78260869565217,0.0,34.78260869565217,74.74250197410583
16,python,Finds the root of a VSS instance by recursively traversing up the parent hierarchy,Traverse up the tree to find the instance root node.,Recursively traverse up the tree to locate the instance root node.,7.20914034876181,47.99999999999999,8.695652173913043,23.999999999999996,73.84668588638306
17,python,Counts the depth of a chain of instance branches,Recursively counts the depth of instance children within a tree structure.,Recursively counts the depth of instance children in a hierarchical data structure.,14.458924666162856,57.14285714285715,42.10526315789474,47.61904761904762,74.80606436729431
18,python,Finds all child node IDs that belong to a specific parent name,Find child node IDs based on a given parent name,Find node IDs that have a specific name as their parent,17.423472443716534,60.86956521739131,28.571428571428566,52.17391304347826,81.39703273773193
19,python,"Gets an attribute, returning a default value if the attribute is missing or its value is None","Safely retrieve an attribute from an object, returning a default value if not found or None.”","Safely retrieve an attribute from an object, returning a specified default value if not found.”",15.27678022374703,43.74999999999999,26.666666666666668,43.74999999999999,73.4040379524231
20,python,Generates a Protobuf schema from a Vehicle Signal Specification (VSS) tree,Generate Protocol Buffer definitions from a signal tree representation.”,Generate Protocol Buffer messages from a vehicle signal tree.”,6.9161417925511355,50.0,33.33333333333333,50.0,73.05040955543518
21,python,Groups all leaf VSS branch instances by the fully qualified name of their original branch definition,Collect instance names under their root FQNs from a VSS tree.”,Extract instance names and their root FQNs from a VSS tree.”,2.916495972453022,14.814814814814813,0.0,7.4074074074074066,64.30599093437195
22,python,Determines if a VSS node is a leaf based on its data type,Check if a node is a leaf node containing VSS data,Determine if a node represents a leaf with VSS data,10.112616398790836,60.8695652173913,19.04761904761905,52.17391304347826,79.9481749534607
23,python,Checks if a VSS node is a branch that is not an instance,Check if a node represents a VSS branch with a non-instance data type.,Determine if a node is a VSS branch containing non-instance data.,17.046557664397653,64.0,34.78260869565217,55.99999999999999,80.67243099212646
24,python,Checks if a VSS node represents a branch instance,Check if a VSSNode represents an instance of a VSSDataBranch”,Determine if a VSSNode's data is an instance of a VSSDataBranch”,8.913765521398126,38.0952380952381,10.526315789473685,28.571428571428577,72.83644080162048
