id,language,reference,generated,generated_rci,bleu_score,rouge1,rouge2,rougeL,bertscore_f1
2,python,Validates if a value conforms to a datatype specified by a string,This function validates if a given value conforms to a specified datatype using a type checker.,This function checks if a value matches a given datatype by using a type checker and raising an exception for unsupported datatypes.,18.842393723950345,71.42857142857143,38.46153846153846,64.28571428571429,81.07805252075195
3,python,Checks if a value or list of values is a valid integer for a specified bit-width and signedness.,"This function validates if an integer or a list of integers falls within a specified range, considering whether it's signed or unsigned and the number of bits.","This function checks if an integer or a list of integers is a valid value within a given bit range, accounting for signed or unsigned representation.",4.5762708103494685,38.297872340425535,8.888888888888888,29.78723404255319,80.66967129707336
4,python,Looks up a type definition tuple by its string name from a list of types,"The function retrieves type information (name, callable, and constraints) from a class's defined types based on a given datatype string.",The function searches a class's types for a matching datatype and returns its associated details (callable and constraints).,4.1202784939919095,38.88888888888889,5.88235294117647,27.77777777777778,69.4919228553772
5,python,Finds all datatypes within the current namespace and any parent namespaces of a given FQN,This function identifies and returns a dictionary of namespaced datatypes matching a given fully qualified name (FQN) prefix from a list of dynamic datatypes.,This function searches a list of dynamic datatypes to find namespaced datatypes whose prefixes match a given fully qualified name (FQN).,3.6529457725362686,30.76923076923077,5.405405405405405,25.641025641025646,62.778228521347046
7,python,Converts a string-based data type definition into an ApiGearType object,"The function maps a string representation of a data type (e.g., ""int32"", ""string"", ""double[]"") to an `ApiGearType` object, handling array types and basic data types.","The function converts a string representation of a data type to an `ApiGearType` object, recognizing basic types, arrays, and custom types.",2.1400286214609148,37.83783783783783,22.857142857142858,37.83783783783783,69.41698789596558
8,python,Generates an ApiGear property from a VSS (Vehicle Signal Specification) node,"This function generates an `ApiGearProperty` object from a `VSSNode` and datatype, handling unsupported datatypes and populating the description if available.","This function creates an `ApiGearProperty` object based on a `VSSNode`'s data and datatype, returning `None` for unsupported types.",3.197383344450448,25.806451612903224,13.793103448275861,25.806451612903224,64.6409809589386
10,python,Loads and merges multiple VSpec files from specified paths into a single VSpec object,"This function loads and merges multiple VSpec files, combining their includes and definitions into a single VSpec object, while logging the process and raising an exception if no specs are loaded.","This function loads, merges, and returns a combined VSpec object from a list of specification files, handling includes and logging the process.",20.379765144415735,48.88888888888889,41.860465116279066,48.88888888888889,76.19127035140991
11,python,"Recursively updates a dictionary with values from another, merging nested dictionaries","Recursively merges dictionaries, updating nested dictionaries and overwriting non-dictionary values.","Recursively updates a dictionary with another, merging nested dictionaries and overwriting non-dictionary values.",8.51659301881964,45.45454545454545,10.000000000000002,27.27272727272727,76.28636956214905
12,python,Validates a constant unique identifier (constUID) is a 32-bit hexadecimal string,"This function validates if a given string is a valid hexadecimal constant UID (format: 0x followed by 8 hexadecimal characters) and returns the string if valid, otherwise None.","This function validates if a given string matches the format of a constant UID (0x followed by 8 hexadecimal characters) and returns the string if valid, otherwise None.",3.176605498590708,35.0,5.263157894736842,30.0,59.08992290496826
13,python,"Initializes and attempts to resolve a VSS raw model, returning the unresolved model on failure","This function creates and attempts to resolve a `VSSRaw` object from a dictionary, handling potential validation or model errors by returning an initialized but incomplete object.","This function creates a `VSSRaw` object from input data, attempts to resolve it, and returns it even if resolution fails, logging a debug message in case of errors.",13.071187520977322,34.14634146341463,20.51282051282051,34.14634146341463,74.10300374031067
14,python,Validates that a list of strings are all known datatypes,"The function validates a list of datatypes against a predefined set, raising an assertion error for invalid entries.","The function validates a list of datatypes, ensuring each is present in a predefined set and raising an error if not.",7.658412276041007,35.714285714285715,15.384615384615383,35.714285714285715,64.50473070144653
15,python,"Renders a VSS tree into a string, displaying specified attributes for each node","The function renders a tree structure into a string representation, including node names and specified attributes.","The function generates a string representation of a tree, displaying node names and their specified attributes.",11.643948477069975,62.06896551724138,29.629629629629626,55.172413793103445,79.12333607673645
16,python,Finds the root of a VSS instance by recursively traversing up the parent hierarchy,"The function recursively traverses up the VSSNode tree to find the root instance node, handling cases where the current node is not an instance or has no parent.","The function recursively traverses up the VSSNode tree to locate the root of an instance, raising an exception if no instance root exists.",4.038771194843466,33.33333333333333,10.0,23.80952380952381,69.16430592536926
17,python,Counts the depth of a chain of instance branches,Recursively counts the depth of instance children within a tree-like data structure.,Recursively calculates the depth of instance branches within a hierarchical data structure.,14.458924666162856,54.545454545454554,40.0,45.45454545454546,74.52965378761292
18,python,Finds all child node IDs that belong to a specific parent name,The function identifies node IDs that have a specific name as their expected parent.,The function returns a list of node IDs whose expected parent is a given name.,13.380161378318954,53.84615384615385,24.999999999999993,46.15384615384615,78.05003523826599
19,python,"Gets an attribute, returning a default value if the attribute is missing or its value is None","This function safely retrieves an attribute from an object, returning a default value if the attribute is not found or is None.","This function retrieves an attribute from an object, providing a default value if the attribute is missing or None.",38.9671881244909,66.66666666666667,48.64864864864864,66.66666666666667,83.77707600593567
20,python,Generates a Protobuf schema from a Vehicle Signal Specification (VSS) tree,"The code traverses a signal tree to generate Protocol Buffer (proto) definitions, including imports and message structures, from vehicle signal data.",The code generates Protocol Buffer (proto) definitions for vehicle signals by traversing a signal tree and creating message structures with optional fields and static UIDs.,2.1601524349994397,31.249999999999993,6.666666666666667,25.0,68.99462938308716
21,python,Groups all leaf VSS branch instances by the fully qualified name of their original branch definition,The function extracts and organizes instance names under their respective root FQNs from a VSSNode tree structure.,The function identifies and groups instance names belonging to the same root node within a VSSNode tree.,2.1476912089159055,12.121212121212121,0.0,12.121212121212121,65.05572199821472
22,python,Determines if a VSS node is a leaf based on its data type,The function checks if a VSSNode is a leaf node containing VSSDataDatatype data.,The function determines if a given VSSNode represents a leaf node with data of type VSSDataDatatype.,14.458924666162856,53.84615384615385,25.0,46.15384615384615,73.11292290687561
23,python,Checks if a VSS node is a branch that is not an instance,The function checks if a VSS node represents a branch with a non-instance data type.,The function determines if a VSS node is a branch and its data is not an instance.,18.20705281109213,55.172413793103445,37.03703703703704,55.172413793103445,81.15646839141846
24,python,Checks if a VSS node represents a branch instance,The function checks if a VSSNode represents an instance of a VSSDataBranch.,The function determines if a given VSSNode's data is an instance of a VSSDataBranch.,7.768562846380176,57.14285714285715,21.05263157894737,47.61904761904762,77.79210209846497
25,python,FNV-1 32-bit hashing algorithm for a byte sequence,This code calculates a 32-bit FNV-1a hash value for a given byte string.,This code computes a 32-bit FNV-1a hash of a byte string.,11.980914528565991,48.0,17.391304347826086,40.0,79.25757169723511
28,java,Inflates a card fragment's layout and initializes its view components,"This code inflates a layout for a card fragment, finds its title and icon views, and returns the root view.",This code inflates a layout for a card fragment and initializes views for its title and icon.,4.334264033674369,51.61290322580645,20.689655172413794,38.70967741935483,70.72470784187317
29,java,"Sets a button's icon and click listener to make it visible, or hides it if no content is provided","This method updates an image button's icon, click listener, and visibility based on the provided control content.",This method configures and displays an image button based on associated control data.,6.439931429457922,42.10526315789474,16.666666666666668,31.57894736842105,73.56563806533813
30,java,Lazily inflates and initializes a descriptive text layout view on first access,"This method lazily initializes and returns a view containing descriptive text elements (title, subtitle, image, and ""tap for more"" text) from a ViewStub, caching it for subsequent use.","This method lazily initializes and returns a cached view containing descriptive text elements (title, subtitle, image, and ""tap for more"" text) inflated from a ViewStub.",2.622723570535095,35.0,5.263157894736842,25.0,66.57645106315613
31,java,Updates and displays a card header view with a new title and icon,"This code updates the UI elements (visibility, title, and icon) of a card header view on the main thread.","This code updates the card header's UI elements (visibility, title, and icon) within the main activity's UI thread.",12.173115521158184,50.0,33.333333333333336,37.49999999999999,71.89046740531921
32,java,Lazily inflates and returns a text block layout view from a ViewStub,"This code lazily initializes and returns a `View` representing a text block layout, inflating it from a `ViewStub` if it doesn't already exist.","This code lazily initializes and returns a `View` for a text block layout, inflating it from a `ViewStub` and retrieving child views if it doesn't already exist.",12.983909158242522,61.11111111111111,41.1764705882353,55.55555555555556,72.07074761390686
33,java,Gets the media browser service component from a given package,This code retrieves the component name of a media browsing service within a specified package using PackageManager.,This code retrieves the component name of the default media browsing service for a given package.,3.3613183938332405,44.44444444444445,0.0,37.03703703703704,77.59461998939514
34,java,Determines if an app component should be launchable by filtering against a hide list and de-duplicating media services,"This code determines whether a component should be added to a launchable list based on hide rules, custom media component settings, and component type.","This code determines if a component should be added to a launchable list, considering hidden apps, custom media components, and the component's application type.",6.798898171917449,46.51162790697674,9.75609756097561,32.55813953488372,74.55766201019287
35,java,Sets the media source and finishes the current activity,"This code selects a media source and finishes the activity, handling potential connection errors.","This code sets a media source to browse mode and finishes the activity, gracefully handling car disconnection errors.",23.961829057131983,52.17391304347826,38.0952380952381,52.17391304347826,73.8426923751831
36,java,"Safely checks if a given activity is distraction-optimized, handling potential connection errors","This code checks if a specified activity within a given package is optimized for distraction mitigation in a car environment, handling potential connection errors.","This code determines if an activity is distraction optimized using a car package manager, gracefully handling car disconnection scenarios.",20.355513820113572,64.86486486486487,34.28571428571428,54.054054054054056,79.453045129776
38,java,"Retrieves a specific, configured Intent for the default maps app, falling back to a generic one","This code retrieves the preferred map activity intent, prioritizing user-configured options or a default system map application.","This code determines the best intent to launch for map activities, considering user preferences and a fallback default.",2.8629993657668873,35.294117647058826,0.0,17.647058823529413,61.8655264377594
39,java,Dynamically instantiates and displays home card modules defined in a configuration resource,"This code initializes and displays a set of HomeCardModule fragments within a FragmentTransaction, dynamically creating them via reflection based on configured class names.","This code dynamically creates and displays HomeCardModule fragments using reflection, adding them to the UI via a FragmentTransaction.",3.3337449830272976,22.857142857142854,6.060606060606061,17.14285714285714,71.35617136955261
40,java,Removes dangling tasks that are in multi-window mode,This code removes multi-window tasks from the ActivityTaskManager if they are found in a list of task appearance information.,This code removes dangling multi-window tasks from the ActivityTaskManager based on a list of task appearance information.,2.707657626755448,41.37931034482759,7.4074074074074066,27.58620689655173,70.24643421173096
41,java,Updates the mode from the intent and sets the UI title accordingly,"The code updates the application's mode based on intent data, setting the title accordingly.",The code updates the application's mode and title based on incoming intent data.,6.43716525407242,59.25925925925925,16.0,51.85185185185186,82.78129696846008
42,java,Lazily initializes and returns the Chronometer view on first access,"This code lazily initializes and returns a Chronometer view, retrieving it from the layout only if it hasn't been initialized before.","This code lazily initializes and returns a Chronometer view, retrieving it from the layout if it's null.",8.066974340737668,43.75,26.666666666666668,37.49999999999999,68.36152076721191
43,java,Blurs and scales an image to set as a card's visible background,"This code lazily initializes and returns a media layout view, inflating it from a ViewStub if it doesn't already exist and setting up its title, subtitle, and playback controls.","This code lazily initializes and returns a media layout view, inflating it from a ViewStub if it's null and initializing associated UI elements and controls.",1.3355980882200826,9.30232558139535,0.0,9.30232558139535,57.880282402038574
44,java,Blurs and scales an image to set as a card's visible background,"This code updates the card's background image by scaling a drawable to a square, blurring it, and setting it as the background.","This code updates the card's background with a blurred, scaled version of a drawable image.",2.4499322504239376,44.44444444444444,5.882352941176471,22.22222222222222,73.21051955223083
45,java,Makes the media view visible and sets its title and subtitle,This code updates the visibility and text content of a media view with a given title and subtitle.,This code displays a media view and sets its title and subtitle text.,10.307386760781874,48.275862068965516,22.222222222222225,41.37931034482759,71.36850953102112
46,java,"Starts and shows a chronometer if a start time is positive; otherwise, hides it","This code manages the visibility and state of a chronometer (timer) based on the start time of an audio content, displaying it when the start time is positive.",This code controls the visibility and start time of a chronometer to display audio duration when a start time is provided.,9.557083774398006,38.095238095238095,20.0,33.33333333333333,65.59922695159912
47,java,Registers a callback on a newly added call,Registers a callback with a given call object if the call object is not null.,"Registers a callback on a call object, ensuring the object is not null.",10.343603005129705,43.47826086956522,19.047619047619047,43.47826086956522,67.73508787155151
48,java,Resets state and unregisters the callback when a call is removed,"This code handles the removal of an active call by clearing related data, notifying the presenter of the update, and unregistering a callback.",This code cleans up call-related data and notifies the presenter when a call is removed.,2.1601524349994397,29.411764705882355,0.0,11.76470588235294,68.27855110168457
49,java,Updates the ongoing call view model with a formatted phone number and UI controls,Formats a phone number and updates the UI with the formatted number and associated controls.,"Formats a phone number, updates the UI with the formatted number, and notifies a presenter of the update.",11.980914528565991,68.9655172413793,22.222222222222225,48.275862068965516,71.23591899871826
50,java,"Initializes the Mute, End Call, and Dialpad buttons for an in-call user interface","Initializes audio control buttons (mute, end call, dialpad) with associated actions within an in-call user interface.","Initializes audio control buttons (mute, end call, dialpad) and assigns click listeners to manage call muting, disconnection, and dialpad access.",13.520459769143477,70.96774193548386,41.37931034482759,64.51612903225806,84.24885272979736
53,cpp,Notifies a newly added listener if the D-Bus connection is already available,This code notifies a newly added listener of the current D-Bus connection availability status (available if connected).,This code notifies a newly added listener of the D-Bus connection's availability status.,15.77454598068419,70.96774193548387,41.37931034482759,64.51612903225806,76.04411840438843
54,cpp,"For an active connection, adds a thread to a list to be joined on exit, avoiding duplicates",The function associates a thread with a connection and adds the thread to a vector of threads to be joined upon exit.,The function associates a thread with a connection and manages a list of threads to be joined when the connection exits.,12.384901282810539,51.28205128205129,27.027027027027025,46.15384615384615,73.38970303535461
56,cpp,A callback to stop monitoring a D-Bus watch and clean up its associated data,This function handles the removal of a DBus watch by stopping its monitoring and clearing associated data.,"This function removes a DBus watch, stopping monitoring and clearing associated data when a watch is removed.",5.875148471810145,43.74999999999999,6.666666666666667,31.25,80.93762993812561
57,cpp,"A libdbus callback that creates, starts, or stops a D-Bus watch based on its readiness status","This function manages a DBus watch object, starting or stopping monitoring based on its readiness and context.","This function toggles the watching state of a DBus watch object, creating it if necessary and managing its dependencies.",15.071676257541073,41.17647058823529,18.75,35.294117647058826,73.9543080329895
58,cpp,Thread-safely gets or creates a singleton DBusObjectManager instance using double-checked locking,"This code provides a thread-safe getter for a shared pointer to a DBusObjectManager, lazily initializing it if it doesn't already exist.",This code lazily initializes and returns a thread-safe shared pointer to a DBusObjectManager.,1.9582248325011242,16.666666666666668,0.0,16.666666666666668,69.41078305244446
59,cpp,Performs a reference-counted release of a D-Bus service name,"Releases a service name on the DBus connection, decrementing a counter if the name is held multiple times.","Releases a service name on the DBus connection, removing it if it was the only owner.",4.553719184146073,27.586206896551722,7.407407407407408,20.689655172413794,67.5641119480133
60,cpp,Steals the reply from a pending D-Bus call and wraps it in a DBusMessage object,"This function converts a libdbus pending call reply to a DBusMessage object, handling null input and transferring ownership of the libdbus message.",This function extracts the reply from a libdbus pending call and converts it into a DBusMessage object.,7.707532488755378,47.368421052631575,11.11111111111111,31.57894736842105,71.60264849662781
61,cpp,Safely deletes all pending asynchronous handlers from a shared list,This function safely deletes asynchronous DBus message handlers stored in a protected vector by transferring ownership and then iterating to free the memory.,"This function safely deletes asynchronous DBus message handlers stored in a protected vector, ensuring thread-safe access before deallocation.",2.224972978585352,30.303030303030305,6.451612903225805,30.303030303030305,71.28137350082397
62,cpp,Reports a success status to all registered signal handlers for their associated tags,"This function iterates through registered signal handlers and calls their `onSpecificError` method with a success status for each associated tag, ensuring thread-safe access to the handler map.","This function iterates through registered signal handlers, calling their `onSpecificError` method with a success status for each associated tag after acquiring a lock to protect the signal handler map.",8.531104334876973,48.78048780487806,20.51282051282051,24.39024390243903,64.91149663925171
