test_name,language,corpus_codebleu,corpus_ngram_match_score,corpus_weighted_ngram_match_score,corpus_syntax_match_score,corpus_dataflow_match_score
base_12b-auto-long-one,python,38.75,25.39,25.83,48.37,55.41
base_12b-auto-long-one,java,68.44,53.09,59.65,63.95,97.06
base_12b-auto-long-one,cpp,41.53,27.63,28.73,51.15,58.62
base_12b-auto-long-one,c,59.42,57.98,60.43,60.19,59.09
base_12b-auto-long-one,average,52.03,41.02,43.66,55.91,67.54
base_12b-auto-long-one-rci,python,38.75,25.39,25.83,48.37,55.41
base_12b-auto-long-one-rci,java,69.78,57.83,60.30,63.95,97.06
base_12b-auto-long-one-rci,cpp,41.53,27.63,28.73,51.15,58.62
base_12b-auto-long-one-rci,c,59.42,57.98,60.43,60.19,59.09
base_12b-auto-long-one-rci,average,52.37,42.21,43.82,55.91,67.54
