test_name,no. RCI different,percentage different
base_12b_generation_auto_long_one,25,28.41
base_12b_generation_auto_long_three,23,26.14
base_12b_generation_auto_short_one,35,39.77
base_12b_generation_auto_short_three,25,28.41
base_12b_generation_xl_long_one,40,45.45
base_12b_generation_xl_long_three,40,45.45
base_12b_generation_xl_long_zero,28,31.82
base_12b_generation_xl_short_one,33,37.50
base_12b_generation_xl_short_three,37,42.05
base_12b_generation_xl_short_zero,19,21.59
base_12b_summarization_auto_long_one,87,98.86
base_12b_summarization_auto_long_three,87,98.86
base_12b_summarization_auto_short_one,84,95.45
base_12b_summarization_auto_short_three,87,98.86
base_12b_summarization_xl_long_one,86,97.73
base_12b_summarization_xl_long_three,88,100.00
base_12b_summarization_xl_long_zero,88,100.00
base_12b_summarization_xl_short_one,88,100.00
base_12b_summarization_xl_short_three,87,98.86
base_12b_summarization_xl_short_zero,88,100.00
