kept_file,near_duplicate_of_kept_file
Emma/Emma/shared_libs/__init__.py,Emma/tests/other_files/__init__.py
FB-SSEM-dataset/F2BEV_code/F2BEV/bblocks/mask_head_decoder_height.py,FB-SSEM-dataset/F2BEV_code/F2BEV/bblocks/mask_head_decoder_seg.py
FB-SSEM-dataset/F2BEV_code/F2BEV/model_f2bev_attn_st_height.py,FB-SSEM-dataset/F2BEV_code/F2BEV/model_f2bev_attn_st_seg.py
FB-SSEM-dataset/F2BEV_code/F2BEV/model_f2bev_conv_st_height.py,FB-SSEM-dataset/F2BEV_code/F2BEV/model_f2bev_conv_st_seg.py
FB-SSEM-dataset/F2BEV_code/F2BEV/test_f2bev_attn_st_height.py,FB-SSEM-dataset/F2BEV_code/F2BEV/test_f2bev_conv_st_height.py
FB-SSEM-dataset/F2BEV_code/F2BEV/test_loader_multi_task.py,FB-SSEM-dataset/F2BEV_code/F2BEV/loader_multi_task.py
acme/tests/TestProject/modules/TestDependencyOnOnlyHeaders_TheDependency/include/TestDependencyOnOnlyHeaders_TheDependency/ClassInDependency.h,acme/tests/TestProject/modules/TestDependencyAutolink_TheDependency/include/TestDependencyAutolink_TheDependency/ClassInDependency.h
capicxx-dbus-tools/org.genivi.commonapi.dbus/src/org/genivi/commonapi/dbus/verification/AllInfoMapsBuilder.java,capicxx-wamp-tools/org.genivi.commonapi.wamp/src/org/genivi/commonapi/wamp/verification/AllInfoMapsBuilder.java
capu/Capu/include/capu/os/Android/ARMV7L/TcpSocket.h,capu/Capu/include/capu/os/Linux/ARMV7L/TcpSocket.h
capu/Capu/include/capu/os/Android/Math.h,capu/Capu/include/capu/os/MacOSX/Math.h
capu/Capu/include/capu/os/Linux/ARMV7L/File.h,capu/Capu/include/capu/os/Linux/X86_64/File.h
capu/Capu/include/capu/os/MacOSX/X86_64/TcpSocket.h,capu/Capu/include/capu/os/MacOSX/X86_32/TcpSocket.h
capu/Capu/include/capu/os/iPhoneSimulatorOS/X86_64/File.h,capu/Capu/include/capu/os/iPhoneOS/ARM64/File.h
capu/Capu/include/capu/os/iPhoneSimulatorOS/X86_64/File.h,capu/Capu/include/capu/os/iPhoneSimulatorOS/X86_32/File.h
capu/Capu/include/capu/os/iPhoneSimulatorOS/X86_64/TcpSocket.h,capu/Capu/include/capu/os/iPhoneOS/ARM64/TcpSocket.h
capu/Capu/include/capu/os/iPhoneSimulatorOS/X86_64/TcpSocket.h,capu/Capu/include/capu/os/iPhoneOS/ARMV7/TcpSocket.h
capu/Capu/include/capu/os/iPhoneSimulatorOS/X86_64/TcpSocket.h,capu/Capu/include/capu/os/iPhoneSimulatorOS/X86_32/TcpSocket.h
capu/Capu/src/os/Android/DynamicLibrary.cpp,capu/Capu/src/os/iPhoneOS/DynamicLibrary.cpp
dlt-daemon/tests/components/logstorage/disable_network/disable_network.cpp,dlt-daemon/tests/components/logstorage/logstorage_filepath/logstorage_filepath.cpp
dlt-daemon/tests/components/logstorage/disable_network/disable_network.cpp,dlt-daemon/tests/components/logstorage/logstorage_fsync/logstorage_fsync.cpp
dlt-daemon/tests/components/logstorage/disable_network/disable_network.cpp,dlt-daemon/tests/components/logstorage/logstorage_multi_file/logstorage_multi_file.cpp
dlt-viewer/parser/examples/example_1/mapp.c,dlt-viewer/parser/examples/example_2/mapp.c
eclipse-tractusx_tractusx-edc-merge/edc-extensions/hashicorp-vault/src/main/java/org/eclipse/tractusx/edc/hashicorpvault/HashicorpCertificateResolver.java,EclipseDataSpaceConnector/extensions/common/vault/vault-hashicorp/src/main/java/org/eclipse/edc/vault/hashicorp/HashicorpCertificateResolver.java
eclipse-tractusx_tractusx-edc-merge/edc-extensions/hashicorp-vault/src/main/java/org/eclipse/tractusx/edc/hashicorpvault/PemUtil.java,EclipseDataSpaceConnector/extensions/common/vault/vault-hashicorp/src/main/java/org/eclipse/edc/vault/hashicorp/PemUtil.java
graphql-vss-data-server/cpp-server/implementation/attributes/v1_org_genivi_vehicle_playground_PlaygroundProxy_1/DrivePowerTransmissionAttribute.hpp,graphql-vss-data-server/cpp-server/implementation/attributes/v1_org_genivi_vehicle_playground_PlaygroundProxy_1/ConsumptionAttribute.hpp
graphql-vss-data-server/cpp-server/implementation/attributes/v1_org_genivi_vehicle_playground_PlaygroundProxy_1/DrivePowerTransmissionAttribute.hpp,graphql-vss-data-server/cpp-server/implementation/attributes/v1_org_genivi_vehicle_playground_PlaygroundProxy_1/CurrentGearAttribute.hpp
graphql-vss-data-server/cpp-server/implementation/attributes/v1_org_genivi_vehicle_playground_PlaygroundProxy_1/DrivePowerTransmissionAttribute.hpp,graphql-vss-data-server/cpp-server/implementation/attributes/v1_org_genivi_vehicle_playground_PlaygroundProxy_1/EngineSpeedAttribute.hpp
graphql-vss-data-server/cpp-server/implementation/attributes/v1_org_genivi_vehicle_playground_PlaygroundProxy_1/DrivePowerTransmissionAttribute.hpp,graphql-vss-data-server/cpp-server/implementation/attributes/v1_org_genivi_vehicle_playground_PlaygroundProxy_1/IsReverseGearOnAttribute.hpp
graphql-vss-data-server/cpp-server/implementation/attributes/v1_org_genivi_vehicle_playground_PlaygroundProxy_1/DrivePowerTransmissionAttribute.hpp,graphql-vss-data-server/cpp-server/implementation/attributes/v1_org_genivi_vehicle_playground_PlaygroundProxy_1/SeatHeatingLevelAttribute.hpp
graphql-vss-data-server/cpp-server/implementation/attributes/v1_org_genivi_vehicle_playground_PlaygroundProxy_1/DrivePowerTransmissionAttribute.hpp,graphql-vss-data-server/cpp-server/implementation/attributes/v1_org_genivi_vehicle_playground_PlaygroundProxy_1/SeatHeatingStatusAttribute.hpp
graphql-vss-data-server/cpp-server/implementation/attributes/v1_org_genivi_vehicle_playground_PlaygroundProxy_1/DrivePowerTransmissionAttribute.hpp,graphql-vss-data-server/cpp-server/implementation/attributes/v1_org_genivi_vehicle_playground_PlaygroundProxy_1/VolumeAttribute.hpp
joynr/dependency-lock/update.py,joynr/android/dependency-lock/update.py
joynr/examples/radio-app/src/main/java/io/joynr/demo/MyRadioProvider.java,joynr/android/libjoynr-android-integration-tests/test-radio-provider/app/src/main/java/io/joynr/android/provider/RadioProvider.java
joynr/tests/inter-language-test/inter-language-test-base/src/main/java/io/joynr/test/interlanguage/testresults/TestCaseFailure.java,joynr/tests/gcd-e2e-test/src/main/java/io/joynr/test/gcd/testresults/TestCaseFailure.java
joynr/tests/inter-language-test/inter-language-test-base/src/main/java/io/joynr/test/interlanguage/testresults/TestCaseFailure.java,joynr/tests/inter-language-test/inter-language-test-jee-api/src/main/java/io/joynr/ilt/testresults/TestCaseFailure.java
joynr/tests/inter-language-test/inter-language-test-base/src/main/java/io/joynr/test/interlanguage/testresults/TestCaseResult.java,joynr/tests/gcd-e2e-test/src/main/java/io/joynr/test/gcd/testresults/TestCaseResult.java
joynr/tests/inter-language-test/inter-language-test-base/src/main/java/io/joynr/test/interlanguage/testresults/TestCaseResult.java,joynr/tests/inter-language-test/inter-language-test-jee-api/src/main/java/io/joynr/ilt/testresults/TestCaseResult.java
joynr/tests/inter-language-test/inter-language-test-base/src/main/java/io/joynr/test/interlanguage/testresults/TestResult.java,joynr/tests/gcd-e2e-test/src/main/java/io/joynr/test/gcd/testresults/TestResult.java
joynr/tests/inter-language-test/inter-language-test-base/src/main/java/io/joynr/test/interlanguage/testresults/TestResult.java,joynr/tests/inter-language-test/inter-language-test-jee-api/src/main/java/io/joynr/ilt/testresults/TestResult.java
joynr/tests/inter-language-test/inter-language-test-base/src/main/java/io/joynr/test/interlanguage/testresults/TestSuiteResult.java,joynr/tests/gcd-e2e-test/src/main/java/io/joynr/test/gcd/testresults/TestSuiteResult.java
joynr/tests/inter-language-test/inter-language-test-base/src/main/java/io/joynr/test/interlanguage/testresults/TestSuiteResult.java,joynr/tests/inter-language-test/inter-language-test-jee-api/src/main/java/io/joynr/ilt/testresults/TestSuiteResult.java
joynr/tests/inter-language-test/inter-language-test-base/src/test/java/io/joynr/test/interlanguage/IltConsumerJUnitListener.java,joynr/tests/gcd-e2e-test/src/test/java/io/joynr/test/gcd/GcdConsumerJUnitListener.java
joynr/tests/inter-language-test/inter-language-test-base/src/test/java/io/joynr/test/interlanguage/IltConsumerJUnitListener.java,joynr/tests/inter-language-test/inter-language-test-jee-consumer/src/main/java/io/joynr/test/interlanguage/jee/IltConsumerJUnitListener.java
