id,language,reference,generated,generated_rci,codebleu,ngram_match_score,weighted_ngram_match_score,syntax_match_score,dataflow_match_score
2,python,"def is_datatype(cls, value: Any, datatype: str) -> bool:
    t = cls.get_type(datatype)
    if t is None:
        raise DatatypesException(f""Unsupported datatype: {datatype}"")
    return t[1](value)","def is_datatype(cls, value: Any, datatype: str) -> bool:
    if datatype not in cls.datatypes:
        raise DatatypesException(f""Not a valid datatype: '{datatype}'"")
    return cls.datatypes[datatype](value)","def is_datatype(cls, value: Any, datatype: str) -> bool:
    if datatype not in cls.datatypes:
        raise DatatypesException(f""Not a valid datatype: '{datatype}'"")
    return cls.datatypes[datatype](value)",45.72706607377774,36.39412530979476,38.05260052377777,38.46153846153847,70.0
3,python,"def is_xintx(value: Any, signed: bool, bits: int):
    values = [value]
    if isinstance(value, list):
        values = value

    for v in values:
        if not isinstance(v, int):
            return False
        if not signed and v < 0:
            return False
        max = 2**bits - 1
        min = 0
        if signed:
            max = 2 ** (bits - 1) - 1
            min = -(2 ** (bits - 1))
        if not (v <= max and v >= min):
            return False
    return True","from typing import Any, List

def is_xintx(value: Any, signed: bool, bits: int):
    if isinstance(value, list):
        return all(is_xintx(item, signed, bits) for item in value)
    if not isinstance(value, int):
        return False
    if signed:
        lower_bound = -(2 ** (bits - 1))
        upper_bound = 2 ** (bits - 1) - 1
    else:
        lower_bound = 0
        upper_bound = 2 ** bits - 1
    return lower_bound <= value <= upper_bound","from typing import Any, List

def is_xintx(value: Any, signed: bool, bits: int):
    if isinstance(value, list):
        return all(is_xintx(item, signed, bits) for item in value)
    if not isinstance(value, int):
        return False
    if signed:
        lower_bound = -(2 ** (bits - 1))
        upper_bound = 2 ** (bits - 1) - 1
    else:
        lower_bound = 0
        upper_bound = 2 ** bits - 1
    return lower_bound <= value <= upper_bound",42.75388828600729,31.06620496144819,30.983239216472004,60.317460317460316,48.64864864864865
4,python,"def get_type(cls, datatype: str) -> tuple[str, Callable, list[str]] | None:
        for t in cls.types:
            if datatype == t[0]:
                return t
        return None","def get_type(cls, datatype: str) -> tuple[str, Callable, list[str]] | None:
    for type_def in cls.types:
        if type_def[0] == datatype:
            return type_def
    return None","def get_type(cls, datatype: str) -> tuple[str, Callable, list[str]] | None:
    for type_def in cls.types:
        if type_def[0] == datatype:
            return type_def
    return None",72.51558048642302,57.14392512385289,58.84432274776513,74.07407407407408,100.0
5,python,"def get_fqn_namespaced_datatypes(fqn: str | None = None) -> dict[str, str]:
    if not fqn:
        return {}
    fqn_namespaced_datatypes = {}
    for t in dynamic_datatypes:
        if fqn.startswith(t):
            continue

        if fqn.startswith(""."".join(t.split(""."")[:-1])):
            fqn_namespaced_datatypes[(t.split(""."")[-1])] = t

    if fqn_namespaced_datatypes:
        log.debug(f""Namespaced datatypes, {fqn=}, {fqn_namespaced_datatypes=}"")
    return fqn_namespaced_datatypes","def get_fqn_namespaced_datatypes(fqn: str | None = None) -> dict[str, str]:
    if fqn is None:
        return {}
    fqn_parts = fqn.split(""."")
    namespace = ""."".join(fqn_parts[:-1])
    datatype_names = [
        fqn_parts[-1],
        fqn_parts[-2] + ""_"" + fqn_parts[-1],
        fqn_parts[-3] + ""_"" + fqn_parts[-2] + ""_"" + fqn_parts[-1],
    ]
    fqn_namespaced_datatypes = {}
    for datatype_name in datatype_names:
        fqn_namespaced_datatypes[datatype_name] = namespace + ""."" + datatype_name
    return fqn_namespaced_datatypes","def get_fqn_namespaced_datatypes(fqn: str | None = None) -> dict[str, str]:
    if fqn is None:
        return {}
    fqn_parts = fqn.split(""."")
    namespace = ""."".join(fqn_parts[:-1])
    datatype_names = [
        fqn_parts[-1],
        fqn_parts[-2] + ""_"" + fqn_parts[-1],
        fqn_parts[-3] + ""_"" + fqn_parts[-2] + ""_"" + fqn_parts[-1],
    ]
    fqn_namespaced_datatypes = {}
    for datatype_name in datatype_names:
        fqn_namespaced_datatypes[datatype_name] = namespace + ""."" + datatype_name
    return fqn_namespaced_datatypes",36.9224202193227,23.94868127217873,36.70396256807504,50.0,37.03703703703704
7,python,"def get_apigear_datatype(t: str) -> typing.Optional[ApiGearType]:
    is_array = False
    apigear_type = None
    if t.endswith(""[]""):
        is_array = True
        t = t[0:-2]

    if t in [""int8"", ""int16"", ""int32"", ""uint8"", ""uint16"", ""uint32""]:
        apigear_type = ApiGearType(ApiGearBasicType.INT32.value)
    elif t in [""int64"", ""uint64""]:
        apigear_type = ApiGearType(ApiGearBasicType.INT64.value)
    elif t == ""float"":
        apigear_type = ApiGearType(ApiGearBasicType.FLOAT32.value)
    elif t == ""double"":
        apigear_type = ApiGearType(ApiGearBasicType.FLOAT64.value)
    elif t == ""boolean"":
        apigear_type = ApiGearType(ApiGearBasicType.BOOL.value)
    elif t == ""string"":
        apigear_type = ApiGearType(ApiGearBasicType.STRING.value)
    else:
        apigear_type = ApiGearType(t.replace(""."", ""_""))

    if is_array and apigear_type is not None:
        apigear_type.is_array = True

    return apigear_type","import typing

from apigeardef.apigeardef_types import ApiGearType

def get_apigeardef_datatype(t: str) -> typing.Optional[ApiGearType]:
    t = t.strip()
    if t in (""int"", ""integer""):
        return ApiGearType(name=""int32"")
    elif t in (""float"", ""double""):
        return ApiGearType(name=""float64"")
    elif t in (""string"", ""str""):
        return ApiGearType(name=""string"")
    elif t in (""bool"", ""boolean""):
        return ApiGearType(name=""bool"")
    elif t in (""bytes"", ""byte[]""):
        return ApiGearType(name=""bytes"")
    elif t in (""uint8"", ""uint32"", ""uint64""):
        return ApiGearType(name=t)
    elif t in (""int8"", ""int16"", ""int32"", ""int64""):
        return ApiGearType(name=t)
    elif t in (""uint8_t"", ""uint32_t"", ""uint64_t""):
        return ApiGearType(name=t)
    elif t in (""int8_t"", ""int16_t"", ""int32_t"", ""int64_t""):
        return ApiGearType(name=t)
    elif t in (""uint8"", ""uint32"", ""uint64""):
        return ApiGearType(name=t)
    elif t in (""int8"", ""int16"", ""int32"", ""int64""):
        return ApiGearType(name=t)
    elif t in (""uint8_t"", ""uint32_t"", ""uint64_t""):
        return ApiGearType(name=t)
    elif t in (""int8_t"", ""int16_t"", ""int32_t"", ""int64_t""):
        return ApiGearType(name=t)
    elif t.endswith(""[]""):
        t = t[:-2]
        return ApiGearType(name=t, is_array=True)
    elif ""."" in t:
        t = t.replace(""."", ""_"")
        return ApiGearType(name=t)
    else:
        return ApiGearType(name=t)","import typing

from apigeardef.apigeardef_types import ApiGearType

def get_apigeardef_datatype(t: str) -> typing.Optional[ApiGearType]:
    t = t.strip()
    if t in (""int"", ""integer""):
        return ApiGearType(name=""int32"")
    elif t in (""float"", ""double""):
        return ApiGearType(name=""float64"")
    elif t in (""string"", ""str""):
        return ApiGearType(name=""string"")
    elif t in (""bool"", ""boolean""):
        return ApiGearType(name=""bool"")
    elif t in (""bytes"", ""byte[]""):
        return ApiGearType(name=""bytes"")
    elif t in (""uint8"", ""uint32"", ""uint64""):
        return ApiGearType(name=t)
    elif t in (""int8"", ""int16"", ""int32"", ""int64""):
        return ApiGearType(name=t)
    elif t in (""uint8_t"", ""uint32_t"", ""uint64_t""):
        return ApiGearType(name=t)
    elif t in (""int8_t"", ""int16_t"", ""int32_t"", ""int64_t""):
        return ApiGearType(name=t)
    elif t in (""uint8"", ""uint32"", ""uint64""):
        return ApiGearType(name=t)
    elif t in (""int8"", ""int16"", ""int32"", ""int64""):
        return ApiGearType(name=t)
    elif t in (""uint8_t"", ""uint32_t"", ""uint64_t""):
        return ApiGearType(name=t)
    elif t in (""int8_t"", ""int16_t"", ""int32_t"", ""int64_t""):
        return ApiGearType(name=t)
    elif t.endswith(""[]""):
        t = t[:-2]
        return ApiGearType(name=t, is_array=True)
    elif ""."" in t:
        t = t.replace(""."", ""_"")
        return ApiGearType(name=t)
    else:
        return ApiGearType(name=t)",15.072784684998378,2.300374176331361,4.066493564097371,30.973451327433626,22.950819672131146
8,python,"def generate_property(node: VSSNode, datatype: str) -> ApiGearProperty | None:
    apigear_type = get_apigear_datatype(datatype)
    data = node.get_vss_data()

    if apigear_type is None:
        log.warning(f""Datatype {datatype} of node {node.name} currently not supported"")
        return None

    property = ApiGearProperty(apigear_type)
    if data.description != """":
        property.description = data.description
    return property","def generate_property(node: VSSNode, datatype: str) -> ApiGearProperty | None:
    api_gear_type = convert_vss_datatype_to_api_gear_type(datatype)
    if api_gear_type is None:
        logging.warning(f""Unsupported datatype '{datatype}' for property '{node.name}'"")
        return None
    return ApiGearProperty(
        name=node.name,
        datatype=api_gear_type,
        description=node.description,
    )","def generate_property(node: VSSNode, datatype: str) -> ApiGearProperty | None:
    api_gear_type = convert_vss_datatype_to_api_gear_type(datatype)
    if api_gear_type is None:
        logging.warning(f""Unsupported datatype '{datatype}' for property '{node.name}'"")
        return None
    return ApiGearProperty(
        name=node.name,
        datatype=api_gear_type,
        description=node.description,
    )",44.09381302496108,22.37036039916714,25.11600281178832,68.88888888888889,60.0
10,python,"def load_vspec(include_dirs: list[Path], specs: list[Path], identifier: str | None = None) -> VSpec:
    spec = None
    vspecs: list[VSpec] = []
    for s in specs:
        includes = [s.parent] + include_dirs
        vspecs.extend(get_vspecs(includes, s))
    pre = ""VSpecs""
    if identifier:
        pre += f"" ({identifier})""
    log.info(f""{pre} loaded, amount={len(vspecs)}"")
    for vspec in vspecs:
        log.debug(vspec)
        if spec is None:
            spec = vspec
        else:
            spec.update(vspec)
    if not spec:
        msg = f""Weird behavior. Could not load any spec: {specs}""
        log.error(msg)
        raise SpecException(msg)
    return spec","from pathlib import Path

from vspec.vspec import VSpec
from vspec.exceptions import VSpecException
from vspec.parser import parse_vspec_file


def load_vspec(include_dirs: list[Path], specs: list[Path], identifier: str | None = None) -> VSpec:
    """"""Loads and parses multiple VSpec files from specified paths, using a list of include directories,
    then merges them into a single composite VSpec object and returns it, raising an exception if no
    files are successfully loaded""""""
    vspecs = []
    for spec_path in specs:
        try:
            vspec = parse_vspec_file(spec_path, include_dirs)
            vspecs.append(vspec)
        except VSpecException as e:
            raise VSpecException(f""Failed to load '{spec_path}': {e}"")
    if not vspecs:
        raise VSpecException(""No VSpec files loaded"")
    return VSpec(vspecs, identifier)","from pathlib import Path

from vspec.vspec import VSpec
from vspec.exceptions import VSpecException
from vspec.parser import parse_vspec_file


def load_vspec(include_dirs: list[Path], specs: list[Path], identifier: str | None = None) -> VSpec:
    """"""Loads and parses multiple VSpec files from specified paths, using a list of include directories,
    then merges them into a single composite VSpec object and returns it, raising an exception if no
    files are successfully loaded""""""
    vspecs = []
    for spec_path in specs:
        try:
            vspec = parse_vspec_file(spec_path, include_dirs)
            vspecs.append(vspec)
        except VSpecException as e:
            raise VSpecException(f""Failed to load '{spec_path}': {e}"")
    if not vspecs:
        raise VSpecException(""No VSpec files loaded"")
    return VSpec(vspecs, identifier)",30.87085969268793,15.47712138844292,21.908126167838518,48.888888888888886,37.2093023255814
11,python,"def deep_update(base: dict[str, Any], update: dict[str, Any]) -> None:
    for key, value in update.items():
        if isinstance(value, dict):
            if key in base and isinstance(base[key], dict):
                deep_update(base[key], value)
            else:
                base[key] = value
        else:
            base[key] = value","def deep_update(base: dict[str, Any], update: dict[str, Any]) -> None:
    for k, v in update.items():
        if isinstance(v, dict) and k in base and isinstance(base[k], dict):
            deep_update(base[k], v)
        else:
            base[k] = v","def deep_update(base: dict[str, Any], update: dict[str, Any]) -> None:
    for k, v in update.items():
        if isinstance(v, dict) and k in base and isinstance(base[k], dict):
            deep_update(base[k], v)
        else:
            base[k] = v",61.09433177212898,35.2397286283442,37.262598460171745,81.25,90.625
12,python,"def check_const_uid_format(cls, v: str | None) -> str | None:
    if v is None:
        return v
    pattern = r""^0x[0-9A-Fa-f]{8}$""
    assert bool(re.match(pattern, v)), f""'{v}' is not a valid 'constUID'""
    return v","def check_const_uid_format(cls, v: str | None) -> str | None:
    if v is None:
        return None
    if not isinstance(v, str):
        raise ValueError(f""Invalid constUID format: '{v}'"")
    if not v.startswith(""0x""):
        raise ValueError(f""Invalid constUID format: '{v}'"")
    if len(v) != 10:
        raise ValueError(f""Invalid constUID format: '{v}'"")
    try:
        int(v[2:], 16)
    except ValueError:
        raise ValueError(f""Invalid constUID format: '{v}'"")
    return v","def check_const_uid_format(cls, v: str | None) -> str | None:
    if v is None:
        return None
    if not isinstance(v, str):
        raise ValueError(f""Invalid constUID format: '{v}'"")
    if not v.startswith(""0x""):
        raise ValueError(f""Invalid constUID format: '{v}'"")
    if len(v) != 10:
        raise ValueError(f""Invalid constUID format: '{v}'"")
    try:
        int(v[2:], 16)
    except ValueError:
        raise ValueError(f""Invalid constUID format: '{v}'"")
    return v",53.78709121711924,27.293630220079695,51.8547346483973,56.00000000000001,80.0
13,python,"def get_vss_raw(data: dict[str, Any], fqn: str | None) -> VSSRaw:
    model = VSSRaw(fqn=fqn, **data)
    try:
        model = resolve_vss_raw(model)
    except (ValidationError, ModelException):
        log.debug(f""'{fqn}', incomplete, initialized as '{model.__class__.__name__}'"")
        return model
    return model","def get_vss_raw(data: dict[str, Any], fqn: str | None) -> VSSRaw:
    vss_raw = VSSRaw(data)
    if not vss_raw.is_valid():
        return vss_raw
    if fqn:
        vss_raw = resolve_vss_raw(vss_raw, fqn)
    return vss_raw","def get_vss_raw(data: dict[str, Any], fqn: str | None) -> VSSRaw:
    vss_raw = VSSRaw(data)
    if not vss_raw.is_valid():
        return vss_raw
    if fqn:
        vss_raw = resolve_vss_raw(vss_raw, fqn)
    return vss_raw",49.83508369808264,32.10790717598868,33.06576094967523,47.5,86.66666666666667
