id,language,reference,generated,generated_rci,codebleu,ngram_match_score,weighted_ngram_match_score,syntax_match_score,dataflow_match_score
2,python,"def is_datatype(cls, value: Any, datatype: str) -> bool:
    t = cls.get_type(datatype)
    if t is None:
        raise DatatypesException(f""Unsupported datatype: {datatype}"")
    return t[1](value)","def is_datatype(cls, value: Any, datatype: str) -> bool:
    if datatype not in cls.datatypes:
        raise DatatypesException(f""Unsupported datatype: '{datatype}'"")
    return cls.datatypes[datatype](value)","def is_datatype(cls, value: Any, datatype: str) -> bool:
    if datatype not in cls.datatypes:
        raise DatatypesException(f""Unsupported datatype: '{datatype}'"")
    return cls.datatypes[datatype](value)
docs/source/api/vss_datatypes.rst
======================================

.. automodule:: vss.datatypes

.. currentmodule:: vss.datatypes

.. autofunction:: is_datatype
docs/source/api/vss_datatypes.rst
======================================

.. automodule:: vss.datatypes

.. currentmodule:: vss.datatypes

.. autofunction:: is_subtype_of
docs/source/api/vss_datatypes.rst
======================================

.. automodule:: vss.datatypes

.. currentmodule:: vss.datatypes

.. autofunction:: populate_unique_node_names
docs/source/api/vss_datatypes.rst
======================================

.. automodule:: vss.datatypes

.. currentmodule:: vss.datatypes

.. autofunction:: get_vspecs
docs/source/api/vss_datatypes.rst
======================================

.. automodule:: vss.datatypes

.. currentmodule:: vss.datatypes

.. autofunction:: get_vspecs
docs/source/api/vss_datatypes.rst
======================================

.. automodule:: vss.datatypes

.. currentmodule:: vss.datatypes

.. autofunction:: get_vspecs
docs/source/api/vss_datatypes.rst
======================================

.. automodule:: vss.datatypes

.. currentmodule:: vss.datatypes

.. autofunction:: get_vspecs
docs/source/api/vss_datatypes.rst
======================================

.. automodule:: vss.datatypes

.. currentmodule:: vss.datatypes

.. autofunction:: get_vspecs
docs/source/api/vss_datatypes.rst
======================================

.. automodule:: vss.datatypes

.. currentmodule:: vss.datatypes

.. autofunction:: get_vspecs
docs/source/api/vss_datatypes.rst
======================================

.. automodule:: vss.datatypes

.. currentmodule:: vss.datatypes

.. autofunction:: get_vspecs
docs/source/api/vss_datatypes.rst
======================================

.. automodule:: vss.datatypes

.. currentmodule:: vss.datatypes

.. autofunction:: get_vspecs
docs/source/api/vss_datatypes.rst
======================================

.. automodule:: vss.datatypes

.. currentmodule:: vss.datatypes

.. autofunction:: get_vspecs
docs/source/api/vss_datatypes.rst
======================================

.. automodule:: vss.datatypes

.. currentmodule:: vss.datatypes

.. autofunction:: get_vspecs
docs/source/api/vss_datatypes.rst
======================================

.. automodule:: vss.datatypes

.. currentmodule:: vss.datatypes

.. autofunction:: get_vspecs
docs/source/api/vss_datatypes.rst
======================================

.. automodule:: vss.datatypes

.. currentmodule:: vss.datatypes

.. autofunction:: get_vspecs
docs/source/api/vss_datatypes.rst
======================================",43.820147385900555,4.33585829581743,42.48319278624633,38.46153846153847,90.0
3,python,"def is_xintx(value: Any, signed: bool, bits: int):
    values = [value]
    if isinstance(value, list):
        values = value

    for v in values:
        if not isinstance(v, int):
            return False
        if not signed and v < 0:
            return False
        max = 2**bits - 1
        min = 0
        if signed:
            max = 2 ** (bits - 1) - 1
            min = -(2 ** (bits - 1))
        if not (v <= max and v >= min):
            return False
    return True","def is_xintx(value: Any, signed: bool, bits: int):
    if isinstance(value, list):
        for item in value:
            if not is_xintx(item, signed, bits):
                return False
        return True
    elif isinstance(value, int):
        if signed:
            if value < -(2 ** (bits - 1)) or value > 2 ** (bits - 1) - 1:
                return False
        else:
            if value < 0 or value > 2 ** bits - 1:
                return False
        return True
    else:
        return False","def is_xintx(value: Any, signed: bool, bits: int):
    if isinstance(value, list):
        for item in value:
            if not is_xintx(item, signed, bits):
                return False
        return True
    elif isinstance(value, int):
        if signed:
            if value < -(2 ** (bits - 1)) or value > 2 ** (bits - 1) - 1:
                return False
        else:
            if value < 0 or value > 2 ** bits - 1:
                return False
        return True
    else:
        return False",33.9577968787164,27.152360715037567,28.627346748348,47.61904761904761,32.432432432432435
4,python,"def get_type(cls, datatype: str) -> tuple[str, Callable, list[str]] | None:
        for t in cls.types:
            if datatype == t[0]:
                return t
        return None","def get_type(cls, datatype: str) -> tuple[str, Callable, list[str]] | None:
    for type_def in cls.types:
        if type_def[0] == datatype:
            return type_def
    return None","def get_type(cls, datatype: str) -> tuple[str, Callable, list[str]] | None:
    for type_def in cls.types:
        if type_def[0] == datatype:
            return type_def
    return None",72.51558048642302,57.14392512385289,58.84432274776513,74.07407407407408,100.0
5,python,"def get_fqn_namespaced_datatypes(fqn: str | None = None) -> dict[str, str]:
    if not fqn:
        return {}
    fqn_namespaced_datatypes = {}
    for t in dynamic_datatypes:
        if fqn.startswith(t):
            continue

        if fqn.startswith(""."".join(t.split(""."")[:-1])):
            fqn_namespaced_datatypes[(t.split(""."")[-1])] = t

    if fqn_namespaced_datatypes:
        log.debug(f""Namespaced datatypes, {fqn=}, {fqn_namespaced_datatypes=}"")
    return fqn_namespaced_datatypes","def get_fqn_namespaced_datatypes(fqn: str | None = None) -> dict[str, str]:
    fqn_namespaced_datatypes = {}
    if fqn:
        fqn_namespaced_datatypes = {
            fqn: fqn,
        }
    return fqn_namespaced_datatypes","def get_fqn_namespaced_datatypes(fqn: str | None = None) -> dict[str, str]:
    fqn_namespaced_datatypes = {}
    if fqn:
        fqn_namespaced_datatypes = {
            fqn: fqn,
        }
    return fqn_namespaced_datatypes",27.427136838466144,26.20372853982833,28.29648548070292,21.875,33.33333333333333
7,python,"def get_apigear_datatype(t: str) -> typing.Optional[ApiGearType]:
    is_array = False
    apigear_type = None
    if t.endswith(""[]""):
        is_array = True
        t = t[0:-2]

    if t in [""int8"", ""int16"", ""int32"", ""uint8"", ""uint16"", ""uint32""]:
        apigear_type = ApiGearType(ApiGearBasicType.INT32.value)
    elif t in [""int64"", ""uint64""]:
        apigear_type = ApiGearType(ApiGearBasicType.INT64.value)
    elif t == ""float"":
        apigear_type = ApiGearType(ApiGearBasicType.FLOAT32.value)
    elif t == ""double"":
        apigear_type = ApiGearType(ApiGearBasicType.FLOAT64.value)
    elif t == ""boolean"":
        apigear_type = ApiGearType(ApiGearBasicType.BOOL.value)
    elif t == ""string"":
        apigear_type = ApiGearType(ApiGearBasicType.STRING.value)
    else:
        apigear_type = ApiGearType(t.replace(""."", ""_""))

    if is_array and apigear_type is not None:
        apigear_type.is_array = True

    return apigear_type","def get_apigear_datatype(t: str) -> typing.Optional[ApiGearType]:
    t = t.strip()
    if t in [""int"", ""integer"", ""float"", ""double"", ""bool"", ""boolean"", ""string"", ""str"", ""bytes"", ""byte[]"", ""bytearray"", ""bytearray[]""]:
        return ApiGearType(t)
    elif t.endswith(""[]""):
        t = t[:-2]
        if t in [""int"", ""integer"", ""float"", ""double"", ""bool"", ""boolean"", ""string"", ""str"", ""bytes"", ""bytearray""]:
            return ApiGearType(t, is_array=True)
        else:
            return ApiGearType(t, is_array=True)
    elif ""."" in t:
        t = t.replace(""."", ""_"")
        return ApiGearType(t)
    else:
        return ApiGearType(t)","def get_apigear_datatype(t: str) -> typing.Optional[ApiGearType]:
    t = t.strip()
    if t in [""int"", ""integer"", ""float"", ""double"", ""bool"", ""boolean"", ""string"", ""str"", ""bytes"", ""bytearray""]:
        return ApiGearType(t)
    elif t.endswith(""[]""):
        t = t[:-2]
        if t in [""int"", ""integer"", ""float"", ""double"", ""bool"", ""boolean"", ""string"", ""str"", ""bytes"", ""bytearray""]:
            return ApiGearType(t, is_array=True)
        else:
            return ApiGearType(t, is_array=True)
    elif ""."" in t:
        t = t.replace(""."", ""_"")
        return ApiGearType(t)
    else:
        return ApiGearType(t)",19.273801589273397,7.0625252354541965,7.911688810599202,30.973451327433626,31.147540983606557
8,python,"def generate_property(node: VSSNode, datatype: str) -> ApiGearProperty | None:
    apigear_type = get_apigear_datatype(datatype)
    data = node.get_vss_data()

    if apigear_type is None:
        log.warning(f""Datatype {datatype} of node {node.name} currently not supported"")
        return None

    property = ApiGearProperty(apigear_type)
    if data.description != """":
        property.description = data.description
    return property","def generate_property(node: VSSNode, datatype: str) -> ApiGearProperty | None:
    if datatype == ""string"":
        api_gear_type = ""string""
    elif datatype == ""integer"":
        api_gear_type = ""integer""
    elif datatype == ""boolean"":
        api_gear_type = ""boolean""
    elif datatype == ""float"":
        api_gear_type = ""float""
    elif datatype == ""array"":
        api_gear_type = ""array""
    elif datatype == ""object"":
        api_gear_type = ""object""
    else:
        logging.warning(f""Unsupported datatype '{datatype}' for property '{node.name}'"")
        return None

    return ApiGearProperty(
        name=node.name,
        type=api_gear_type,
        description=node.description,
    )","def generate_property(node: VSSNode, datatype: str) -> ApiGearProperty | None:
    if datatype == ""string"":
        api_gear_type = ""string""
    elif datatype == ""integer"":
        api_gear_type = ""integer""
    elif datatype == ""boolean"":
        api_gear_type = ""boolean""
    elif datatype == ""float"":
        api_gear_type = ""float""
    elif datatype == ""array"":
        api_gear_type = ""array""
    elif datatype == ""object"":
        api_gear_type = ""object""
    else:
        logging.warning(f""Unsupported datatype '{datatype}' for property '{node.name}'"")
        return None

    return ApiGearProperty(
        name=node.name,
        type=api_gear_type,
        description=node.description,
    )",33.68811701989732,14.083046794123758,24.002754618798853,46.666666666666664,50.0
10,python,"def load_vspec(include_dirs: list[Path], specs: list[Path], identifier: str | None = None) -> VSpec:
    spec = None
    vspecs: list[VSpec] = []
    for s in specs:
        includes = [s.parent] + include_dirs
        vspecs.extend(get_vspecs(includes, s))
    pre = ""VSpecs""
    if identifier:
        pre += f"" ({identifier})""
    log.info(f""{pre} loaded, amount={len(vspecs)}"")
    for vspec in vspecs:
        log.debug(vspec)
        if spec is None:
            spec = vspec
        else:
            spec.update(vspec)
    if not spec:
        msg = f""Weird behavior. Could not load any spec: {specs}""
        log.error(msg)
        raise SpecException(msg)
    return spec","def load_vspec(include_dirs: list[Path], specs: list[Path], identifier: str | None = None) -> VSpec:
    vspecs = []
    for spec in specs:
        vspec = VSpec(spec, identifier)
        vspecs.append(vspec)

    if not vspecs:
        raise ValueError(""No VSpec files were loaded"")

    return merge_vspecs(vspecs, include_dirs)","def load_vspec(include_dirs: list[Path], specs: list[Path], identifier: str | None = None) -> VSpec:
    vspecs = []
    for spec in specs:
        vspec = VSpec(spec, identifier)
        vspecs.append(vspec)

    if not vspecs:
        raise ValueError(""No VSpec files were loaded"")

    return merge_vspecs(vspecs, include_dirs)",29.2458488282182,15.084248450976705,21.459870376107997,45.55555555555556,34.883720930232556
11,python,"def deep_update(base: dict[str, Any], update: dict[str, Any]) -> None:
    for key, value in update.items():
        if isinstance(value, dict):
            if key in base and isinstance(base[key], dict):
                deep_update(base[key], value)
            else:
                base[key] = value
        else:
            base[key] = value","def deep_update(base: dict[str, Any], update: dict[str, Any]) -> None:
    for key, value in update.items():
        if isinstance(value, dict) and key in base and isinstance(base[key], dict):
            deep_update(base[key], value)
        else:
            base[key] = value","def deep_update(base: dict[str, Any], update: dict[str, Any]) -> None:
    for key, value in update.items():
        if isinstance(value, dict) and key in base and isinstance(base[key], dict):
            deep_update(base[key], value)
        else:
            base[key] = value
docs/source/api/vss_datatypes.rst
======================================

.. automodule:: vss.datatypes

.. currentmodule:: vss.datatypes

.. autoclass:: VSSNode
   :members:
   :undoc-members:
   :show-inheritance:

.. autoclass:: VSSNodeList
   :members:
   :undoc-members:
   :show-inheritance:

.. autoclass:: VSSNodeDict
   :members:
   :undoc-members:
   :show-inheritance:

.. autoclass:: VSSNodeMap
   :members:
   :undoc-members:
   :show-inheritance:

.. autoclass:: VSSNodeSet
   :members:
   :undoc-members:
   :show-inheritance:

.. autoclass:: VSSNodeTuple
   :members:
   :undoc-members:
   :show-inheritance:

.. autoclass:: VSSNodeListTuple
   :members:
   :undoc-members:
   :show-inheritance:

.. autoclass:: VSSNodeDictTuple
   :members:
   :undoc-members:
   :show-inheritance:

.. autoclass:: VSSNodeMapTuple
   :members:
   :undoc-members:
   :show-inheritance:

.. autoclass:: VSSNodeSetTuple
   :members:
   :undoc-members:
   :show-inheritance:

.. autoclass:: VSSNodeTupleTuple
   :members:
   :undoc-members:
   :show-inheritance:

.. autoclass:: VSSNodeListList
   :members:
   :undoc-members:
   :show-inheritance:

.. autoclass:: VSSNodeDictList
   :members:
   :undoc-members:
   :show-inheritance:

.. autoclass:: VSSNodeMapList
   :members:
   :undoc-members:
   :show-inheritance:

.. autoclass:: VSSNodeSetList
   :members:
   :undoc-members:
   :show-inheritance:

.. autoclass:: VSSNodeTupleList
   :members:
   :undoc-members:
   :show-inheritance:

.. autoclass:: VSSNodeListDict
   :members:
   :undoc-members:
   :show-inheritance:

.. autoclass:: VSSNodeDictDict
   :members:
   :undoc-members:
   :show-inheritance:

.. autoclass:: VSSNodeMapDict
   :members:
   :undoc-members:
   :show-inheritance:

.. autoclass:: VSSNodeSetDict
   :members:
   :undoc-members:
   :show-inheritance:

.. autoclass:: VSSNodeTupleDict
   :members:
   :undoc-members:
   :show-inheritance:

.. autoclass:: VSSNodeListMap
   :members:
   :undoc-members:
   :show-inheritance:

.. autoclass:: VSSNodeDictMap
   :members:
   :undoc-members:
   :show",65.78864598390614,14.2693703045738,77.01021363105075,81.25,90.625
12,python,"def check_const_uid_format(cls, v: str | None) -> str | None:
    if v is None:
        return v
    pattern = r""^0x[0-9A-Fa-f]{8}$""
    assert bool(re.match(pattern, v)), f""'{v}' is not a valid 'constUID'""
    return v","def check_const_uid_format(cls, v: str | None) -> str | None:
    if v is None:
        return None
    if not isinstance(v, str):
        raise ValueError(f""Invalid constUID format: '{v}'"")
    if not v.startswith(""0x""):
        raise ValueError(f""Invalid constUID format: '{v}'"")
    if len(v) != 10:
        raise ValueError(f""Invalid constUID format: '{v}'"")
    try:
        int(v[2:], 16)
    except ValueError:
        raise ValueError(f""Invalid constUID format: '{v}'"")
    return v

#include <iostream>
#include <string>
#include <vector>
#include <algorithm>

using namespace std;

int main() {
    vector<string> names = {""Alice"", ""Bob"", ""Charlie"", ""David"", ""Eve""};

    // Sort the names alphabetically
    sort(names.begin(), names.end());

    // Print the sorted names
    cout << ""Sorted names:"" << endl;
    for (const string& name : names) {
        cout << name << endl;
    }

    return 0;
}

#include <iostream>
#include <string>
#include <vector>
#include <algorithm>

using namespace std;

int main() {
    vector<string> names = {""Alice"", ""Bob"", ""Charlie"", ""David"", ""Eve""};

    // Sort the names alphabetically
    sort(names.begin(), names.end());

    // Print the sorted names
    cout << ""Sorted names:"" << endl;
    for (const string& name : names) {
        cout << name << endl;
    }

    return 0;
}

#include <iostream>
#include <string>
#include <vector>
#include <algorithm>

using namespace std;

int main() {
    vector<string> names = {""Alice"", ""Bob"", ""Charlie"", ""David"", ""Eve""};

    // Sort the names alphabetically
    sort(names.begin(), names.end());

    // Print the sorted names
    cout << ""Sorted names:"" << endl;
    for (const string& name : names) {
        cout << name << endl;
    }

    return 0;
}

#include <iostream>
#include <string>
#include <vector>
#include <algorithm>

using namespace std;

int main() {
    vector<string> names = {""Alice"", ""Bob"", ""Charlie"", ""David"", ""Eve""};

    // Sort the names alphabetically
    sort(names.begin(), names.end());

    // Print the sorted names
    cout << ""Sorted names:"" << endl;
    for (const string& name : names) {
        cout << name << endl;
    }

    return 0;
}

#include <iostream>
#include <string>
#include <vector>
#include <algorithm>

using namespace std;

int main() {
    vector<string> names = {""Alice"", ""Bob"", ""Charlie"", ""David"", ""Eve""};

    // Sort the names alphabetically
    sort(names.begin(), names.end());

    // Print the sorted names
    cout << ""Sorted names:"" << endl;
    for (const string& name : names) {
        cout << name << endl;
    }

    return 0;
}

#include <iostream>
#","def check_const_uid_format(cls, v: str | None) -> str | None:
    if v is None:
        return None
    if not isinstance(v, str):
        raise ValueError(f""Invalid constUID format: '{v}'"")
    if not v.startswith(""0x""):
        raise ValueError(f""Invalid constUID format: '{v}'"")
    if len(v) != 10:
        raise ValueError(f""Invalid constUID format: '{v}'"")
    try:
        int(v[2:], 16)
    except ValueError:
        raise ValueError(f""Invalid constUID format: '{v}'"")
    return v

#include <iostream>
#include <string>
#include <vector>
#include <algorithm>

using namespace std;

int main() {
    vector<string> names = {""Alice"", ""Bob"", ""Charlie"", ""David"", ""Eve""};

    // Sort the names alphabetically
    sort(names.begin(), names.end());

    // Print the sorted names
    cout << ""Sorted names:"" << endl;
    for (const string& name : names) {
        cout << name << endl;
    }

    return 0;
}

#include <iostream>
#include <string>
#include <vector>
#include <algorithm>

using namespace std;

int main() {
    vector<string> names = {""Alice"", ""Bob"", ""Charlie"", ""David"", ""Eve""};

    // Sort the names alphabetically
    sort(names.begin(), names.end());

    // Print the sorted names
    cout << ""Sorted names:"" << endl;
    for (const string& name : names) {
        cout << name << endl;
    }

    return 0;
}

#include <iostream>
#include <string>
#include <vector>
#include <algorithm>

using namespace std;

int main() {
    vector<string> names = {""Alice"", ""Bob"", ""Charlie"", ""David"", ""Eve""};

    // Sort the names alphabetically
    sort(names.begin(), names.end());

    // Print the sorted names
    cout << ""Sorted names:"" << endl;
    for (const string& name : names) {
        cout << name << endl;
    }

    return 0;
}

#include <iostream>
#include <string>
#include <vector>
#include <algorithm>

using namespace std;

int main() {
    vector<string> names = {""Alice"", ""Bob"", ""Charlie"", ""David"", ""Eve""};

    // Sort the names alphabetically
    sort(names.begin(), names.end());

    // Print the sorted names
    cout << ""Sorted names:"" << endl;
    for (const string& name : names) {
        cout << name << endl;
    }

    return 0;
}

#include <iostream>
#include <string>
#include <vector>
#include <algorithm>

using namespace std;

int main() {
    vector<string> names = {""Alice"", ""Bob"", ""Charlie"", ""David"", ""Eve""};

    // Sort the names alphabetically
    sort(names.begin(), names.end());

    // Print the sorted names
    cout << ""Sorted names:"" << endl;
    for (const string& name : names) {
        cout << name << endl;
    }

    return 0;
}

#include <iostream>
#",50.622206259942104,4.328149481072312,52.16067555869613,56.00000000000001,90.0
13,python,"def get_vss_raw(data: dict[str, Any], fqn: str | None) -> VSSRaw:
    model = VSSRaw(fqn=fqn, **data)
    try:
        model = resolve_vss_raw(model)
    except (ValidationError, ModelException):
        log.debug(f""'{fqn}', incomplete, initialized as '{model.__class__.__name__}'"")
        return model
    return model","def get_vss_raw(data: dict[str, Any], fqn: str | None) -> VSSRaw:
    vss_raw = VSSRaw(data, fqn)
    if vss_raw.resolve():
        return vss_raw
    return VSSRaw(data, fqn)","def get_vss_raw(data: dict[str, Any], fqn: str | None) -> VSSRaw:
    vss_raw = VSSRaw(data, fqn)
    if vss_raw.resolve():
        return vss_raw
    return VSSRaw(data, fqn)",43.42053530321968,30.10567829732929,32.7431295822161,37.5,73.33333333333333
